"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Caryophyllaceae","Castanea","Cistaceae","Polygonum aviculare-type","Alnus","Juglans","Avena-type","Euphorbiaceae","Plantago lanceolata-type","Plantago major-type","Anemone-type","Buxus","Poaceae (Cerealia-type) undiff.","Cistus","Centaurea solstitialis-type","Cotinus coggygria","Myrtus","Plantago lagopus-type","Ceratonia siliqua","Abies","Fagus","Sparganium-type","Erica","Mercurialis annua","Sarcopoterium/Sanguisorba minor","Corylus","Brassicaceae","Rumex acetosa-type","Plumbaginaceae","Fraxinus ornus","Hordeum-type","Botrychium","Polypodiophyta","Ostrya/Carpinus orientalis","Indeterminable (unknown)","Geranium","Artemisia","Phillyrea","Cyperaceae","Cichorioideae","Quercus pubescens/Q. robur-type","Asteroideae","Olea","Quercus ilex/Q. coccifera","Juniperus","Amaranthaceae","Pistacia","Poaceae","Lycopodium tablets","Pinus","Apiaceae","Fabaceae","Viburnum","Rubiaceae","Polypodiophyta (trilete, verrucate)","Vitis","Rhamnus/Paliurus","Cistus incanus-type","Erodium","Pteridium","Gentianaceae","Malvaceae","Xanthium","Lythrum","Ranunculus acris-type","Jasminum","Arbutus","Convolvulus arvensis","Helianthemum-type","Dorycnium-type","Convolvulus soldanella-type","Rosaceae","Plantago coronopus-type","Staphylea","Tilia","Ranunculaceae","Campanulaceae","Ligustrum","Fraxinus excelsior","Potamogeton eupotamogeton","Ulmus","Populus","Gypsophila","Polypodium","Centaurea","Ephedra fragilis-type","Picea","Platanus","Taxus","Ephedra distachya-type","Cistus monspeliensis","Lamiaceae","Triticum-type","Trifolium-type","Filipendula","Thymelaeaceae","Plantago maritima-type","Theligonum cynocrambe","Humulus/Cannabis","Celtis","Typha latifolia","Utricularia","Carpinus betulus","Lathyrus-type","Polycnemum","Aconitum","Liliaceae","Oleaceae","Monoletes (verrucate)","Polypodiophyta (trilete, reticulate)","Asphodelus","Acer","Cornus","Lonicera","Salix"
355,NA,NA,55,"9.5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","3","3","4","4","6","9","13","15","16","25","28","32","37","59","90","91","94","253, 40500","298","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
444,NA,NA,61,"5","","","3","","","1","","3","","","","","","","","","","1","1","1","1","","9","1","1","","","","15","3","1","2","2","3","","26","3","53","7","91","12","54","4","28","1, 2","35","106","36","337, 40500","1, 485","1","1","1","1","1","2","2","3","5","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
503,NA,NA,65,"10","2","","41","","","","2","6","","","","","","5","","","","","11","2","4","","5","2","3","","","","","","","6","3","3","2","1","8","2","13","59","42","44","2","26","2","11","33","17","510, 40500","351","","3","","","","","3","35","","","1","1","1","1","1","1","1","1","1","1","1","2","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
710,NA,NA,79,"5.5","1","1","5","","","","","1","","","1","1","","4","1","","","","1","","2","","6","3","1","","","","3","1","3","1","2","1","1","7","11","16","7","98","38","42","7","28","21","41","74","16","1336, 40500","1, 361","2","1","1","1","","","2","1","","4","1","","","","","","","","","","","","5","","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
784,NA,NA,84,"6","2","","3","","","","","1","","","","","","1","","","","","2","2","","","8","","3","1","","","6","","1","3","","1","","22","6","7","3","75","13","40","2","27","1","26","45","11","2638, 40500","198","","1","","","","1","","2","","4","","","","","","","","","","","","","","","1","","","","","","","1","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1036,NA,NA,101,"3","","","13","","","","","","","","","","","6","1","","","","3","","","1","5","","","","","","1","","","6","4","1","3","1","2","6","8","36","24","59","","13","2","22","17","13","1695, 40500","248","","","","","1","","","6","1","2","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
1347,NA,NA,122,"3.5","1","","5","1","","","","1","1","1","","","2","2","","","","","5","1","","2","7","","3","1","2","","","5","2","3","9","11","","","1","83","566","9","16","24","13","21","2","","44","20","519, 40500","317","","","","","1","","","3","","1","","","","","","","","1","","","2","","","","","","1","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
1406,NA,NA,126,"2","2","","5","","1","1","","","","1","","","1","1","","","","2","1","1","","2","10","1","3","1","","2","3","2","7","11","7","3","2","2","2","101","378","21","24","54","12","35","","4","54","29","1793, 40500","267","","1","","1","3","","","4","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","2","","","","","","","","","","","","","","","","",""
1761,NA,NA,150,"8","2","","","","","1","","4","1","1","","","","","","","","2","6","1","4","","5","3","5","","2","5","","4","","2","2","8","1","","1","97","4413","23","22","13","5","58","","9","169","238","312, 40500","129","","","","","1","","1","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","2","","","","","1","","","","","","","","","","","","","","","",""
1872,NA,NA,158,"8","2","","3","","","","","1","3","","1","","","","2","1","","4","3","","1","","10","1","2","2","","","","6","","","3","6","","1","5","121","1216","26","24","22","21","62","1","4","164","82","368, 40500","80","","2","1","","","1","1","3","","1","","","","","","","1","","","1","","","","","","","1","","","2","","","","","","1","","","","","","","1","1","","","","","","1","1","1","1","1","1","3","","","","","","","","",""
