"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Chaetomium sp. (type 7A, HdV)","Carabidae (type 107, HdV)","Pseudoschizaea circula","Juniperus-type","Plantago lanceolata-type","Cistus ladanifer-type","Leucojum","Spike","Polypodiophyta (trilete) undiff.","Habrotrocha angusticollis (type 37, HdV)","Betula","Cardueae","Rumex acetosa-type","Parnassia palustris","Colchicum filifolium-type","Fungi (type 18, HdV)","Amaranthaceae","Caryophyllaceae","Indeterminable undiff.","Polypodiophyta (monolete) undiff.","Glomus cf. G. fasciculatum (type 207, HdV)","Cichorioideae","Cytisus/Genista-type","Pinus pinaster","Cyperaceae","Quercus suber","Alnus","Aster-type","Erica arborea-type","Fungi (type 729, HdV)","Sordaria-type (type 55A, HdV)","Olea europaea","Quercus pyrenaica-type","Pinus sylvestris-type","Poaceae undiff.","Ranunculaceae","Anemone","Liliaceae undiff.","Urtica dioica-type","Sphagnum","Polypodium vulgare-type","Coniochaeta xylariispora (type 6A, HdV)","Araneidae (type 71B, HdV)","Fungi (type 568C, HdV)","Invertebrata (type 88A, HdV)","Animalia? (type 175, HdV)","Gyratrix hermaphroditus","Fraxinus","Rumex acetosella-type","Plantago coronopus-type","Sedum album-type","cf. Persiciospora (type 124, HdV)","Spirogyra sp. (type 315, HdV)","Rhabdocoela undiff.","Brassicaceae","Pedicularis","Phillyrea","Fungi (type 200, HdV)","Unknown (type 181, HdV)","Unknown (type 119, HdV)","Erodium","Allium-type","Quercus ilex-type","Coniochaeta ligniaria (type 172, HdV)","Scrophulariaceae","Invertebrate? (type 178, HdV)","Fabaceae undiff.","Sporormiella (type 113, HdV)","Riccia","Unknown (type 716, HdV)","Oribatida (type 36, HdV)","Artemisia","Castanea","Corylus","Salix","Apiaceae","Viburnum","Myriophyllum alterniflorum-type","Osmunda regalis","Alona rustica (type 72, HdV)","Rivularia-type","Polygonum aviculare-type","Scheuchzeria palustris","Hypericum","Juglans","Pinus halepensis/P. pinea-type","Fungi undiff.","Melampyrum","Humulus/Cannabis","Arcella","Cercophora sp. (type 112, HdV)","Archerella flavum (type 31A, HdV)","Unknown (type 74, HdV)","Zygnemataceae (type 62, HdV)","Unknown (type 182, HdV)","Calluna vulgaris","Invertebrata (type 52, HdV)","Poaceae (Cerealia-type)","Chara sp. Glomerus (type 764A)","Unknown (type 150, HdV)","Betula/Alnus/Corylus/Myrica (type 114, HdV)","Pistacia","Unknown (type 728, HdV)","Pteridium aquilinum","Gelasinospora (type 1, HdV)","Pediastrum (type 900, HdV)","Asphodelus albus-type"
-56,NA,NA,0,"5.24","1","1","1","1","1","1","1","1, 51","1","2","2","2","2","2","2","3","4","5","5","5","5","6","6","10","13","13","17","21","21","25","35","57","93","116","136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
20,NA,NA,5,"0.6","","6","","2","","","2","1, 20","2","","12","2","","3","2","24","","20","2","6","","6","","4","12","2","8","10","30","34","40","66","126","120","140","1","1","2","2","2","2","2","4","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
96,NA,NA,10,"5.2","44","","","4","","","","1, 12","2","","3","3","1","2","3","2","1","6","11","1","23","4","7","8","34","","","3","7","10","18","14","53","67","327","","1","10","8","1","","","","","1","1","1","1","1","1","1","1","1","2","2","2","2","2","3","3","3","5","6","6","9","13","15","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
141,NA,NA,13,"5","","1","1","5","","1","1","1, 30","1","","6","1","","1","1","12","","11","1","3","28","1","","20","5","","8","2","12","7","59","24","52","292","102","","2","1","1","","1","","","2","","","","","","","1","","","","","1","","","","","","","","","2","7","","","1","3","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
202,NA,NA,17,"5","","","","1","","4","2","1, 44","1","","5","","1","3","4","3","","12","1","7","6","4","","35","12","1","5","7","40","","4","17","38","339","99","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
247,NA,NA,20,"5.1","1","3","","12","1","1","3","1, 50","1","3","8","1","1","3","2","1","7","8","6","26","6","1","15","15","51","1","3","5","33","","18","11","36","136","71","2","8","1","4","","","","","1","","","1","","","","1","","2","1","","4","","","","","","10","1","1","4","","2","9","1","","","1","1","1","1","1","1","1","1","2","2","2","2","3","3","3","4","4","5","5","7","16","","","","","","","","","","","","","","",""
292,NA,NA,23,"5.1","","","","8","","3","","1, 36","1","","4","","","","","1","","5","","14","","6","","24","5","2","6","3","56","","3","15","43","283","97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","2","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","",""
353,NA,NA,27,"5","","4","","27","","3","","1, 41","","","9","","","","","","","13","","10","","1","","14","11","","7","12","43","","3","28","45","204","154","","","","","","","","","","","","","","","","","","2","","","","","","1","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","4","1","1","1","","","","","","","","","","",""
398,NA,NA,30,"5.5","","19","","4","","","","1, 16","4","","15","","","","","2","2","16","","14","","2","","","","","4","26","51","","16","41","133","124","235","","","","2","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","2","","8","","","","","","","","","",""
443,NA,NA,33,"5.2","","9","","2","","1","","1, 28","3","","5","","","","","1","1","9","","1","","","","11","6","1","9","13","49","","2","25","51","178","250","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","","","","","","","","",""
504,NA,NA,37,"5.1","","9","","5","","3","","1, 11","3","","7","","","","","2","","","","5","","","","","13","2","5","6","37","","6","1","76","121","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","1","1","","","","","",""
554,NA,NA,40,"5.1","","1","","","1","3","","1, 7","1","","2","","","","","","","5","","3","2","4","","5","10","3","8","12","39","","1","3","33","200","209","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","6","","","","",""
626,NA,NA,43,"5","","2","1","","","4","","1, 17","","","2","","","","","","","2","","2","","","","","8","","9","15","22","","","1","40","228","210","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","",""
722,NA,NA,47,"5","","3","","","","5","","1, 25","","","4","","","","","","","2","","1","","","","","3","","8","20","40","","1","2","31","240","212","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","",""
794,NA,NA,50,"5","","7","","","","6","","1, 21","","","7","","","","","2","","8","","8","","","","14","13","","10","23","42","","5","1","37","255","257","","","","","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","9","","","","","","","","","",""
913,NA,NA,55,"5.2","","","","3","","","","1, 20","","","2","","","","","","","5","","8","","","1","13","5","1","13","24","49","","1","1","37","358","102","","","","1","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","",""
