"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Myriophyllum","Fraxinus","Quercus ilex-type","Unknown (monolete)","Cyperaceae","Unknown (trilete)","Pseudoschizaea","Apiaceae","Rubiaceae","Phillyrea","Plantago","Poaceae","Asteroideae","Olea","Cichorioideae","Pinus","Artemisia","Amaranthaceae","Ulmus","Quercus robur-type","Ephedra","Abies","Ericaceae","Vitis","Pistacia","Brassicaceae","Geraniaceae","Jasminum","Cistus","Cannabaceae","Poaceae (Cerealia-type)","Fabaceae","Ligustrum","Alnus","Helianthemum","Typha latifolia-type","Lamiaceae","Corylus","Ranunculaceae","Betula","Coriaria myrtifolia","Rosaceae","Acer","Juniperus"
1029,1146,886,10,1,1,1,1,1,2,2,3,3,3,3,5,6,7,13,23,42,250,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1244,1353,1111,20,2,NA,NA,6,2,2,NA,6,4,NA,NA,12,5,19,11,43,68,15,485,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1458,1561,1335,30,NA,NA,NA,3,2,NA,4,11,NA,NA,1,NA,4,4,6,9,11,2,424,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1673,1771,1558,40,NA,NA,NA,5,NA,NA,4,19,NA,NA,NA,2,2,1,2,5,37,7,69,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1887,1983,1778,50,NA,NA,NA,5,NA,NA,NA,8,NA,NA,NA,NA,NA,7,NA,24,26,2,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2102,2196,1994,60,NA,NA,NA,18,3,NA,4,3,2,NA,NA,3,1,2,3,6,37,5,1071,NA,1,21,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2317,2413,2209,70,NA,NA,NA,26,5,NA,19,21,3,NA,NA,NA,11,6,19,1,49,87,991,NA,4,11,NA,5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2531,2628,2420,80,NA,NA,NA,5,NA,2,10,9,NA,NA,NA,NA,4,21,2,NA,27,17,1126,NA,1,25,NA,21,7,NA,NA,NA,NA,1,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2746,2847,2632,90,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,5,11,11,5,169,3,855,NA,5,3,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2960,3067,2840,100,NA,NA,NA,16,NA,NA,1,NA,NA,NA,NA,1,6,5,7,6,89,6,702,NA,2,2,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
