sample_name,depth,Typha,Pteris,Polycarpaea,Balanites aegyptiaca,Mitragyna stipulosa,Lygodium microphylum,Zanthoxylum zanthoxyloides,Tubuliflorae,Ceiba pentandra,Indetermines,Euphorbia,Combretum molle,Umbelliferae,Aerva javanica,Spermacoce,Securinega virosa,Cyperaceae,Gramineae,Triletes,Piliostigma reticulatum,Alchornea,Macaranga,Liguliflorae,Commiphora africana,Papilionaceae,Rubiaceae,Sapium,Anthostema senegalense,Salix,Triletes lisses,Prosopis/Entada,Euphorbiaceae,Eriocaulon,Amaranthceae/Chenopodiaceae,Salvadora persica,Rhizophora,Artemisia,Sapotaceae,Canthium subcordatum,Caryophyllaceae,Plantago lanceolata,Syzygium,Maytenus senegalensis,Lophira alata,Pinus,Aerva lanata,Diospyros,Ephedra,Detarium,Uapaca,Balanites,Monoletes,Cruciferae,Combretaceae,Polycarpon prostratum,Indeterminables,Bridelia micrantha,Celtis integrifolia,Maerua/Ritchiea,Tetracera alnifolia,Alternanthera,Acacia groupe iii,Spermacoce radiata,Elaeis guineensis,Tiliaceae,Nymphaea lotus,Celosia trigyna,Acacia groupe i,Cassia,Paullinia,Phyllanthus,Ceratopteris cornuta,Mitragyna inermis,Ambrosia maritima,Lannea/Sclerocarya,Phoenix reclinata,Urticaceae,Combretum aculeatum,Farsetia,Mitracarpus villosus
,5.0,2,0,0,0,1,0,0,1,1,1,0,3,1,0,0,0,40,49,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
,35.0,6,0,2,1,0,0,0,1,0,4,0,0,0,0,0,0,46,95,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,30,0,18,0,0,0,1,0,0,0,0,0,7,0,0,0,1,0,0,1,5,0,7,0,4,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
,45.0,4,0,1,0,0,0,0,1,0,5,2,2,0,0,1,0,69,94,0,1,0,0,0,1,0,0,0,0,3,0,0,1,1,28,0,27,0,0,1,1,0,0,0,0,0,9,0,0,0,2,0,1,0,5,0,15,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,1,2,1,0,0,2,0,2
,55.0,5,1,1,0,0,0,0,1,0,1,0,3,0,0,0,0,52,74,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,0,45,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,3,0,3,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,4
,85.0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,125.0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,50,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,32,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,6,0,2,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,145.0,3,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,31,46,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,8,0,20,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,165.0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,185.0,5,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,52,103,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,15,0,44,0,0,0,0,0,1,0,0,0,12,0,1,1,3,1,2,0,2,0,12,0,3,2,0,0,0,1,0,0,0,2,1,1,0,0,0,2,1,1,0,0,4,0,2
,215.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,31,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,235.0,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,24,71,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,8,0,51,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,255.0,9,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,59,78,1,0,6,0,0,0,0,1,0,0,1,0,0,0,0,9,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
,275.0,4,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,31,30,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,38,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,2,0,0,1,6,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,295.0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,23,64,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,59,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,5,0,2,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,315.0,11,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,57,117,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,122,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
,335.0,9,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,34,96,0,0,7,0,1,0,0,0,0,1,0,0,1,0,0,9,1,23,0,2,0,0,0,1,0,0,1,1,0,1,0,0,0,17,0,3,0,16,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3
,355.0,35,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,104,61,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,9,0,18,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,32,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2
