Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Abutilon,Acacia groupe I,Acacia groupe II,Aerva,Ambrosia,Artemisia,Balanites,Blepharis,Boerhavia,Boscia,Capparis,Cayluscia,Celtis,Centaurea,Chascanium,Chenopodiaceae/Amaranthaceae,Chrozophora,Cleome,Combretaceae,Commicarpus,Commiphora,Compositae,Convolvulaceae,Corchorus,Cruciferae,Cyperaceae,Ephedra,Erica arborea,Fenestrae,Gramineae,Grewia,Indeterminables,Indigofera,Justicia,Maerua,Merremia,Oldenlandia,Olea,Peristrophe,Rumex cf vesicarius,Salvadora,Tamarix,Tribulus,Trichodesma,Typha,Umbelliferae,Veronica,Vitis
7643.184,223.5,,,,55,6,8,,15,,,,,,,,498,,7,,1,,,,,14,413,,3,,440,,23,,,12,1,,,,,,4,7,,,,,
7760.066,230.25,,1,,23,,3,,3,2,,,,,,,209,,,,3,,2,,,5,171,,,,137,,4,,,5,,,,,,3,2,5,,,2,,
8015.474,245,,,,76,,1,,,1,,,,,1,,800,,,1,3,,5,1,1,4,646,2,,1,486,,11,,,6,,,,,,5,,4,,15,,,
8110.71,250.5,,,,53,1,6,,32,,,5,,,,,479,,4,,14,,7,,,11,321,9,6,1,438,,6,,,20,8,,,,,12,,4,,3,,,2
8188.631,255,,1,,56,,1,,6,5,,,,,,,509,,,,5,,4,,,6,195,,,,382,,11,,,8,,,,,,,,6,,30,,,
8275.211,260,,1,,34,,5,,14,,,,,,,,308,,1,,,4,3,,,10,561,1,,,919,,28,,,8,,3,,,,,1,3,,73,,,
8370.447,265.5,,,,10,,1,,,2,,,,,,,112,,4,,,,5,,,,181,1,,,423,,2,,,5,,,,,,3,,2,,9,,,
8448.368,270,,1,,,2,1,,4,,,,,,,,614,,2,,2,6,3,,,,534,1,,1,1664,,6,,,5,,,,,,2,4,,,6,,,
8534.947,275,,,,,5,9,,8,,,,,,,,285,,,3,5,4,9,,,15,474,,,1,2379,,12,,,12,,,,,,,1,3,,6,,,
8621.526,280,1,,,,,,,,,,,,,,,72,,,,1,3,2,,,,429,1,,,948,,2,,,2,,,,,,1,1,,,8,,,
8725.421,286,,,,,,5,,2,,,,,,,,261,,,8,,9,2,,1,9,779,1,,5,716,,,,,24,,,,,,,,1,,10,1,,
8799.013,290.25,,5,,,,7,,6,,,1,,,,,415,,1,3,1,22,8,,6,,1177,2,,1,2328,,7,,,9,,,,,,1,11,,,21,,,
8841.43,295.5,,1,,,,5,,8,,,8,,,2,1,562,,,,2,12,6,,,17,521,,,,718,,7,,,23,,,,,,4,7,,,13,,,
8874.13,300.5,1,3,,,,2,,,,,2,,,,,388,,,4,4,1,10,,2,,476,9,,1,829,,,,,21,,,,,,4,15,,,,,,
8913.37,306.5,,,,,,2,,,,,9,,,,,800,,,2,,11,3,,,4,569,3,,,993,,7,,,14,,,,,,,,,,37,,,
8936.26,310,,,,,1,3,,,,,,2,,,,362,,4,,1,8,8,,,12,1092,1,,,1410,,14,1,,13,,,,,,8,,,,19,,,
8965.69,314.5,,1,4,,1,1,,22,,,2,,,1,,356,1,4,,18,12,8,1,,17,169,5,,7,767,,5,6,,8,,,,1,,,,3,3,,,,
8988.58,318,,6,3,,1,8,,6,,1,,,,2,,565,,6,13,13,16,10,,,,249,14,,7,2097,1,14,2,1,26,,,2,,,11,13,3,,8,,,
9029.455,324.25,,,,,1,,,,,,,,,1,,334,,,13,3,13,8,,,17,1072,,,13,1794,,,,,17,,,,,,,3,1,,12,,,
9063.79,329.5,,,,,,10,,3,,,,,7,,,165,,10,,,4,,,,15,463,2,,,497,1,12,,,12,,,,,1,7,3,,,15,2,1,
9125.92,339,,2,,,1,4,,5,,,,,2,,,231,,9,,,3,4,,,12,685,3,,2,691,,,,,4,,,7,,,2,,,,,,,
10001.12,349,,,,,,2,,3,,,,,,,,115,,8,,,,5,,,,546,1,,1,531,,,,,2,,,,,,2,,,,5,,,
10701.59,355.5,,,,,,4,,,,,,,1,,,74,,,,,,,,1,9,441,1,,,532,,,,,3,,,,,,,,,,19,,,
10978.2,359,,,,,2,5,1,1,,,5,,,,,114,,5,,,,5,,,15,395,,,,333,,,,,7,,2,,,,,,,,28,,,
11021.4,365,,,,,,3,,,,,2,,,,,98,,3,,,,1,,,4,408,2,,,263,,18,2,,9,,,3,,,3,,,,18,,,
