"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Closterium","Vitis","Acer","Rhamnus","Berberis","Cistus","Transeauina","Pistacia","Poaceae (Cerealia)","Lamiaceae","Ranunculus","Thecaphora","Mougeotia","Juglans","Genista-type","Betula","Ephedra fragilis-type","Puccinia","Corylus","Amaranthaceae","Ericaceae","Fraxinus","Plantago","Potamogeton","Olea","Phillyrea","Asteraceae","Typha","Indeterminable (unknown)","Quercus (deciduous)","Artemisia","Polygonum aviculare-type","Juniperus-type","Pseudoschizaea","Riccia lamellosa-type","Sordaria-type","Pinus pinaster","Cyperaceae","Spirogyra","Quercus (evergreen)","Zygnema","Fungi","Pinus nigra-type","Poaceae","Lycopodium spike","Charcoal","Botryococcus","Trichuris","Salix","Myriophyllum","Ulmus","Taxus","Caryophyllaceae","Brassicaceae","Helianthemum","Arbutus","Ephedra major subsp. major","Buxus","Hedera","Ilex","Unknown (type 128, HdV)","Desmidiaceae"
-50.5,NA,NA,2,"12542, 2","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","4","5","6","7","8","10","10","10","11","11","11","12","12","12","16","18","18","21","26","28","33","37","38","39","39","50","64","88","131","150","435.29","","","","","","","","","","","","","","","",""
165.3,NA,NA,4,"12542, 2","","1","1","","1","1","","1","3","4","3","","1","2","4","2","2","8","2","7","11","12","8","6","12","11","20","8","10","5","33","9","24","58","22","29","39","29","16","31","22","67","111","101","138","114.56","1","","","","","","","","","","","","","","",""
336,NA,NA,6,"12542, 2","","1","2","1","1","1","1","","2","5","2","1","3","","3","1","","10","2","12","11","11","7","10","13","12","13","7","9","5","31","12","14","12","18","12","39","25","20","24","48","44","166","77","144","265.84","","1","1","","","","","","","","","","","","",""
462.8,NA,NA,8,"12542, 2","","1","1","1","2","2","","3","2","3","2","","2","1","3","","1","11","9","3","3","6","8","1","12","","8","5","2","13","8","11","7","49","15","32","12","12","21","8","14","47","321","33","155","130.2","","","","","","","","","","","","","","","",""
587,NA,NA,10,"12542, 2","","","","1","1","1","2","2","1","","4","5","2","3","2","","","4","","10","12","11","9","12","7","6","8","2","","4","27","12","18","11","17","38","33","4","41","25","62","18","115","82","162","321.84","1","1","","1","","","","","","","","","","","",""
691.7,NA,NA,12,"12542, 2","","1","","","2","1","1","3","","","","5","1","2","2","3","","3","6","4","1","2","8","12","3","2","2","1","4","17","12","3","5","8","2","7","16","3","34","9","12","12","301","22","144","295.68","","","","","","","","","","","","","","","",""
796.2,NA,NA,14,"12542, 2","","","","1","1","1","","2","","","","","1","1","3","2","1","2","3","10","9","5","7","2","5","7","1","12","5","8","34","15","11","10","18","21","38","22","23","30","15","21","67","90","129","306.16","","","","","","","","","","","","","","","",""
890.9,NA,NA,16,"12542, 2","","","","","1","1","","5","","","","4","2","","2","","","1","4","3","7","2","12","4","9","","12","1","4","16","10","12","4","12","14","43","18","","11","10","9","7","283","29","160","81.56","","1","","","","","","","","","","","","","",""
977.6,NA,NA,18,"12542, 2","1","","","1","2","2","1","4","","","","3","1","2","2","","1","6","2","7","14","7","12","17","10","9","3","","6","6","28","2","12","9","9","10","44","","12","31","20","3","102","69","150","420","","","1","","1","","","","","","","","","","",""
1063.8,NA,NA,20,"12542, 2","","","","1","2","1","","6","","","1","","1","","1","","","2","8","4","3","1","13","18","5","1","2","1","7","11","7","2","3","8","3","12","12","6","63","6","13","10","246","38","152","242.81","2","","1","1","1","","","","","","","","","","",""
1157.5,NA,NA,22,"12542, 2","","","","1","1","4","1","6","","","7","","","1","3","1","","3","","5","12","12","8","11","11","8","2","5","2","3","29","7","21","7","11","32","41","12","61","28","61","11","99","132","149","51.57","","1","","1","","1","","","","","","","","","",""
1252.4,NA,NA,24,"12542, 2","","","","","1","1","1","6","","","8","3","2","","3","","","2","3","1","7","2","9","12","12","5","2","","1","11","6","10","6","9","20","44","19","9","33","11","54","16","268","42","158","326.53","","1","","1","","","","","","","","","","","",""
1342.4,NA,NA,26,"12542, 2","2","","","","1","3","2","2","","","","4","3","","4","","","1","","2","9","5","6","","5","8","1","","5","2","9","11","11","8","15","29","36","4","3","29","20","38","197","71","171","180.12","1","","2","","","","","","","","","","","","",""
1427.3,NA,NA,28,"12542, 2","","","","","2","1","","4","","2","","3","","","3","5","","","1","2","8","3","4","","3","3","1","5","7","3","8","11","9","12","13","5","28","11","7","16","12","21","276","45","158","187.49","","","","","1","","","","","","","","","","",""
1513.3,NA,NA,30,"12542, 2","","","","","2","2","","2","","1","","","","1","","3","1","","4","8","3","","2","","","5","21","","12","14","10","1","7","23","1","","18","9","6","12","4","41","322","39","154","44.28","","","1","","","","2","","","","","","","","",""
