"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ulmus","Ranunculaceae","Fraxinus ornus","Abies","Vitis","Tamarix","Thalictrum","Scabiosa","Juglans","Poaceae (Cerealia)","Cedrus","Ephedra","Plantago","Phillyrea","Cistus","Fraxinus","Pistacia","Centaurea","Pinus","Carpinus orientalis","Helianthemum","Quercus (deciduous)","Rhamnus","Asteraceae","Juniperus","Amaranthaceae","Poaceae","Quercus (evergreen)","Artemisia","Olea","Cyperaceae","Caryophyllaceae","Rosaceae","Sarcopoterium","Ericaceae","Crataegus","Lamiaceae","Rhus","Rumex","Alnus","Boraginaceae","Apiaceae","Liliaceae","Brassicaceae","Polygonum","Urticaceae","Platanus","Populus","Nerium","Acer","Styrax","Ziziphus","Polygalaceae","Alisma","Lemna","Hydrocharis","Typha","Nuphar","Salix","Orobanchaceae","Cercis","Laurus"
2456,NA,NA,35,1,1,1,2,2,2,3,3,4,4,5,6,6,6,7,8,8,8,10,10,11,11,16,19,20,30,35,37,54,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2467,NA,NA,45,5,5,1,2,5,3,NA,4,3,5,3,5,1,5,5,5,5,6,12,9,14,15,16,30,21,34,33,33,49,71,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2478,NA,NA,55,1,5,1,NA,4,NA,NA,2,4,5,5,9,1,4,3,3,5,8,12,1,11,39,3,20,12,16,48,74,32,45,NA,14,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2489,NA,NA,65,1,NA,1,NA,5,NA,NA,3,3,5,2,8,1,3,NA,4,4,8,11,5,13,28,3,28,8,18,42,76,36,52,NA,13,6,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2500,NA,NA,75,NA,NA,4,NA,6,NA,NA,1,1,11,2,3,NA,1,NA,4,5,10,9,5,1,32,9,27,16,13,41,88,32,48,NA,11,5,NA,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2511,NA,NA,85,NA,2,3,NA,5,NA,NA,1,1,22,3,4,NA,1,NA,NA,5,9,11,7,4,22,10,25,18,15,44,92,22,47,NA,9,7,NA,7,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2522,NA,NA,95,2,6,NA,NA,2,1,NA,NA,NA,16,5,4,NA,4,2,3,NA,5,7,8,2,23,3,19,18,32,47,79,33,37,NA,23,8,NA,4,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2533,NA,NA,105,4,11,NA,NA,2,1,NA,NA,2,14,4,2,NA,1,2,5,NA,8,7,7,2,23,2,16,12,27,57,81,26,29,NA,17,11,NA,8,NA,NA,NA,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2544,NA,NA,115,10,17,6,NA,1,NA,NA,NA,1,16,3,1,NA,NA,NA,25,3,16,14,3,NA,36,NA,16,7,20,53,88,9,18,6,7,15,NA,NA,NA,1,NA,NA,13,NA,1,3,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2555,NA,NA,125,6,16,5,NA,5,NA,NA,NA,3,7,2,1,NA,NA,NA,23,3,12,17,2,NA,40,NA,20,12,29,46,92,14,13,5,10,9,NA,NA,NA,5,NA,NA,8,NA,2,5,2,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2566,NA,NA,135,1,5,NA,NA,4,3,NA,3,5,8,4,NA,NA,NA,NA,5,4,11,14,2,NA,24,3,18,10,31,51,93,59,19,4,8,8,NA,NA,NA,1,3,NA,4,2,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2582,NA,NA,150,2,1,NA,NA,3,6,NA,3,5,8,5,NA,NA,NA,NA,5,5,8,17,1,NA,23,5,20,15,35,48,92,48,18,4,9,7,NA,NA,NA,2,3,NA,3,1,NA,1,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2593,NA,NA,160,NA,4,NA,2,4,7,NA,3,NA,7,3,8,1,NA,NA,3,5,8,13,8,NA,11,7,23,22,23,45,81,49,39,2,13,12,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2604,NA,NA,170,3,6,NA,2,3,9,NA,3,NA,10,3,4,1,NA,NA,3,10,11,17,8,NA,16,10,13,25,21,49,75,44,45,6,10,11,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2615,NA,NA,180,NA,4,NA,1,5,11,NA,NA,NA,11,1,5,NA,NA,NA,3,11,5,10,10,NA,14,5,22,14,20,51,87,51,33,5,8,12,NA,6,NA,NA,NA,NA,1,3,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2631,NA,NA,195,NA,4,NA,1,5,8,NA,NA,NA,13,2,5,NA,NA,NA,3,9,9,14,7,NA,12,4,21,12,17,55,89,51,28,2,8,17,NA,7,NA,NA,NA,NA,2,1,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2642,NA,NA,205,NA,5,3,NA,5,9,NA,5,1,8,NA,11,NA,2,8,1,11,13,12,3,8,7,16,29,16,41,31,21,42,56,2,NA,17,NA,7,NA,NA,6,3,2,3,NA,NA,NA,1,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2653,NA,NA,215,NA,11,3,NA,5,8,NA,6,2,9,NA,13,NA,1,6,5,11,16,10,1,6,6,16,26,11,50,27,21,35,59,3,NA,17,NA,6,NA,NA,6,6,8,6,NA,NA,NA,1,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2664,NA,NA,225,NA,3,NA,2,2,8,NA,NA,NA,9,2,7,4,NA,NA,5,6,35,11,5,11,6,7,16,17,53,35,15,42,48,NA,7,7,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2675,NA,NA,235,NA,5,NA,4,3,3,NA,NA,NA,4,3,10,6,NA,NA,7,7,23,25,1,16,4,3,19,12,39,39,18,39,47,NA,9,7,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2686,NA,NA,245,NA,NA,NA,2,1,5,NA,NA,NA,2,2,9,NA,NA,NA,4,5,20,16,4,6,9,5,28,21,59,41,36,36,34,NA,8,10,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2719,NA,NA,280,NA,NA,NA,2,1,5,NA,NA,NA,4,1,9,NA,NA,NA,2,5,18,22,3,9,11,4,27,24,59,40,41,25,40,NA,6,8,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2750,NA,NA,305,2,9,1,1,4,6,NA,3,1,16,2,5,NA,NA,NA,8,7,9,5,6,NA,12,3,14,16,29,71,60,41,37,4,10,14,NA,10,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2752,NA,NA,315,4,13,1,1,8,7,NA,1,NA,12,2,2,NA,NA,NA,10,6,10,5,6,NA,12,4,13,13,8,74,86,33,32,6,12,21,NA,6,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2754,NA,NA,325,2,NA,NA,NA,8,6,NA,2,1,6,1,14,1,NA,4,13,NA,8,8,8,12,14,13,32,66,42,51,26,27,22,NA,6,7,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2756,NA,NA,335,1,NA,NA,NA,8,5,NA,5,1,5,1,12,1,2,6,16,NA,9,12,10,13,10,11,33,83,52,33,23,26,21,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2760,NA,NA,345,2,NA,NA,NA,9,NA,2,2,1,6,4,13,1,NA,5,15,NA,8,11,11,7,18,13,30,95,48,36,20,22,17,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2763,NA,NA,355,NA,NA,NA,1,6,3,3,12,1,6,1,17,1,1,5,4,NA,8,12,8,14,16,10,36,82,63,38,17,20,13,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2765,NA,NA,365,NA,NA,NA,1,4,4,7,10,1,7,1,15,NA,NA,3,4,NA,5,11,7,15,18,12,40,47,56,43,24,37,16,NA,10,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2769,NA,NA,375,NA,NA,NA,3,2,9,5,12,2,5,5,15,1,NA,5,3,NA,7,11,8,17,4,9,39,38,68,45,24,42,12,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2773,NA,NA,385,NA,NA,NA,3,3,8,7,10,2,7,5,17,NA,NA,4,7,NA,6,12,7,21,7,7,42,39,69,40,21,41,12,NA,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2774,NA,NA,395,NA,NA,NA,1,2,12,4,10,1,4,4,17,1,NA,5,2,1,5,10,6,23,3,7,45,47,106,19,14,38,9,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2778,NA,NA,405,NA,NA,NA,1,3,10,NA,7,2,3,3,18,NA,NA,3,3,NA,5,8,6,28,NA,11,55,45,107,14,13,44,9,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2782,NA,NA,415,NA,NA,NA,NA,1,9,NA,2,1,4,3,23,NA,NA,NA,1,NA,6,10,6,19,NA,2,56,40,124,19,12,44,13,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2784,NA,NA,425,NA,NA,NA,NA,1,4,NA,4,1,2,2,25,1,NA,2,1,2,8,14,5,8,2,3,53,48,115,20,13,44,11,NA,NA,NA,3,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2786,NA,NA,435,NA,NA,NA,NA,2,4,NA,4,1,3,2,24,NA,NA,2,4,4,10,14,4,6,8,3,53,43,93,42,12,42,11,NA,NA,NA,4,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2790,NA,NA,445,NA,NA,NA,3,NA,NA,2,NA,1,2,9,22,2,NA,1,6,5,15,16,5,NA,21,2,38,41,82,53,14,39,7,NA,2,NA,5,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2795,NA,NA,457,NA,NA,NA,3,NA,NA,NA,NA,1,1,9,23,1,NA,3,3,3,16,16,5,NA,13,3,38,38,95,52,13,46,4,NA,1,NA,4,2,NA,NA,2,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2806,NA,NA,472,NA,NA,NA,2,NA,2,NA,2,1,2,5,24,2,NA,1,4,4,10,18,5,NA,11,2,49,44,96,40,12,47,8,NA,2,NA,2,1,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2808,NA,NA,490,NA,NA,NA,2,NA,4,NA,NA,NA,2,4,22,1,NA,1,3,2,7,23,4,4,8,2,56,39,102,38,14,49,6,NA,NA,NA,2,1,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2817,NA,NA,500,NA,NA,NA,3,1,5,NA,NA,1,4,6,21,NA,NA,1,4,5,6,16,5,5,10,1,58,37,88,43,13,50,9,NA,NA,NA,4,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
