"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Caryophyllaceae","Picea","Rhamnaceae","Tilia","Ranunculaceae","Juglans","Plantago","Rosaceae","Rubiaceae","Typha","Nymphaea","Thalictrum","Apiaceae","Lythrum","Olea","Fraxinus ornus","Ostrya","Fagus","Juniperus","Carpinus","Asteroideae","Corylus","Artemisia","Alnus","Sparganium","Quercus ilex","Cichorioideae","Amaranthaceae","Poaceae","Ericales","Pinus","Cyperaceae","Quercus","Poaceae (Cerealia-type)","Betula","Ulmus","Myriophyllum","Sarcopoterium","Pistacia","Brassicaceae","Potamogeton","Centaurea","Salix","Fabaceae","Lamiaceae","Buxus","Phillyrea","Rumex","Vitis","Alisma","Acer","Cistaceae","Urtica","Scrophulariaceae"
193,684,-268,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,4,4,4,5,6,7,8,8,10,14,14,16,18,41,57,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
389,853,-42,10,4,2,NA,NA,1,NA,NA,NA,NA,NA,3,4,1,6,NA,2,NA,NA,4,3,3,5,5,7,6,10,10,NA,3,13,7,33,46,143,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
782,1190,407,20,NA,NA,1,1,NA,1,NA,2,NA,NA,NA,5,NA,1,NA,NA,NA,NA,5,5,NA,3,2,9,2,8,7,4,6,12,4,20,46,80,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1175,1523,847,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,1,NA,NA,4,22,5,NA,5,NA,36,4,25,NA,8,NA,1,15,16,30,18,154,NA,1,1,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1568,1861,1284,40,NA,NA,1,NA,NA,NA,NA,2,NA,3,NA,2,NA,NA,NA,7,2,8,3,1,2,1,8,7,12,11,5,NA,NA,46,16,7,18,111,2,NA,1,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1764,2033,1499,45,NA,NA,1,NA,NA,NA,NA,2,NA,1,NA,3,NA,1,NA,5,1,4,5,1,NA,2,1,8,2,1,5,2,5,36,17,6,101,113,1,NA,NA,NA,NA,NA,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,2208,1709,50,3,1,NA,NA,NA,NA,1,1,NA,4,NA,NA,NA,2,NA,8,NA,NA,4,6,2,1,2,9,4,NA,8,NA,6,8,14,13,116,109,13,NA,2,NA,NA,NA,8,NA,3,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
2157,2389,1919,55,4,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,1,NA,13,2,12,11,1,4,2,5,8,4,3,18,NA,5,18,21,33,28,190,2,1,NA,NA,2,1,NA,NA,3,NA,NA,NA,NA,5,1,1,NA,NA,NA,NA,NA
2354,2576,2127,60,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,22,1,NA,NA,NA,2,3,3,NA,NA,1,6,3,2,6,11,NA,2,14,7,47,164,86,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2550,2769,2334,65,1,NA,1,1,NA,NA,NA,2,1,1,1,2,NA,4,NA,NA,1,7,11,4,8,6,3,26,3,2,16,3,20,19,39,31,14,159,1,1,NA,2,1,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
2747,2963,2536,70,1,NA,NA,NA,NA,1,NA,1,NA,2,NA,2,NA,NA,NA,NA,3,NA,2,3,2,1,3,1,NA,2,1,NA,1,16,6,25,44,43,4,2,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2943,3164,2739,75,NA,NA,NA,NA,2,1,NA,3,NA,NA,NA,NA,1,4,NA,NA,2,13,10,2,3,2,6,22,13,2,23,NA,12,28,14,18,9,189,1,2,2,NA,NA,1,1,NA,3,NA,1,NA,NA,NA,4,2,NA,NA,NA,NA,NA
3139,3369,2939,80,1,NA,NA,NA,NA,NA,NA,3,NA,1,1,1,NA,2,NA,2,NA,5,1,2,5,1,3,5,19,13,7,NA,4,38,16,14,10,108,5,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
3336,3580,3135,85,1,NA,NA,NA,NA,NA,NA,4,NA,1,NA,4,NA,1,NA,6,4,1,8,3,6,NA,6,3,10,2,12,NA,4,26,13,15,76,158,NA,4,5,NA,1,2,NA,NA,1,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
3532,3800,3322,90,NA,NA,NA,3,NA,NA,NA,1,NA,1,NA,3,NA,2,NA,NA,2,NA,NA,NA,NA,1,2,6,3,NA,NA,1,4,16,13,21,62,175,1,1,3,NA,1,1,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
3625,3835,3435,95,3,7,NA,NA,NA,NA,NA,2,NA,2,NA,1,1,2,NA,3,NA,6,5,3,4,1,4,7,3,NA,18,1,NA,32,13,11,64,192,NA,4,3,NA,2,NA,NA,NA,1,2,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA
3810,4001,3627,105,2,NA,NA,NA,2,NA,NA,5,NA,3,NA,1,NA,1,NA,3,1,5,9,2,NA,4,3,2,2,3,4,1,4,43,15,26,62,188,NA,1,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA
3902,4128,3704,110,9,NA,1,NA,2,NA,NA,1,1,2,NA,NA,NA,NA,NA,2,1,2,5,1,7,1,3,3,6,1,7,NA,4,25,17,25,85,124,NA,1,2,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
4087,4418,3825,120,2,NA,NA,1,5,NA,NA,1,NA,2,NA,NA,NA,1,NA,1,NA,NA,3,NA,2,1,9,2,4,1,10,NA,2,12,13,22,16,180,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
4338,4579,4120,130,9,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,5,5,10,1,1,NA,NA,NA,2,2,8,NA,4,17,21,26,73,141,3,NA,3,NA,2,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4713,5049,4399,145,1,NA,1,NA,2,NA,NA,1,NA,2,NA,NA,1,2,NA,NA,NA,2,NA,NA,1,4,NA,2,4,NA,1,1,5,24,8,13,1,163,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5009,5278,4742,160,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,1,2,6,5,7,NA,5,NA,5,43,11,10,13,173,1,1,8,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
5207,5466,4942,170,1,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,1,7,2,13,5,5,1,7,NA,3,20,9,22,8,159,NA,1,5,NA,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
5404,5702,5129,180,1,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,1,3,NA,7,NA,7,1,NA,NA,NA,20,5,35,7,165,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
5602,5963,5281,190,5,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,1,5,NA,4,1,3,NA,7,NA,4,25,5,36,5,177,1,3,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5799,6232,5409,200,1,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,1,1,3,NA,NA,2,NA,NA,NA,NA,2,9,3,26,1,98,1,NA,5,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
