"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Salix","Sparganium-type","Thalictrum","Typha latifolia","Ulmus","Alnus","Ranunculaceae","Juglans","Populus","Asteroideae","Plantago major-type","Berberis","Senecio-type","Oleaceae","Rhinanthus-type","Cistus","Cirsium/Gundelia","Plantago maritima-type","Solanum dulcamara","Bunium-type","Filago-type","Mercurialis annua","Myrtus","Ranunculus sceleratus-type","Isoëtes","Polypodium","Vitis","Xanthium","Liliaceae","Fabaceae","Plantago lanceolata-type","Carduus-type","Matricaria-type","Noaea-type","Ostrya/Carpinus orientalis","Campanula-type","Rumex acetosa-type","Artemisia vulgaris-type","Scrophularia/Verbascum","Sanguisorba-type","Osmunda regalis","Poaceae (Cerealia-type)","Unknown (trilete)","Polygonum aviculare-type","Artemisia herba-alba-type","Abies","Amaranthaceae","Phillyrea","Cyperaceae","Dryopteris-type","Pteridium","Ericaceae","Cichorioideae","Centaurea solstitialis-type","Juniperus","Brassica-type","Pistacia","Oleaceae/Brassicaceae","Pinus","Platanus","Unknown","Olea","Poaceae","Quercus cerris-type","Quercus coccifera-type","Caryophyllaceae","Zea mays","Potamogeton","Lotus-type","Theligonum","Loranthus","Rumex hydrolapathum","Ranunculus asiaticus-type","Pteris","Plantago undiff.","Apiaceae","Plantago media-type","Delphinium-type","Ephedra fragilis-type","Thymus/Mentha","Hedera","Capsella-type","Ophioglossum","Castanea","Corylus","Euphorbia","Gentianaceae","Bupleurum-type","Genista-type","Fraxinus ornus","Scilla-type","Heliotropium-type","Ornithogalum","Malabaila","Rosaceae","Humulus/Cannabis","Vicia-type","Filipendula","Valerianella","Phlomis","Fraxinus excelsior","Galium-type","Lycopodium","Picea","Valeriana","Helianthemum","Sanicula-type","Calligonum","Thelypteris palustris","Hymenophyllum","Asphodelus albus-type","Caltha","Fagus","Stachys-type","Lysimachia","Trifolium-type","Hypericum perforatum-type","Myriophyllum spicatum/M. verticillatum","Paliurus","Plantago ovata-type","Butomus umbellatus","Primulaceae","Acer","Convolvulus","Spergularia-type","Cotinus coggygria","Aquilegia-type","Asplenium","Allium","Rhus","Urtica","Dipsacoideae","Tamarix","Carpinus betulus","Alisma","Ephedra distachya-type","Plantago coronopus-type","Sambucus nigra-type","Cladium mariscus","Crataegus-type","Daphne","Helleborus","Armeria/Limonium","Ranunculus sect. Batrachium-type","Lomelosia rotata-type","Equisetum","Clematis-type","Matthiola","Ranunculus repens-type","Botrychium","Potentilla-type","Tilia","Fagopyrum","Geranium","Ilex","Arctium/Jurinea","Viburnum-type","Hippuris","Papaver","Sanguisorba officinalis","Teucrium","Arbutus","Crassulaceae","Prunus-type","Anemone","Knautia","Cuscuta","Nymphaea","Trachomitum","Cheilanthes","Celtis","Rhamnaceae","Lythrum","Centaurea","Nigella","Nepeta-type","Cornus","Symphytum-type","Halothamnus-type","Sphagnum","Centaurea cyanus-type","Onosma-type","Turgenia-type","Spartium","Lamiaceae","Spergula","Centaurea jacea-type"
-98,77,-283,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,5,6,7,7,8,9,9,10,10,10,11,11,13,15,20,23,24,25,31,36,38,61,72,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,220,-98,110,NA,1,1,NA,NA,4,17,NA,1,NA,2,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,9,NA,1,2,7,1,5,NA,13,NA,NA,2,4,3,1,2,NA,5,6,17,6,2,24,7,16,12,2,3,6,6,17,NA,46,62,21,30,73,217,148,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,367,82,130,NA,3,2,2,NA,4,10,NA,NA,NA,8,NA,2,3,NA,NA,NA,NA,3,NA,NA,1,1,NA,3,3,2,8,NA,NA,3,8,NA,8,NA,13,NA,2,3,2,3,NA,9,10,22,11,2,16,7,26,5,8,12,81,11,2,8,20,NA,19,45,39,12,93,184,88,1,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,1,1,NA,NA,4,NA,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
551,672,431,170,1,1,1,1,1,5,4,NA,1,NA,4,NA,NA,1,NA,NA,1,1,2,NA,NA,NA,1,NA,NA,4,NA,4,NA,NA,NA,8,NA,3,2,17,NA,5,NA,NA,NA,1,4,NA,5,6,4,3,4,14,2,31,3,9,5,3,2,16,2,35,36,9,3,113,220,51,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,1,NA,3,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
804,910,687,200,2,NA,5,1,1,6,3,1,2,NA,3,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1,2,NA,3,4,2,15,NA,NA,2,13,NA,4,2,15,NA,3,1,3,4,NA,10,NA,1,12,2,8,2,13,7,28,8,12,3,2,8,21,NA,26,40,24,14,135,309,50,2,NA,NA,NA,NA,1,1,NA,NA,NA,4,3,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,5,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
978,1081,863,220,2,NA,4,NA,NA,3,NA,1,1,NA,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,8,NA,1,NA,2,NA,3,3,15,NA,1,NA,NA,2,NA,NA,NA,1,4,3,7,4,9,2,19,2,3,1,3,1,8,1,14,26,19,2,34,318,58,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,2,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1067,1171,953,230,1,NA,5,NA,NA,5,4,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,1,1,NA,13,NA,4,NA,2,NA,1,1,45,NA,NA,NA,1,1,1,2,NA,6,11,4,15,1,18,4,32,17,9,NA,2,4,22,1,29,20,17,11,104,435,69,2,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,1,3,1,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,1,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1250,1356,1137,250,NA,NA,2,1,NA,3,1,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,NA,1,NA,1,7,NA,7,NA,NA,1,7,NA,1,2,33,NA,1,1,3,2,NA,NA,NA,NA,4,3,10,2,9,8,32,8,6,5,5,9,17,NA,15,37,10,13,74,545,83,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,NA,NA,6,2,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1344,1451,1230,260,NA,7,10,NA,NA,1,5,NA,3,NA,11,1,NA,NA,13,1,5,NA,1,NA,NA,1,3,NA,1,2,2,8,NA,1,5,8,NA,6,11,18,NA,3,2,NA,2,5,7,NA,2,8,2,27,11,34,8,60,11,33,7,4,15,30,NA,9,16,32,16,120,267,101,6,NA,NA,NA,NA,NA,1,NA,NA,4,1,3,NA,NA,2,1,5,1,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1541,1650,1428,280,NA,2,3,NA,1,3,2,NA,1,NA,1,NA,NA,1,5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,1,14,NA,2,NA,2,NA,1,1,16,NA,1,NA,NA,1,NA,5,1,1,6,2,11,7,21,2,49,13,7,3,1,12,22,NA,9,9,22,15,87,257,55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,2,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
