"age_NA","ageolder_BP","ageyounger_BP","depth","Carduus-type","Asteroideae","Matricaria-type","Unknown","Centaurea solstitialis-type","Cedrus","Cichorioideae","Pinus","Abies","Ulmus","Poaceae","Ephedra fragilis-type","Cyperaceae","Amaranthaceae","Rosaceae","Sparganium-type","Artemisia herba-alba-type","Ranunculaceae","Eryngium-type","Poaceae (Cerealia-type)","Centaurea cyanus-type","Cousinia","Quercus cerris-type","Inula-type","Caryophyllaceae","Fabaceae","Plantago lanceolata-type","Teucrium","Dryopteris-type","Polygonum aviculare-type","Scrophulariaceae","Rhinanthus-type","Capsella-type","Brassica-type","Vitis","Alnus","Filipendula","Apiaceae","Brassicaceae","Plumbaginaceae","Senecio-type","Ostrya/Carpinus orientalis","Arctium/Jurinea","Filago-type","Ranunculus sceleratus-type","Juniperus","Betula","Euphorbia","Lomelosia rotata-type","Dipsacus-type","Convolvulus","Valerianella","Delphinium-type","Cirsium/Gundelia","Ranunculus asiaticus-type","Sanguisorba-type","Corylus","Galium-type","Centaurea scabiosa-type","Aquilegia-type","Potamogeton","Juglans","Carpinus betulus","Heliotropium-type","Haplophyllum","Hypericum perforatum-type","Ericaceae","Pistacia","Helianthemum","Noaea-type","Fagus","Salix","Taxus","Ephedra distachya-type","Fraxinus ornus","Quercus coccifera-type","Mercurialis annua","Pteridium","Thalictrum","Ranunculus repens-type","Punica","Cuscuta","Artemisia vulgaris-type","Asphodelus","Plantago coronopus-type","Thymus/Mentha","Acer","Liliaceae","Stachys-type","Plantaginaceae","Equisetum","Ophioglossum","Olea","Adonis","Plantago media-type","Geranium"
NA,NA,NA,179,1,2,2,3,4,9,155,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,200,NA,3,NA,10,1,1,85,58,1,1,2,2,3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,150,NA,2,NA,3,4,1,173,76,NA,NA,2,NA,9,5,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,140,NA,3,2,5,4,NA,39,151,NA,NA,1,NA,3,NA,NA,NA,7,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,290,NA,4,2,8,7,NA,36,23,NA,NA,17,NA,7,28,1,NA,8,NA,NA,1,NA,NA,3,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,20,NA,16,NA,14,8,5,177,356,NA,NA,35,NA,104,20,NA,3,5,1,NA,6,NA,NA,1,NA,2,1,1,NA,1,1,1,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,60,NA,12,4,22,4,3,70,386,2,NA,5,NA,63,19,1,4,8,4,NA,NA,2,NA,2,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,80,1,21,2,31,5,1,73,268,NA,NA,49,NA,NA,60,NA,8,10,NA,NA,4,NA,NA,6,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,1,1,1,1,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,250,2,19,1,19,7,6,390,92,1,NA,6,NA,19,28,NA,2,11,NA,NA,NA,1,NA,1,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,300,3,21,2,27,10,3,41,42,1,NA,7,NA,3,83,NA,1,44,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,10,NA,4,1,10,3,1,174,160,NA,NA,23,NA,289,50,1,NA,21,3,NA,6,NA,NA,4,NA,1,1,1,NA,NA,NA,NA,1,1,11,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,130,NA,5,NA,21,6,3,38,245,NA,3,4,NA,5,12,1,NA,20,NA,NA,1,4,NA,5,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,336,1,29,7,30,6,6,46,213,3,NA,40,NA,20,45,1,NA,93,NA,1,4,NA,NA,38,NA,5,NA,1,2,1,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,367,NA,8,25,11,NA,4,10,484,1,7,171,NA,7,15,NA,1,244,NA,2,14,NA,NA,201,NA,1,NA,NA,NA,NA,NA,NA,NA,3,2,NA,4,NA,NA,NA,NA,1,12,NA,NA,NA,14,1,NA,NA,1,NA,NA,NA,NA,NA,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,5,4,17,1,31,21,3,79,332,3,NA,46,NA,152,59,NA,2,48,1,1,8,6,NA,4,NA,11,2,1,2,2,3,NA,NA,4,9,NA,NA,1,5,NA,NA,4,NA,1,2,NA,3,1,2,1,1,NA,NA,1,NA,NA,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,381,NA,3,30,16,2,10,25,460,7,7,20,2,26,26,3,2,381,NA,NA,20,1,NA,152,1,2,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,5,NA,5,NA,NA,2,2,NA,1,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,4,7,5,NA,1,NA,NA,4,NA,NA,NA,NA,1,1,NA,2,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,1,1,1,1,1,1,1,2,3,8,236
