Depth (cm),Acacia groupe 1,Acacia groupe 3,Acanthaceae,Achyranthes aspera,Albizia,Alchornea,Amaranthaceae/Chenopodiaceae,Aniseia martinicensis,Anthocerotaceae,Anthostema senegalense,Artemisia,Balanites aegyptiaca-type,Blepharis-type,Boerhavia-type,Bombax costatum,Borassus/Hyphaene,Boscia-type,Brachystegia,Bridelia micrantha,Caesalpinaceae,Canthium-type,Capparis tomentosa-type,Caryophyllaceae/Chenopodiaceae,Cassia-type,Celtis integrifolia,Centaurea perrottetii-type,Ceratopteris cornuta,Christiana africana-type,Chrozophora brocchiana,Chrysobalanus/Parina,Cissampelos mucronata,Combretaceae,Combretum aculeatum-type,Combretum molle-type,Commicarpus plumbagineus-type,Commiphora africana,Cruciferae,Cyperaceae,Cyttaranthus,Dichrostachys cinerea,Diospyros,Dodonaea viscosa,Elaeis guineensis,Ephedra,Erica,Eriocaulon-type,Erythrococca africana,Euphorbia,Euphorbia hypericifolia-type,Euphorbiaceae,Ficus,Galium-type,Gentianaceae,Gramineae,Grewia-type,Hygrophila,Hypoestes-type,Ilex mitis,Indeterminables,Indeterminees,Indetermines,Iodes,Juniperus,Justicia-type,Klaineanthus gaboniae-type,Labiatae,Lannea-type,Lepidagathis,Leucas-type,Liguliflorae,Lophira alata,Lotus arabicus-type,Lycopodium cernuum,Lygodium microphyllum,Macaranga,Maerua-type,Mareya spicata-type,Maytenus senegalensis,Meliaceae,Mimosa pigra,Mimosaceae,Mitracarpus villosus,Mitragyna inermis-type,Mitragyna stipulosa-type,Monocotyledonae,Monoletes,Moraceae,Nymphaea lotus-type,Olea hochstetteri,Papilionaceae,Parkia biglobosa,Phoenix reclinata-type,Phyllanthus,Phyllanthus maderaspatensis-type,Phyllanthus rivae-type,Pinus,Pistacia,Plantago,Podocarpus,Polycarpaea,Polycarpon prostratum,Pteris-type,Quercus,Rhizophora,Rhus,Rhynchosia-type,Rosaceae,Rubiaceae,Rumex,Salacia senegalensis,Salix,Salvadora persica,Sapium,Sapotaceae,Scabiosa-type,Schrebera arborea,Spermacoce radiata-type,Spermacoce-type,Syzygium,Tamarix senegalensis,Tetracera alnifolia,Tetrorchidium,Tribulus terrestris,Trichoscypha oba-type,Triletes,Triletes lisses,Tubuliflorae,Typha,Uapaca,Umbelliferae,Urticaceae,Vernonia perrottetii,Vernoniae,Zygophyllum,Ambrosia maritima-type
10,2,,,,,4,134,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,75,,,,,,7,5,,,,,,,,,52,,,,,5,,18,,,,,,,,,7,,,,,,1,,,,,,,,,,5,,,,,,,,,,82,,,1,,,1,,1,,,,,,,,,,,1,,,,,2,,,1,,1,,10,,,,,,,,
20,,,,,1,,99,,,,3,,,,,,,,,,,,,,,,,1,,,,,,2,,,1,46,,,,,,7,,,,,,,,,,37,,,,,16,,6,,,,,,,,,4,,,1,,1,,,,,,,1,,,,10,,,,,,,,,,17,,,2,,,3,1,3,,,,,,,,,,,,,,,,,,,,,2,6,3,3,,,,,,1,2
40,2,4,,,,4,48,,1,,4,,,,,,,,,,,,,,,,,,1,,,,1,2,,,,82,,,,,,9,,,,,,,,,,88,,,,1,20,,16,,,,,1,1,,,6,,,,,1,,,1,,,,,1,,,4,,1,,2,,,1,,,23,,,,,1,1,,8,1,,,,,,,,,,1,,,,,,41,,,,,1,11,1,,,,,,1,1
61,,,,,,3,359,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,177,,,,,,4,,1,,,3,,,,,75,,1,,,14,,8,,,,,,,,,2,,,,,,1,,,,,,,,,1,2,,1,,,,3,,,,3,,,,2,,,,3,1,,,,,,,,,1,,,,,,,,,1,,,,3,,,,,,,,1
80,4,,,,,,132,,,1,1,,,1,,,,,,,,,,,,1,,,1,,,1,,2,,,2,121,,,,,,11,,,,2,3,,,,,69,,,,,15,,9,,,,,1,,,,6,,,,,,2,,,,,,,,,,2,,,,1,,,1,,,5,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,1,,1,1,9,,,,,,,,
100,1,,,,,1,55,1,,,4,,,,,,,,1,,1,1,3,,,,,,,,,,1,,,,1,92,,,,,1,37,,,1,2,,1,,,,147,,,,,15,,5,,,,,,1,,,1,,,,,1,,,1,,,,1,1,3,,10,,,,,,,1,,,15,1,,2,1,,,,2,,,,,,,,,,1,,,,,,,,,,,3,12,8,,,,,,1,,
120,,,,,,,313,,,,2,,,1,,,,,,,,,,,,2,,,,,,1,,1,,,,142,,,,,,3,,,,,,,,,,110,,,,,4,,4,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,6,,,,,,,,,,,,,,,,,,1,,,,,,1,,,3,,,1,3,,,,,,,,
140,,,,,,,41,1,,,3,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,61,,,,,,34,,,,,,1,,,,62,,,1,,9,,4,,,,,,,,,1,1,,,,,,,,,,,1,1,,,2,,,,,,,1,,,7,,,,,,,1,2,,,,,,,,,,1,,,1,,,,,,,,,2,1,,,,,,,,
160,2,2,,,,,59,,,,5,,,,,,,,,,,,,,,1,,,,,,,,5,2,,,116,,,,,,50,,,,1,1,,,,,114,,,,,13,,5,,,,,,,,,2,,,,,,1,,,,,,1,,,,11,,,1,,,,,,,16,,,,,,4,,4,,,,,,,,,,1,,,,,,,,,,,5,4,2,,,,,,2,,
180,1,,,,,1,32,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,5,,,1,130,,,,1,,15,,,,2,,1,,,,151,,,,,8,,1,,,,,,,,,2,,,,,,,,1,,,,,,,,4,,,,,,,,1,,10,,,3,,,1,,,,,,,,,,,,3,,,,,1,,,1,,,2,2,4,2,1,,,,,,
200,1,,,,,1,111,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,3,109,,,,,,6,,,,1,1,1,,,,91,,,,,3,,2,,,,,,,,,3,,,,,,,,,,,1,,,,,2,,,,,,,,,,2,,,4,,,,,,1,1,,,,,,,,1,,,,,,,,,,,2,,5,1,,1,,,,,
220,,,,,,1,61,,,,5,,,,,,,,,,,,,,,1,,,,,,,,4,,,1,137,,,,,,32,,,2,2,,,,,,103,,,,,11,,4,,,,,1,,1,,2,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,7,,1,,,,1,,
240,,,,,,1,45,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,3,,,,114,,,,,,25,,,,,,,,,,73,,,,,9,,2,,,,,,,,,,,,1,,,,,2,,,,,,,,7,,,,,,,,,,3,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,3,1,,,,,,,
260,1,,,,,1,19,,4,,13,,,,,,,,,,,,,,1,,,,,,,,,7,,,1,104,,1,,,,29,,,,1,,,,,,132,,,,,16,,4,,,,,,,,,1,,,1,,,,,,1,,,,,,,18,,,,,,,,,,13,,,,1,,7,,1,,,,1,,,,,,1,,,,,1,,,,,,,7,7,1,2,,,,,,1
280,,,,,,,31,,8,,,,,,,,,,,,,,,,,,2,,,,,,,5,,,,59,,,,,1,16,,,,,,,,,,128,,,,,4,,2,,,,,,,,,,,,1,1,1,,,,,,,,,,,8,,,,,,,,,,15,,,,,,5,,2,,,1,,,,,,,,,1,,,,,,,,,4,8,2,1,,,,,1,,
300,1,,,,,,39,,6,,2,,,,,,,,,,,,,,,1,1,,,,,,,2,,,1,104,,,,,,22,,,,,,,,,,167,,,,,8,,1,,,1,,,,,,3,,,,,,,,,,,,,,,,14,,,,,,,,,,2,,,,,,1,,1,,,,,,,,,,1,,,,,2,,,,,,,,2,,,,,1,,,2
320,,,,,,,32,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,2,,,,105,,,,,,66,,,,,,,,,,85,,,,,36,,,,,,,,,,,4,,,,,,,,,,,,,,,,12,,,,,,,,,,14,,,,,,3,1,,,,,,,,,,,,,,,,,,1,,,,,1,3,,,,,,,,
340,6,,,,,,51,,2,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,145,,,,,,12,,,,,,,,,,130,,,,,5,,3,,,,,,,,,3,,,,,,,,1,,,,,,,,10,,,,,,,,,,11,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,2,1,,,,,,1,
360,,1,,,,,48,,,,2,1,1,,,,1,,,,,,,,2,2,,,,,,,,4,,,1,184,,,,,1,7,,,,2,,,,,,104,,,,,12,,8,,,,,1,,,2,7,1,,,,,2,,1,,,,1,,,,3,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,1,,3,1,,,,,,,1
380,,1,,,,3,7,,1,,3,,,,,1,,,,,,,,,,,,,,,,,,3,,,2,78,,,,,,3,,,,,,,,,,103,1,,,,15,1,6,,,,,,,,,,,,,,,1,1,,,,,,,,,10,,,,,,,,,,4,,,1,,,,,6,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,
400,,,,,,1,15,,,,3,1,,,,,,,,,,,,,,2,,1,,,,,1,7,,,,112,,,,,,6,,,1,,,1,,,,172,,,,,13,,12,1,,,,1,,,,,,,,1,1,,,1,,,,,,,6,14,,,,1,,,,,,8,,1,,1,,7,,2,,,,,,,,,,,,,,,,,,,,,,6,3,3,7,,,,1,,1
420,1,,,,2,2,29,,2,,1,1,,,,,,,1,,,,2,,,,,,,,,,,4,,,,92,,,1,,,34,,,,1,,,1,,,149,1,,,,5,,3,,1,,,,,,,3,,,,,,,,,,,,,,,,8,,,,,,,,,,3,,,,,,1,2,3,,,2,,,,1,,,,,,,,2,,,,,,1,1,1,8,,,,,,,
440,1,,,,,1,19,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,68,,,,,,21,,,,,,,,1,,78,,,,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,1,,,,,1,,,,1,,,,2,1,1,,,,,,
460,,,,,,,79,,,,7,,,,,,,,,,,,,,1,,,,1,,,,,4,,,,151,,,,,,8,,,,1,1,,,,,108,,,,,14,,5,,,,,1,,,,1,1,,,1,1,2,,,,,,,,,,3,,,,,,3,,,,2,,,,1,,,,2,,,,,,,,,,2,1,,,,,,,,,,1,,8,1,1,,,,,,1
480,,1,,,,1,31,,2,,9,1,,,,,,1,,,,,,,1,2,,,,,,1,,3,,,,103,,,,,1,8,,,,2,,1,,,,126,,,,,,,10,,,,,1,,,,2,,,,,,,,,,,,,1,,,10,,,,,,,1,,,12,,,,1,,,,7,,,1,,,,,,,,2,,,,,,,,,,1,,3,1,2,,,,,,
