"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ericaceae","Platanus","Ulmus","Vitis","Populus","Amaranthaceae","Rumex acetosa-type","Helianthemum","Senecio-type","Olea","Plantago media-type","Viburnum-type","Hordeum/Triticum","Bunium-type","Scorzonera-type","Cichorioideae","Menyanthes trifoliata","Apiaceae","Fabaceae","Plantago lanceolata-type","Brassica-type","Quercus coccifera-type","Parnassia palustris","Unknown","Castanea","Corylus","Alnus","Epipactis","Dryopteris-type","Pteridium","Salix","Artemisia herba-alba-type","Galium-type","Carpinus betulus","Poaceae","Potentilla-type","Fagus","Quercus cerris-type","Juniperus","Equisetum","Abies","Cyperaceae","Pinus","Polygonum aviculare-type","Sparganium-type","Pistacia","Campanula-type","Sanguisorba-type","Filipendula","Ostrya/Carpinus orientalis","Scrophularia/Verbascum","Mercurialis annua","Calligonum","Centranthus","Betula","Anthriscus-type","Cuscuta","Epilobium","Acer","Juglans","Plantago major-type","Rhinanthus-type","Cirsium/Gundelia","Matricaria-type","Ranunculus repens-type","Rumex hydrolapathum","Sambucus nigra-type","Tilia","Humulus/Cannabis","Poaceae (Cerealia-type)","Crataegus-type","Fraxinus excelsior","Rosaceae","Allium","Caryophyllaceae","Primula","Lysimachia","Centaurea jacea-type","Juncus/Luzula","Arceuthobium oxycedri","Ophioglossum","Cornus mas","Taxus","Valeriana","Plantago maritima-type","Fallopia convolvulus-type","Echium-type","Fontanesia phillyreoides","Ephedra distachya-type","Viola","Cedrus","Aquilegia-type","Thalictrum","Typha latifolia","Lythrum","Asparagus-type","Rumex cyprius","Descurainia","Sphagnum","Crassulaceae","Euphorbia","Utricularia","Plantaginaceae","Trifolium-type","Ononis-type","Hypericum perforatum-type","Plantago tenuiflora-type","Frankenia hirsuta-type","Gentiana nivalis-type","Fraxinus ornus","Plantago coronopus-type","Urtica dioica-type","Scilla-type","Ranunculus sceleratus-type","Rhynchocorys","Calluna-type","Centaurea solstitialis-type","Brassicaceae","Veronica","Artemisia vulgaris-type","Thymus/Mentha","Phillyrea angustifolia","Onosma-type","Chelidonium","Malva","Polygonum cognatum-type","Ranunculus asiaticus-type","Potamogeton","Onopordum-type","Azolla","Rhododendron","Ligustrum","Hippophaë","Ephedra fragilis-type","Heracleum-type","Silene-type","Rosa-type","Pediastrum","Verbena","Buxus","Filago-type","Centaurea cyanus-type","Bidens-type","Rhynchospora-type","Eryngium-type","Teucrium","Cousinia","Solanum nigrum","Haplophyllum","Asteroideae","Vicia-type","Centaurea scabiosa-type","Jasione-type","Anisosciadium-type","Cyclamen","Selaginella","Melampyrum","Juniperus sabina","Pterocarya","Ranunculus peltatus-type","Rhamnus","Gentianella tenella","Antirrhinum/Linaria","Gentiana purpurea","Convolvulus","Pimpinella-type","Cheilanthes","Noaea-type","Hedera","Spergularia-type","Frangula","Maianthemum-type","Cotoneaster","Anagallis","Myrtus","Thesium","Geranium","Apium-type","Datura","Solanum dulcamara","Hippocrepis-type","Cryptogramma crispa","Lotus-type","Matthiola","Cerinthe-type","Prunus-type","Asphodeline","Malus-type","Cercis siliquastrum","Valerianella","Ferula-type","Geum-type","Euonymus","Butomus umbellatus","Scutellaria","Roemeria hybrida subsp. dodecandra-type","Bupleurum-type","Dipsacus-type","Myriophyllum spicatum/M. verticillatum","Inula-type","Polystichum","Stachys-type","Carya","Scabiosa columbaria-type","Arctium/Jurinea","Pterocephalus-type","Lappula","Spinacia-type","Symphytum-type","Capsella-type","Crupina","Bellis-type"
861,1340,362,60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,6,11,12,14,15,17,32,50,75,86,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,1479,512,70,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,6,3,NA,8,7,NA,NA,1,1,2,2,NA,1,5,1,1,4,9,32,1,12,13,22,6,60,163,306,1,1,1,1,1,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1293,1759,815,90,NA,3,3,NA,NA,1,1,1,NA,1,1,1,2,4,NA,NA,59,4,2,10,10,1,NA,7,1,5,14,NA,1,7,5,11,8,28,13,89,73,51,58,NA,21,149,214,NA,2,NA,NA,NA,10,NA,NA,NA,NA,NA,4,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1581,2037,1114,110,NA,2,3,1,NA,3,1,NA,NA,NA,NA,NA,NA,1,1,7,NA,9,1,5,8,NA,3,NA,2,9,6,NA,2,10,NA,3,7,17,23,2,8,11,41,13,69,589,479,1,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,1,NA,2,2,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1869,2317,1416,130,1,5,1,NA,NA,1,1,NA,NA,NA,NA,1,1,6,1,1,2,10,NA,1,3,3,NA,NA,3,7,15,NA,5,5,NA,6,11,17,19,3,28,32,32,9,61,359,307,NA,NA,1,NA,NA,2,2,NA,NA,NA,NA,2,14,NA,1,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2157,2595,1715,150,NA,2,3,2,NA,3,NA,NA,1,NA,NA,NA,NA,1,NA,2,1,9,NA,2,1,1,NA,1,1,1,6,NA,1,3,NA,3,6,5,12,NA,12,16,24,2,23,139,259,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2445,2874,2015,170,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,11,NA,NA,2,NA,NA,NA,3,NA,2,1,NA,NA,5,NA,4,1,9,7,NA,5,16,9,17,21,107,438,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2733,3153,2313,190,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,2,NA,NA,1,2,2,2,NA,1,NA,1,2,3,10,29,15,9,19,16,28,10,70,429,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2877,3293,2462,200,NA,5,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,13,1,NA,1,1,1,NA,3,1,5,8,NA,1,3,NA,1,19,23,22,26,27,78,33,26,3,142,258,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,2,NA,3,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3094,3503,2686,215,1,NA,2,NA,NA,3,9,NA,2,1,NA,1,12,1,NA,14,7,1,NA,19,NA,1,NA,NA,NA,1,13,NA,18,27,NA,12,4,8,167,NA,6,25,18,3,7,20,161,2,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2,9,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
