"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Cyperaceae","Ligustrum","Apiaceae","Juniperus","Cichorioideae","Pistacia","Ephedra","Cistus","Poaceae","Oleaceae","Quercus ilex-type","Sparganium-type","Pinus","Pseudoschizaea","Corylus","Ulmus","Juglans","Poaceae (Cerealia-type)","Phillyrea","Thymelaea","Cannabaceae","Betula","Rumex","Alnus","Asteroideae","Quercus robur-type","Artemisia","Amaranthaceae","Ericaceae","Plantago","Poterium sanguisorba","Unknown (trilete)","Unknown (monolete)","Tilia","Hippophaë","Vitis","Buxus","Scabiosa","Ranunculaceae","Typha latifolia-type","Fagus","Polypodium","Euphorbia","Salix","Abies","Myriophyllum","Fabaceae","Brassicaceae","Urticaceae","Coriaria myrtifolia","Rosaceae","Rubiaceae","Rhamnus","Hedera","Carpinus","Centaurea","Helianthemum","Fraxinus","Polygonum","Lamiaceae","Caryophyllaceae","Acer"
93,552,-401,255,1,1,2,2,3,3,4,4,6,6,8,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264,690,-194,265,7,NA,1,1,1,2,1,NA,25,30,24,48,42,1,1,1,1,1,1,1,1,2,2,2,2,4,7,8,11,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434,830,12,275,NA,1,2,4,NA,5,6,2,6,11,11,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
605,970,217,285,3,NA,1,NA,NA,NA,NA,NA,10,23,16,9,66,NA,NA,NA,NA,NA,4,NA,5,2,1,NA,1,NA,2,1,8,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
776,1112,421,295,6,2,1,2,9,5,NA,3,9,20,13,7,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,6,1,2,1,1,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
947,1255,624,305,4,NA,4,NA,59,NA,NA,NA,3,4,6,5,19,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,18,2,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1118,1402,826,315,6,9,5,4,637,9,6,5,22,19,15,5,36,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,3,1,22,3,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1289,1549,1024,325,3,NA,2,NA,88,NA,1,NA,1,4,5,2,23,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,10,2,3,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1460,1697,1219,335,7,12,3,7,26,12,9,4,27,50,53,15,29,16,1,NA,NA,NA,NA,NA,NA,NA,2,NA,8,17,7,5,4,2,NA,4,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1631,1849,1413,345,2,NA,NA,NA,3,NA,NA,NA,13,31,42,25,56,NA,NA,NA,NA,NA,NA,NA,1,2,4,NA,1,7,11,3,4,3,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
