"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Cyperaceae","Apiaceae","Alnus","Triticum-type","Euphorbiaceae","Ostrya/Carpinus orientalis","Plantago coronopus-type","Mercurialis annua","Ophioglossum","Pinus","Artemisia","Caryophyllaceae","Geranium","Hordeum-type","Convolvulus arvensis","Corylus","Asteroideae","Plantago major/P. media","Plantago lagopus-type","Cistus pro parte","Polypodiophyta","Juniperus","Triletes (verrucate)","Cistus albidus-type","Rumex","Quercus pubescens-type","Sarcopoterium/Sanguisorba minor","Poaceae","Erica","Botrychium","Phillyrea","Quercus ilex-type","Cichorioideae","Amaranthaceae","Pistacia","Lycopodium spike","Vitis","Cornus","Anemone-type","Fraxinus ornus","Arbutus","Ceratonia siliqua","Indeterminable","Liliaceae","Juglans","Erodium","Pteridium","Poaceae (Cerealia-type, indeterminable)","Fagus","Olea","Platanus","Thalictrum","Brassicaceae","Hedera","Fabaceae pro parte","Sparganium-type","Plumbaginaceae","Ulmus","Asphodelus","Gypsophila","Dorycnium-type","Avena-type","Mercurialis","Thymelaeaceae","Picea","Helianthemum-type","Quercus pro parte","Lythrum","Carpinus betulus","Salvia","Centaurea solstitialis-type","Plantago holosteum-type","Centaurea pro parte","Tilia","Humulus/Cannabis","Plantago maritima-type","Lamiaceae","Rosaceae","Ranunculaceae pro parte","Betula","Plantago altissima-type","Polygonum aviculare","Fraxinus excelsior","Cistus monspeliensis","Acer","Urtica","Heliotropium-type","Malvaceae","Trifolium-type","Ranunculus acris-type","Lathyrus-type","Rhamnus/Paliurus","Oleaceae pro parte","Polypodium","Populus","Saxifraga oppositifolia","Cistus salviifolius","Calligonum","Ligustrum","Dipsacoideae","Ephedra fragilis-type","Castanea"
496,NA,NA,235,"1","1","1","1","1","1","1","1","1","1","1, 362","2","2","2","2","2","3","3","3","3","3","3","4","4","5","6","7","10","14","14","18","19","20","30","53","70","157","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
544,NA,NA,238,"2","3","","1","","1","7","1","","1","360","3","1","1","4","","1","11","","2","1","","1, 1","1","","1","10","17","19","20","6","6","17","29","57","61","106","1","1","1","1","1","1","1","2","2","2","2","3","4","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
621,NA,NA,242,"5","3","","","","","1","2","","7","478","2","","3","","3","3","15","1","1","2","","1","3","3","1","11","7","7","14","18","6","9","20","62","70","184","","","","1","","","2","","","","","1","3","3","1","1","1","1","1","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
641,NA,NA,243,"1","7","","","","2","4","2","","6","302","3","","","3","5","4","37","","","6","2","1","4","5","","20","20","13","21","18","7","7","33","81","54","283","","","","","","","","","2","","6","1","","1","","1","1","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
699,NA,NA,246,"1","5","","","","","10","5","","4","414","2","2","3","4","12","1","15","","2","4","5","","3","8","","17","28","22","25","33","21","23","47","69","105","184","","","","","","","2","","1","","","2","5","8","1","","1","","1","","1","1","","","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1473,NA,NA,286,"","2","","","","","9","5","","","396","2","","","6","1","","3","","2","2","2","","","","","31","9","18","19","2","5","3","21","57","36","161","","","","","","","","1","2","1","4","","4","6","","","","","","","2","2","","","","1","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1569,NA,NA,291,"","2","","1","3","","13","6","2","","360","8","1","1","4","1","2","18","1","","2","1","1","1","2","2","61","21","40","25","10","57","33","29","62","60","126","1","","1","3","","","","1","2","","2","2","5","26","","","","","","2","","2","","","","1","","","1","","","1","1","1","1","1","1","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
1696,NA,NA,299,"","","","","","","11","3","2","","354","1","1","","","","3","13","1","","3","","1","1","2","2","44","15","18","10","10","16","14","21","20","43","85","","","","","","","","","","","","1","2","15","","","1","","","1","","","1","","","3","","","1","","","","","","","","","","","","1","1","1","2","2","","","","","","","","","","","","","","","","","","","","",""
1752,NA,NA,304,"1","2","","5","","","23","9","1","","342","6","2","2","10","5","2","20","1","2","5","1","1","4","4","3","60","19","43","35","12","52","54","36","63","88","158","1","","","1","","1","","","2","","","3","9","21","1","","","","","","1","2","","","","3","","1","","","","","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1809,NA,NA,309,"1","1","","1","","2","6","8","","","413","","1","","4","","2","13","","3","4","2","","","1","1","50","18","15","10","7","9","15","20","25","26","108","","","","","","","","","1","","4","","2","16","","","3","","","","1","","1","1","","","","","","","","","","","","","","","","","","1","","","","1","1","1","","","","","","","","","","","","","","","","","",""
