"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Celtis","Thalictrum","Amaranthaceae","Plantago","Rubia","Bosqueia","Monoletes","Triletes","Dodonaea","Ericaceae","Apiaceae","Hagenia abyssinica","Helichrysum","Olea","Unknown","Juniperus","Alchemilla","Podocarpus","Poaceae","Cyperaceae","Acalypha","Artemisia","Caryophyllaceae","Combretaceae/Melastomataceae","Myrica","Typha","Monocotyledoneae","Urticaceae","Prunus","Chenopodium","Paronychieae","Cichorioideae","Macaranga capensis","Ranunculus","Araliaceae","Anthospermum","Rumex","Zanthoxylum","Myrtaceae","Dendrosenecio","Myrsine","Acacia","Mimulopsis","Alnus","Dombeya","Rapanea","Commiphora","Lobelia","Salix","Lamiaceae","Stoebe"
-13,7,-32,0.5,1,1,1,1,1,1,1,1,3,5,7,8,9,11,12,16,33,47,87,609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,555,195,25.5,8,NA,NA,4,1,NA,7,2,3,24,27,9,25,12,7,18,108,34,114,471,1,1,1,1,1,1,1,3,3,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
587,681,435,38.5,NA,NA,NA,4,3,NA,2,3,7,15,14,12,6,9,12,8,85,17,62,108,2,NA,NA,2,1,NA,5,NA,4,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,975,705,50.5,1,1,NA,NA,NA,NA,3,1,8,7,27,10,18,15,12,9,77,26,66,258,6,NA,NA,3,NA,NA,2,2,NA,6,3,NA,NA,1,2,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1045,1350,822,62.5,2,NA,NA,NA,NA,NA,1,NA,2,8,26,11,9,16,10,22,93,30,43,128,2,NA,NA,1,1,NA,NA,3,5,4,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1312,1703,998,75.5,NA,NA,1,1,NA,NA,6,NA,NA,NA,14,11,7,8,9,13,106,48,61,NA,3,1,2,2,NA,NA,1,NA,1,5,3,NA,NA,NA,1,NA,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1557,1987,1196,87.5,1,NA,NA,NA,NA,NA,9,NA,4,23,6,10,11,10,19,12,213,44,142,384,2,NA,NA,2,1,NA,2,NA,5,4,1,NA,9,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1837,2307,1432,101.5,NA,NA,NA,NA,NA,NA,4,1,3,25,7,6,15,12,14,12,179,55,133,723,1,NA,NA,1,NA,NA,7,2,2,4,8,NA,5,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2058,2541,1637,112.5,NA,NA,NA,NA,NA,NA,2,1,1,5,5,2,5,15,8,10,77,46,58,228,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2321,2813,1912,125.5,NA,NA,NA,NA,NA,NA,3,6,1,7,2,2,6,14,11,21,88,52,71,410,1,1,NA,1,NA,NA,1,4,1,NA,3,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2564,3070,2198,137.5,NA,NA,2,NA,NA,NA,1,NA,1,11,3,4,7,6,3,23,197,51,110,496,2,NA,NA,NA,NA,NA,1,NA,5,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2864,3404,2513,150.5,1,NA,1,NA,2,NA,3,1,NA,11,20,5,11,17,26,4,185,50,159,472,1,2,3,4,NA,NA,1,2,NA,3,1,NA,16,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
3259,3967,2786,162.5,1,NA,1,NA,NA,NA,6,NA,20,NA,13,3,15,7,6,7,127,38,95,261,NA,1,3,1,NA,NA,1,NA,2,NA,1,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3686,4565,3124,175.5,3,NA,NA,NA,1,NA,2,NA,1,11,8,2,8,8,8,12,100,55,146,693,3,NA,4,1,NA,NA,1,4,1,6,2,NA,1,NA,NA,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4077,5070,3473,187.5,2,NA,NA,NA,1,NA,6,2,NA,10,5,4,37,4,7,10,62,49,145,228,2,NA,10,2,NA,NA,NA,2,4,NA,NA,NA,2,NA,1,2,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
4805,5901,3992,200.5,NA,1,1,NA,NA,NA,3,1,1,8,6,2,11,5,8,2,46,42,189,337,1,NA,6,1,NA,NA,NA,3,NA,2,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5380,6489,4406,207.5,NA,NA,1,NA,3,NA,NA,2,NA,24,20,1,17,3,10,5,57,41,78,274,NA,1,9,3,NA,1,NA,1,1,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA
5786,6883,4731,212.5,NA,NA,3,NA,8,NA,1,1,NA,20,14,1,15,5,19,5,34,9,175,55,3,NA,4,NA,NA,NA,NA,9,3,4,3,1,NA,NA,2,3,NA,NA,1,NA,NA,11,NA,NA,NA,NA,1,3,NA,NA,NA
6278,7346,5165,218.5,1,NA,2,NA,4,NA,3,5,1,19,11,2,11,13,20,4,77,69,180,545,NA,NA,10,NA,NA,2,4,14,NA,7,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA
6859,7853,5693,225.5,NA,NA,2,NA,5,1,3,1,NA,3,4,NA,4,2,4,4,17,21,137,254,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7369,8187,6332,231.5,NA,4,NA,NA,NA,NA,1,1,NA,1,4,2,53,8,10,12,36,28,120,422,NA,2,5,NA,1,NA,NA,NA,NA,15,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
7864,8518,7025,237.5,NA,4,NA,NA,NA,NA,2,NA,NA,NA,103,2,44,2,9,10,12,30,141,214,NA,7,2,NA,4,1,1,NA,NA,10,6,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8340,8875,7921,243.5,NA,3,NA,NA,1,NA,1,1,3,3,15,3,22,13,21,27,8,66,144,480,NA,3,2,NA,1,NA,1,2,1,22,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
8949,9856,8325,250.5,1,NA,NA,NA,2,NA,9,1,NA,7,17,1,15,9,7,5,22,47,181,490,2,2,2,2,1,NA,NA,3,1,10,1,NA,NA,NA,NA,2,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA
9494,10614,8658,256.5,1,NA,NA,NA,1,NA,4,1,2,15,53,6,50,14,10,12,64,12,99,169,3,NA,8,3,NA,NA,NA,1,1,27,4,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,1
9953,11141,8950,261.5,NA,1,NA,NA,NA,NA,1,NA,2,2,12,2,51,8,5,7,32,11,89,77,NA,3,2,NA,1,NA,NA,NA,1,17,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
11216,12405,9924,275.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,2,31,3,3,14,18,22,101,279,NA,2,NA,NA,NA,1,NA,NA,1,41,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
11765,12835,10478,281.5,NA,2,NA,NA,NA,NA,1,NA,1,NA,5,NA,18,5,NA,4,3,5,38,120,NA,2,NA,NA,1,1,NA,NA,2,12,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
12319,13226,11129,287.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,6,NA,8,4,26,30,540,1,2,NA,1,NA,1,NA,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
13395,13953,12431,299.5,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,4,3,NA,2,1,7,43,300,NA,1,NA,NA,1,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
