"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Salix","Typha latifolia","Rosaceae undiff.","Stachys-type","Rhamnus","Plantago major-type","Juniperus","Centaurium","Echium","Calluna vulgaris","Ulex-type","Erica scoparia-type","Samolus","Radiola","Pistacia","Caryophyllaceae undiff.","Daphne","Apium inundatum-type","Frankenia","Mercurialis-type","Indeterminable (unknown)","Zygnemataceae","Polygonum aviculare-type","Potamogeton","Olea","Spergula-type","Cicendia filiformis","Spiniferites undiff.","Artemisia","Fraxinus","Helianthemum","Asphodelus","Rumex undiff.","Vitis vinifera","Cirsium-type","Serratula-type","Lamiaceae (hexacolpate)","Riccia","Anogramma leptophylla","Pediastrum","Typha/Sparganium","Asteraceae","Rumex acetosa-type","Arnoseris","Quercus (deciduous-type)","Ophioglossum lusitanicum","Plantago undiff.","Cistus ladanifer-type","Erica umbellata-type","Cistus monspeliensis-type","Alnus","Quercus suber-type","Brassicaceae","Ranunculus-type","Apiaceae undiff.","Erica australis-type","Myriophyllum alterniflorum","Cistaceae undiff.","Pinus","Tamarix","Pteridophyta (trilete) undiff.","Rumex acetosella-type","Myrtus","Plantago lanceolata-type","Quercus undiff.","Erica arborea-type","Triletes undiff.","Quercus ilex-type","Lingulodinium machaerophorum","Aster-type","Ericaceae undiff.","Plantago coronopus-type","Cyperaceae","Indeterminable undiff.","Amaranthaceae","Poaceae","Cichorioideae","Isoëtes undiff.","Fabaceae undiff.","Liliaceae undiff.","Trifolium-type","Scabiosa columbaria-type","Poaceae (>37 µm)","Poterium sanguisorba","Isoëtes","Pteridophyta (monolete) undiff.","Castanea","Selaginella denticulata","Cistus albidus-type","Tuberaria guttata","Halimium halimifolium-type","Spirogyra","Phillyrea","Betula","Nymphaea","Galium-type","Eryngium","Erodium","Anagallis tenella-type","Armeria/Limonium","Ilex aquifolium","Linaria","Myrica","Anthemis-type","Illecebrum verticillatum-type","Lotus-type","Ephedra distachya-type","Onobrychis-type","Linum undiff.","Pilularia globulifera","Myriophyllum spicatum","Helianthemum croceum-type","Pentapharsodinium dalei (cyst)","Valerianella","Centaurea nigra-type","Herniaria-type","Cheilanthes","Crassulaceae","Algae","Fumaria officinalis-type","Pseudoschizaea","Arbutus unedo","Osmunda regalis","Operculodinium centrocarpum","Operculodinium israelianum","Alisma","Ephedra fragilis-type","Alchemilla-type","Gynandriris sisyrinchium","Euphorbia","Lythrum salicaria-type","Polysphaeridium zoharyi","Jasione montana-type","Hypecoum","Polypodium vulgare-type","Hedera helix","Persicaria maculosa-type","Sambucus ebulus","Geranium","Nuphar","Centaurea scabiosa-type","Coronilla-type","Ononis-type","Boraginaceae undiff.","Rhus","Cynoglossum officinale-type","Scrophularia-type","Chamaerops","Corylus","Acer campestre-type","Teucrium","Convolvulus","Viburnum tinus","Halimium/Tuberaria"
1561.6,NA,NA,160,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,6,6,6,7,7,7,7,7,7,7,8,8,8,8,9,9,10,10,10,10,11,11,11.5,14,15,16,17,18,25,28,29,35,36,43,64,66,68,121,158,196,264,781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1756.8,NA,NA,180,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,4,1,1,9,1,NA,NA,NA,NA,2,2,8,NA,5,1,NA,2,6,4,1,7,NA,3,NA,6,2,2,2,13,2,6,1,10,12,12,NA,5,30,13,4,6,2,11,8,8,14,4,7.5,12,2,14,20,15,15,38,40,33,29,40,45,38,46,33,137,42,132,473,1,1,1,1,1,1,1,1,2,2,3,3,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2049.5,NA,NA,210,5,NA,NA,NA,1,1,1,NA,1,1,NA,1,1,4,3,NA,NA,NA,NA,1,NA,1,2,3,1,2,1,6,2,7,NA,2,5,11,1,5,3,4,3,3,3,4,3,NA,10,4,1,5,12,11,7,11,6,7,8,4,7,7,7,14,3,17,28,11,29,36,24,24,27,28,40,33,43,44,59,129,119,457,1,3,2,1,3,NA,NA,1,1,NA,NA,NA,NA,NA,5,1,1,1,1,1,1,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2732.7,NA,NA,280,7,1,NA,NA,1,NA,2,1,3,NA,NA,1,NA,1,11,NA,NA,2,NA,2,NA,1,1,6,1,1,4,3,NA,8,NA,3,5,11,1,11,NA,8,NA,10,4,3,3,5,10,6,1,3,19,10,5,11,4,9,8,7,11,4,6,11,2,15,29,8,20,23,21,32,21,40,40,37,50,46,84,130,108,500,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,5,NA,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2927.9,NA,NA,300,3,NA,NA,NA,NA,1,NA,1,1,NA,NA,5,1,1,13,1,1,NA,NA,1,2,1,4,NA,9,1,1,10,3,9,1,2,1,13,NA,2,2,8,2,20,NA,1,2,5,11,1,NA,12,19,6,1,12,6,12,7,5,3,5,14.5,8,2,2,14,11,16,32,33,32,74,54,25,20,32,29,97,40,62,571,NA,2,NA,NA,2,NA,5,NA,1,NA,2,NA,3,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3123.1,NA,NA,320,11,NA,NA,2,NA,2,NA,NA,1,NA,1,5,2,2,6,1,1,NA,NA,NA,5,2,1,1,8,2,NA,13,9,11,NA,5,1,14,NA,3,2,6,3,23,NA,NA,2,5,15,7,NA,13,22,8,10,4,5,7,15,4,13,6,18,10,3,10,18,10,18,24,40,40,139,27,31,17,31,35,105,65,72,571,1,1,NA,NA,NA,NA,2,1,NA,NA,NA,2,2,4,8,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3283.3,NA,NA,340,14,NA,NA,NA,3,3,2,NA,2,1,NA,NA,1,NA,7,NA,1,2,NA,NA,2,10,2,6,3,NA,NA,9,1,10,NA,1,2,12,NA,2,NA,9,1,3,2,1,1,3,12,5,3,14,12,11,4,5,6,2,10,4,9,5,11.5,10,NA,10,26,12,21,15,25,46,74,29,33,20,49,44,66,89,101,584,1,3,NA,NA,1,1,NA,NA,1,NA,NA,NA,2,NA,11,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3592.4,NA,NA,405,6,NA,NA,NA,NA,NA,1,NA,2,1,NA,3,NA,NA,6,NA,1,2,NA,NA,3,6,1,3,4,1,1,4,1,2,NA,3,1,2,NA,1,2,8,3,4,NA,5,2,3,11,5,NA,13,16,6,5,5,5,5,3,5,4,4,13.5,5,2,7,24,4,23,18,25,31,21,17,31,13,38,33,64,63,67,537,NA,2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,5,NA,14,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3901.6,NA,NA,470,4,NA,NA,NA,1,NA,NA,1,1,1,NA,1,NA,1,6,1,NA,1,NA,1,NA,NA,1,2,6,NA,1,6,5,5,NA,1,2,3,1,4,3,4,4,2,1,4,2,3,7,9,1,15,12,10,4,6,4,3,7,4,6,7,13.5,4,4,5,33,3,26,32,39,27,55,25,46,14,30,38,169,47,84,552,NA,NA,NA,NA,2,NA,NA,1,NA,NA,4,4,NA,NA,6,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4187,NA,NA,530,5,NA,NA,NA,NA,NA,1,2,1,2,NA,3,NA,NA,8,1,NA,2,NA,NA,1,1,2,NA,9,1,NA,17,5,20,1,NA,2,6,NA,1,NA,5,3,21,NA,7,1,4,24,7,1,8,2,7,7,15,NA,5,11,5,5,2,12.5,6,1,14,23,3,24,12,24,59,18,27,21,11,38,19,54,52,79,813,NA,1,NA,NA,NA,1,14,2,NA,NA,NA,NA,NA,NA,14,1,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
