"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Carya","Corylus","Geranium","Thalictrum","Liliaceae","Lamiaceae","Triticum-type","Bistorta officinalis","Bupleurum-type","Scabiosa","Galium-type","Centaurea-type","Thymelaeaceae","Cistus","Ephedra fragilis","Plantago coronopus","Urtica pilulifera-type","Ziziphus-type","Polypodiophyta (monolete)","Cistaceae","Mentha-type","Typha angustifolia/Sparganium","Delphinium-type","Platanus orientalis","Potamogeton","Trifolium-type","Eucalyptus","Theligonum","Plantago indeterminata","Caryophyllaceae","Crataegus-type","Rumex","Centaurea scabiosa-type","Phillyrea-type","Polypodiophyta (trilete)","Salix","Fabaceae","Hordeum-type","Ranunculaceae","Juglans","Apiaceae","Pistacia","Cirsium/Carduus-type","Poaceae (Cerealia-type)","Varia","Brassicaceae","Rosaceae","Casuarina","Herniaria-type","Cyperaceae","Plantago lanceolata","Polygonum aviculare","Xanthium","Artemisia","Cichorioideae","Quercus ithaburensis","Asteroideae","Cupressaceae","Sarcopoterium","Amaranthaceae","Olea-type","Pinus","Myriophyllum","Poaceae","Quercus coccifera","Pediastrum","Lycopodium spike","Botryococcus","Prunus-type","Avena-type","Echinops","Veronica-type","Centaurea nigra-type","Pimpinella-type","Polygonum oxyspermum","Vitis","Chelidonium-type","Quercus indet.","Equisetum","Alnus","Urtica dioica-type","Ericaceae","Hypericum","Potentilla-type","Lemna","Solanum","Carpinus betulus","Dipsacoideae","Tamarix","Heracleum-type","Fraxinus syriaca","Acer","Polygonum indeterminata","Ebenus-type","Elaeagnus","Knautia","Ulmus","Anchusa","Agrostemma","Cannabis","Scrophulariaceae","Zea mays","Populus","Plantago major/P. media","Alisma plantago-aquatica","Papaver-type","Salvia-type","Lythrum salicaria-type","Campanula-type","Carpinus orientalis","Cedrus","Fraxinus ornus","Boraginaceae","Vicia-type","Stachys-type","Adonis-type","Asphodelus","Tilia","Papaveraceae","Echium","Ranunculus aquatilis-type","Centaurea solstitialis-type","Carthamus-type","Erodium","Apium-type","Lythrum portula-type","Fagus","Sambucus","Ephedra distachya","Ceratonia","Aesculus","Picea","Persicaria amphibia","Secale-type","Armeria-type","Epilobium","Osmunda","Helianthemum","Linum bienne-type","Abies","Symphytum","Acacia","Celtis","Euphorbiaceae","Convolvulus","Acanthus","Rhamnus-type","Rhus","Rhinanthus-type","Aconitum-type","Mercurialis","Linum austriacum-type"
-62.8,NA,NA,2.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,5,5,5,6,6,7,7,8,9,9,10,10,12,13,17,17,19,20,21,28,35,36,46,47,61,71,148,151,231,256,353,706,1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-24.9,NA,NA,8.5,NA,2,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,1,3,3,3,1,1,2,3,3,4,3,NA,1,3,4,8,8,4,4,17,3,11,10,13,6,6,6,5,13,13,39,26,55,37,36,44,40,43,66,115,102,198,182,618,618,996,1,1,1,1,1,1,1,2,2,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-18.7,NA,NA,9.5,NA,1,NA,NA,1,1,1,NA,NA,NA,2,2,NA,NA,1,NA,NA,NA,1,NA,2,1,2,2,16,6,6,1,13,5,1,5,3,1,4,6,6,1,8,3,15,15,8,10,20,13,5,5,28,14,8,12,13,21,29,39,49,83,29,64,74,161,157,245,238,840,834,3336,NA,NA,NA,4,NA,NA,2,3,NA,2,NA,1,3,1,1,1,1,1,1,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.1,NA,NA,14.5,NA,1,NA,1,NA,1,NA,NA,1,1,NA,1,NA,NA,1,NA,1,3,1,1,1,2,1,4,8,5,1,1,7,12,NA,1,7,3,2,4,5,NA,14,3,13,10,7,6,12,13,10,7,20,19,24,16,NA,23,51,26,41,46,33,50,78,95,218,232,231,360,592,660,NA,NA,NA,2,NA,2,2,2,NA,2,1,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25.7,NA,NA,16.5,1,2,NA,NA,NA,1,2,1,1,NA,2,NA,NA,2,1,2,5,1,NA,NA,NA,NA,1,2,11,9,1,2,2,6,NA,1,12,2,3,1,2,1,4,2,9,12,4,3,7,9,12,3,22,16,16,8,1,24,52,13,42,40,26,41,70,105,196,257,181,553,553,2040,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44.5,NA,NA,19.5,2,2,NA,NA,NA,1,2,NA,NA,NA,1,1,NA,1,1,NA,1,1,2,NA,NA,1,1,3,11,6,8,2,13,7,1,3,9,3,1,1,4,2,5,6,22,9,8,17,17,15,4,6,30,15,4,15,NA,21,57,25,38,20,29,51,70,103,299,237,193,705,1301,1410,NA,NA,NA,1,NA,1,2,1,NA,NA,NA,3,1,NA,1,1,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75.8,NA,NA,24.5,2,NA,1,NA,NA,3,3,NA,NA,NA,1,NA,1,1,1,3,1,NA,2,1,NA,NA,3,NA,22,7,5,2,2,8,1,4,7,2,6,2,7,5,7,8,6,13,11,7,9,11,7,9,14,29,8,18,1,30,65,25,48,45,36,36,63,90,270,310,179,1431,597,8109,NA,NA,1,1,NA,NA,NA,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105.6,NA,NA,29.5,NA,1,NA,NA,NA,2,3,1,NA,1,1,3,NA,NA,2,NA,1,1,4,NA,NA,NA,NA,4,9,16,1,2,18,13,NA,5,11,NA,3,3,4,2,13,3,15,18,4,45,12,11,5,6,30,24,9,30,1,40,62,16,56,13,29,33,79,113,352,260,167,383,712,767,1,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118.4,NA,NA,31.5,NA,1,NA,NA,NA,1,1,NA,NA,NA,3,NA,2,NA,1,NA,1,NA,1,NA,1,NA,2,1,7,9,2,4,5,5,1,6,16,2,5,2,3,1,7,1,4,18,2,4,9,7,10,2,19,5,14,17,NA,43,42,17,33,23,29,33,70,66,339,280,147,147,693,989,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144.2,NA,NA,35.5,NA,NA,NA,NA,1,1,5,NA,1,NA,2,NA,NA,NA,NA,1,1,NA,1,NA,1,1,4,2,77,11,NA,1,8,7,1,10,6,1,5,NA,4,6,14,2,7,20,4,5,10,6,13,NA,6,7,12,7,1,58,18,29,33,3,35,25,42,20,730,348,169,2,1683,2,NA,1,1,1,NA,NA,NA,3,2,NA,NA,2,1,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
