"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Fabaceae","Lamiaceae","Cedrus","Olea europaea","Quercus ilex","Typha latifolia","Pinus","Quercus coccifera","Amaranthaceae","Brassicaceae","Plantago","Asteroideae","Cyperaceae","Poaceae","Cichorioideae","Apiaceae","Potamogeton","Juncus","Ranunculus","Artemisia","Monoletes","Caryophyllaceae","Centaurea","Polygonum aviculare","Rosaceae","Alchemilla","Primulaceae","Unknown","Sanguisorba","Castanea","Typha/Sparganium","Acer","Pteris","Ephedra fragilis","Poaceae (Cerealia)","Humulus/Cannabis","Ammi","Juglans","Sesamum","Myriophyllum","Tamarix","Lythrum","Pistacia","Botrychium","Noaea","Triletes"
788,NA,NA,26,1,1,1,1,1,2,2,2,4,7,9,10,22,73,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
849,NA,NA,28,NA,NA,NA,NA,NA,3,5,NA,8,8,2,8,27,74,266,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
910,NA,NA,30,1,3,NA,NA,2,1,2,NA,5,9,1,9,25,73,268,2,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
970,NA,NA,32,NA,NA,1,NA,2,5,2,NA,6,9,4,11,25,65,279,NA,NA,24,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1031,NA,NA,34,NA,NA,NA,1,NA,2,2,1,2,6,3,8,27,68,268,2,2,19,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1092,NA,NA,36,1,1,1,NA,NA,1,5,1,5,6,2,8,38,59,295,NA,NA,26,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1152,NA,NA,38,1,NA,NA,NA,NA,5,2,1,7,5,5,9,30,70,287,NA,NA,16,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1213,NA,NA,40,2,1,NA,NA,NA,NA,4,NA,4,5,4,11,29,72,282,3,NA,11,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304,NA,NA,43,NA,1,NA,NA,1,NA,NA,NA,2,3,1,7,20,62,248,2,NA,2,NA,1,NA,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1334,NA,NA,44,NA,1,NA,1,NA,4,2,NA,11,2,16,11,37,38,280,1,6,36,NA,NA,NA,NA,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1395,NA,NA,46,NA,2,NA,NA,NA,2,4,NA,5,5,2,12,44,84,250,2,8,26,1,NA,NA,NA,1,NA,NA,3,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1455,NA,NA,48,1,2,NA,NA,NA,4,3,NA,10,4,2,15,45,71,250,5,15,56,3,NA,NA,1,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1516,NA,NA,50,NA,3,NA,NA,1,4,3,3,6,7,2,9,31,72,253,2,1,32,1,2,NA,NA,NA,NA,1,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1577,NA,NA,52,NA,1,1,NA,6,5,1,9,3,17,5,14,39,58,222,1,NA,41,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1637,NA,NA,54,NA,NA,NA,NA,3,8,NA,2,1,8,1,18,53,60,307,4,NA,39,NA,1,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1698,NA,NA,56,NA,NA,NA,NA,2,5,4,1,6,5,2,15,38,57,314,2,NA,42,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1759,NA,NA,58,1,5,1,NA,5,8,10,8,5,11,1,26,42,83,227,3,NA,124,NA,1,NA,NA,NA,NA,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1819,NA,NA,60,NA,1,NA,NA,7,19,4,2,6,9,7,9,51,129,214,NA,NA,92,2,2,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1880,NA,NA,62,NA,NA,1,NA,3,33,8,10,6,1,10,13,22,143,141,5,NA,55,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2062,NA,NA,68,1,3,1,1,12,15,4,14,12,15,1,36,45,84,190,11,NA,67,3,4,NA,NA,5,2,1,1,2,8,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2122,NA,NA,70,NA,3,2,1,13,20,5,9,15,11,3,21,57,153,146,6,NA,91,NA,2,NA,1,1,NA,NA,2,1,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2213,NA,NA,73,NA,6,NA,NA,9,1,5,NA,3,13,6,30,31,149,69,11,3,40,3,3,NA,NA,5,NA,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2304,NA,NA,76,5,3,1,NA,10,17,12,12,16,8,34,22,19,92,62,6,2,10,3,12,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2486,NA,NA,82,NA,5,NA,2,33,20,6,18,15,5,1,39,25,97,57,3,NA,5,NA,7,2,1,4,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2547,NA,NA,84,2,1,7,NA,38,15,4,15,8,7,3,37,8,97,34,4,3,25,5,4,NA,6,4,NA,3,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA
2668,NA,NA,88,1,1,6,NA,31,8,1,5,5,7,3,26,27,146,34,7,2,20,4,11,2,NA,3,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2789,NA,NA,92,NA,1,4,2,49,16,NA,10,2,1,NA,39,45,117,71,5,3,85,NA,7,3,NA,NA,NA,1,5,NA,NA,NA,2,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2911,NA,NA,96,1,1,2,NA,63,11,7,5,3,6,8,18,34,127,46,5,1,58,7,6,3,NA,1,NA,NA,1,NA,7,1,NA,7,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
3032,NA,NA,100,NA,12,9,NA,61,4,7,8,6,5,3,17,22,96,24,3,2,65,14,6,NA,1,1,NA,NA,NA,NA,1,NA,NA,23,1,NA,1,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
3153,NA,NA,104,NA,1,12,NA,85,51,7,7,5,5,NA,13,37,139,8,12,1,56,2,4,3,NA,NA,1,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3275,NA,NA,108,1,NA,6,1,82,41,10,8,7,8,NA,14,20,127,7,14,6,53,4,9,4,2,NA,NA,NA,NA,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3468,NA,NA,112,NA,1,1,NA,41,70,10,12,17,5,NA,21,63,162,19,2,NA,65,NA,6,5,NA,1,NA,NA,NA,6,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3705,NA,NA,116,NA,3,14,1,45,65,15,18,5,2,NA,4,39,190,8,2,NA,52,NA,3,4,2,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
3942,NA,NA,120,1,4,10,1,57,75,15,7,6,2,NA,5,126,160,8,2,NA,37,NA,1,6,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA
4180,NA,NA,124,2,3,4,3,88,15,6,6,7,4,4,13,87,130,2,3,2,35,9,8,NA,NA,NA,1,1,NA,NA,1,NA,NA,24,NA,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
4417,NA,NA,128,NA,7,8,NA,118,1,6,2,9,5,3,20,28,171,11,21,NA,92,1,5,3,NA,6,NA,NA,1,3,NA,2,NA,34,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4654,NA,NA,132,NA,1,5,1,78,47,8,10,8,11,NA,9,49,132,3,5,6,50,2,6,7,2,NA,NA,NA,3,NA,3,NA,NA,20,2,NA,NA,2,NA,9,NA,NA,3,11,NA,NA,NA,NA,NA
4891,NA,NA,136,2,7,1,1,32,86,6,2,4,51,NA,4,14,96,5,4,18,16,2,NA,NA,4,NA,1,NA,1,NA,NA,NA,NA,31,NA,NA,NA,4,NA,6,NA,NA,26,65,NA,NA,NA,NA,NA
5128,NA,NA,140,2,2,10,NA,61,91,9,14,10,38,NA,11,30,87,3,9,16,31,6,10,NA,NA,NA,NA,NA,NA,NA,8,1,1,9,NA,NA,2,NA,NA,11,NA,NA,31,27,1,1,NA,NA,NA
5365,NA,NA,144,1,NA,5,2,63,55,4,4,7,21,NA,7,33,124,12,6,8,29,NA,3,2,4,NA,2,NA,2,NA,1,NA,NA,18,NA,NA,NA,4,NA,11,NA,NA,20,18,1,NA,NA,NA,NA
5602,NA,NA,148,1,NA,5,NA,33,14,3,5,6,6,1,5,30,52,5,3,2,31,2,6,3,1,1,1,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,1,NA,7,NA,NA,2,11,NA,NA,NA,NA,NA
5839,NA,NA,152,1,2,4,1,40,20,4,3,6,27,1,9,88,143,18,5,1,59,4,5,2,1,2,NA,NA,2,NA,3,1,1,9,NA,NA,1,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA
6077,NA,NA,156,2,3,7,NA,45,23,7,2,9,31,1,12,99,112,23,4,1,28,1,7,2,1,NA,2,NA,2,NA,5,NA,NA,8,NA,NA,1,4,NA,9,NA,NA,2,4,NA,NA,NA,NA,NA
6254,NA,NA,159,1,1,9,NA,22,15,2,5,17,7,NA,9,44,53,12,2,6,11,6,2,1,2,NA,3,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,4,NA,NA,3,1,1,NA,1,NA,NA
6551,NA,NA,164,2,NA,1,2,73,4,7,14,16,12,NA,12,45,113,11,5,2,69,8,1,4,2,2,1,NA,2,NA,1,NA,NA,17,NA,NA,NA,3,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA
6788,NA,NA,168,NA,NA,7,NA,50,21,6,4,18,NA,4,11,47,103,17,10,2,59,3,5,1,1,NA,NA,1,1,NA,2,NA,NA,4,NA,NA,NA,2,NA,8,NA,NA,NA,5,2,NA,1,NA,NA
7025,NA,NA,172,1,1,1,NA,14,18,2,2,11,31,1,3,29,54,6,3,1,9,1,2,2,1,1,NA,1,4,NA,3,NA,NA,3,NA,NA,NA,NA,NA,6,NA,NA,2,3,1,NA,NA,NA,NA
7367,NA,NA,176,2,3,3,1,47,15,2,1,13,35,1,6,15,95,17,7,8,36,11,3,NA,1,NA,NA,1,NA,1,4,NA,NA,12,NA,NA,NA,3,NA,25,NA,NA,3,22,NA,NA,NA,NA,NA
7538,NA,NA,178,NA,NA,1,NA,50,3,3,NA,21,64,NA,8,43,121,14,21,19,19,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,9,NA,NA,NA,NA,NA
7709,NA,NA,180,2,2,2,NA,51,29,NA,7,18,77,1,5,27,81,18,5,5,35,3,NA,2,NA,NA,NA,1,NA,NA,2,NA,NA,3,NA,NA,NA,3,NA,20,NA,NA,1,18,1,NA,NA,NA,NA
8051,NA,NA,184,1,NA,NA,NA,20,14,NA,2,15,11,NA,4,9,73,2,4,11,13,5,1,NA,3,NA,NA,NA,NA,NA,2,NA,NA,5,NA,NA,NA,1,NA,4,NA,NA,1,3,2,NA,NA,NA,NA
8393,NA,NA,188,2,4,1,NA,57,48,NA,6,25,39,NA,7,16,87,11,9,2,18,18,4,NA,1,1,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,1,NA,13,NA,NA,1,24,3,NA,NA,NA,NA
8735,NA,NA,192,NA,1,NA,NA,26,10,NA,6,13,10,NA,3,10,39,5,6,3,20,10,2,1,NA,1,NA,2,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA
9419,NA,NA,200,NA,1,1,NA,23,6,NA,NA,7,4,NA,3,8,61,4,5,2,21,5,4,NA,NA,NA,NA,2,NA,NA,3,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9761,NA,NA,204,NA,1,NA,NA,19,NA,1,NA,5,1,NA,NA,14,31,3,9,1,11,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
10445,NA,NA,212,NA,NA,1,NA,46,8,1,1,19,7,NA,11,18,179,12,8,NA,19,12,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10593,NA,NA,216,1,NA,NA,NA,22,7,NA,NA,18,11,NA,5,9,180,42,5,NA,14,11,1,1,2,NA,1,1,1,NA,3,NA,NA,2,2,NA,2,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
10740,NA,NA,220,NA,1,NA,NA,33,5,NA,NA,35,10,1,17,13,154,89,10,NA,14,11,4,NA,2,2,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA
10888,NA,NA,224,NA,1,1,NA,17,6,NA,NA,23,4,1,23,10,125,88,1,NA,3,7,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,3,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1
11036,NA,NA,228,NA,6,NA,NA,12,3,2,NA,22,5,NA,21,1,80,73,4,2,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11183,NA,NA,232,4,NA,NA,NA,18,NA,NA,NA,23,2,NA,12,15,129,105,5,NA,1,1,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11331,NA,NA,236,1,3,NA,NA,21,1,1,2,36,1,NA,10,14,127,87,4,NA,6,2,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
11589,NA,NA,243,NA,NA,3,NA,1,NA,1,NA,35,NA,NA,3,3,97,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11700,NA,NA,246,NA,NA,3,NA,9,NA,1,NA,112,3,NA,6,38,138,23,2,1,81,2,2,NA,1,2,NA,NA,2,NA,1,NA,NA,11,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA
11758,NA,NA,249,NA,NA,3,NA,12,NA,2,NA,131,2,NA,9,38,139,7,3,1,90,3,7,NA,4,1,1,NA,1,NA,2,NA,NA,6,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA
12358,NA,NA,280,NA,1,NA,NA,3,NA,1,2,27,1,NA,3,14,22,6,NA,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
12416,NA,NA,283,NA,NA,3,NA,11,NA,1,NA,40,3,NA,3,21,113,18,NA,3,15,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12745,NA,NA,300,3,NA,1,NA,15,7,1,1,21,6,1,7,8,51,16,1,NA,5,1,5,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA
12803,NA,NA,303,NA,NA,2,NA,7,2,1,NA,44,3,NA,6,1,66,12,4,1,NA,NA,3,NA,1,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12900,NA,NA,308,NA,NA,1,NA,6,4,NA,NA,94,4,NA,11,10,114,37,16,2,98,1,7,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
