"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Geranium","Salix","Lysimachia","Plantago lanceolata-type","Genista-type","Centaurea nigra-type","Juniperus communis","Armeria","Lythrum","Amaranthaceae","Campanula","Sparganium","Alnus glutinosa","Filipendula","Liliaceae-type","Cytisus scoparius","Spermatophyta indet.","Sphagnum","Calluna vulgaris","Betula pubescens","Cichorioideae","Plantago undiff.","Lotus","Silene dioica-type","Erica australis","Paronychia polygonifolia-type","Brassicaceae","Polygonum-type sensu lato","Cyperaceae","Pteridium aquilinum","Galium-type","Sedum-type","Erica umbellata","Apiaceae","Polypodiales (monolete)","Ranunculus","Erica arborea-type","Rumex","Olea europaea","Pinus pinaster","Quercus robur-type","Poaceae","Lycopodium spike","Fabaceae undiff.","Halimium/Tuberaria","Cistaceae undiff.","Potentilla","Micranthes stellaris-type","Cerastium","Hedwigia","Poaceae (Cerealia)","Corylus avellana","Quercus ilex-type","Teucrium","Poterium sanguisorba","Gentiana lutea/G. pneumonanthe","Sambucus nigra","Pinus sylvestris-type","Artemisia","Fraxinus angustifolia","Lavandula-type","Castanea sativa","Vitis","Nymphaea","Helianthemum","Spergula","Hypericum perforatum-type","Vicia","Botrychium","Spergularia-type","Echium","Chrysosplenium","Asphodelus albus","Carpinus betulus","Marchantiophyta","Jasione-type","Polypodium","Silene vulgaris-type","Rubus","Phillyrea","Sorbus aucuparia","Dianthus lusitanus-type","Filago-type","Dryopteris filix-mas-type","Erica","Pistacia","Rumex acetosa-type","Anthemis-type","Aster-type","Daucus","Ornithogalum-type","Physospermum cornubiense","Arenaria","Apiaceae undiff.","Narcissus bulbocodium","Conopodium majus","Sparganium emersum-type","Chaerophyllum temulum","Peucedanum-type","Rumex acetosella-type","Plantago major-type","Centaurium","Silene foetida-type","Sanicula europaea","Plantago subulata-type","Thapsia maxima-type","Ulmus","Heliotropium","Ephedra fragilis-type","Veratrum album","Rosaceae undiff.","Angelica palustris-type","Solidago","Minuartia recurva","Gagea nevadensis","Acer","Ranunculus acris-type","Mercurialis annua","Ophioglossum lusitanicum","Saxifraga granulata-type","Lavandula","Scilla","Silene ciliata-type","Bidens","Meum-type"
-6.71,NA,NA,1,"11329, 1","0.282","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","4","4","5","5","6","6","6","6","7","8","9","9","13","14","14","17","18","21","22","23","39","46","111","656","62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
114.45,NA,NA,5,"11329, 1","0.282","","","","12","4","1","","2","","","4","1","11","1","","1","3","","9","6","4","1","","10","7","5","1","5","27","2","11","16","7","15","12","16","39","14","12","11","100","588","58","1","1","2","3","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
265.91,NA,NA,10,"11329, 1","0.282","","","","2","2","2","","","","","4","5","7","","7","","1","1","10","9","4","","","7","2","8","3","1","33","2","18","26","4","18","19","43","30","10","11","18","83","480","78","","","","4","1","1","1","2","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
417.36,NA,NA,15,"11329, 1","0.282","","","1","12","","","3","1","","3","5","4","21","","4","","2","1","16","11","4","","","11","6","8","1","2","27","3","17","19","6","11","19","56","68","13","37","8","77","700","78","","2","","4","7","2","","2","4","5","1","1","2","2","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
568.82,NA,NA,20,"11329, 1","0.282","","","1","6","","1","2","5","","","6","1","6","","3","1","1","","12","6","8","3","","8","10","5","2","","23","1","12","11","6","11","20","37","34","6","25","7","52","645","71","","2","","1","8","","2","3","","6","","1","4","","5","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
720.27,NA,NA,25,"11329, 1","0.282","","2","","21","","","","3","","2","4","1","13","3","3","2","2","1","18","9","17","5","","34","18","20","9","","25","2","33","28","9","13","21","111","157","14","76","3","101","1354","137","","7","","14","27","","","1","1","17","","","5","","11","11","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
989.14,NA,NA,30,"11329, 1","0.282","","","","27","1","","1","1","","4","4","2","16","2","2","","3","","10","25","8","","","16","12","17","2","1","32","1","30","32","","32","17","89","62","30","17","2","131","1000","84","","6","","6","7","","2","6","1","23","","1","2","","9","4","","1","","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1375.43,NA,NA,35,"11329, 1","0.282","","","","22","","2","","4","","1","2","7","11","5","6","","7","","18","25","7","2","","9","10","15","4","","25","3","23","26","4","41","25","44","74","16","5","3","103","800","91","","7","","8","2","","1","3","1","16","","1","4","","6","2","","4","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1761.71,NA,NA,40,"11329, 1","0.282","","","","6","","1","","4","","1","3","9","16","2","5","","5","","16","13","6","1","","9","6","1","3","5","35","3","19","18","8","40","11","17","30","9","6","6","115","1250","100","","","","3","5","","2","2","","9","","","2","","7","7","","","","1","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2148,NA,NA,45,"11329, 1","0.282","","","","86","2","4","2","4","","","20","8","18","2","14","","6","1","12","6","8","23","","28","8","12","11","6","25","","61","52","","82","36","27","48","12","3","14","153","1530","133","","1","","8","17","","2","4","3","18","","1","1","","21","3","","","","","","1","7","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
