"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Pseudoschizaea circula","Artemisia","Ilex","Cichorioideae","Scrophulariaceae","Taxus","Campanulaceae","Juniperus","Erodium","Corylus","Rumex","Liliaceae","Fraxinus","Polygonum","Arbutus","Olea europaea","Anthemis","Calluna","Apiaceae","Amaranthaceae","Frangula alnus","Plantago coronopus","Ranunculaceae","Lycopodium","Fabaceae undiff.","Ambrosia","Rosaceae undiff.","Quercus ilex-type","Unknown (type 33, HdV)","Fungi (type 18, HdV)","Pteridium aquilinum","Urtica","Rumex acetosella","Genista-type","Brassicaceae","Castanea","Cyperaceae","Pinus","Sordaria-type (type 55A, HdV)","Tilletia sphagni (type 27, HdV)","Quercus (deciduous)","Ericaceae","Alnus","Betula","Poaceae","Boraginaceae","Polemonium","Plantago lanceolata","Salix","Sphagnum","Algae? (type 229, HdV)","Glomus","Potentilla","Pinus subg. Strobus-type","Geranium","Asphodelus","Thalictrum","Viburnum","Lamiaceae","Caryophyllaceae","Cistus","Aster-type","Euphorbia","Ulmus","Epilobium","Pedicularis","Rhamnus","Prunus-type","Sambucus","Centaurea","Helianthemum","Coniochaeta xylariispora (type 6, HdV)","Primula","Daphne","Lotus-type","Juglans","Bryonia","Amaryllidaceae","Chaetomium sp. (type 7A, HdV)"
289,NA,NA,5,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,5,5,5,5,6,6,7,10,10,10,11,13,13,18,23,23,49,71,90,117,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
476,NA,NA,10,NA,NA,NA,6,8,NA,4,NA,NA,6,2,2,NA,NA,2,30,2,NA,10,4,NA,NA,NA,32,22,NA,24,16,NA,16,NA,NA,12,10,NA,16,22,18,80,NA,38,20,66,102,122,2,2,6,6,6,8,10,12,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664,NA,NA,15,NA,NA,1,9,NA,NA,3,NA,NA,1,3,NA,NA,NA,5,7,4,NA,3,NA,2,3,NA,13,4,NA,12,7,NA,7,NA,NA,7,NA,5,18,22,11,4,NA,68,72,189,252,39,NA,NA,NA,NA,1,NA,8,2,NA,1,1,2,2,2,3,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
851,NA,NA,20,NA,NA,1,4,2,NA,2,NA,NA,NA,NA,NA,NA,NA,5,5,4,1,7,NA,NA,NA,NA,14,4,NA,3,4,NA,4,NA,NA,2,NA,NA,29,33,2,10,NA,43,92,128,241,88,3,NA,6,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,2,3,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1039,NA,NA,25,NA,NA,NA,4,1,NA,2,NA,NA,NA,1,NA,NA,NA,4,8,4,1,2,NA,NA,NA,NA,15,4,NA,7,7,NA,16,NA,NA,8,NA,1,13,15,1,7,NA,47,130,125,170,34,NA,NA,2,NA,1,NA,2,NA,NA,NA,NA,3,2,3,3,10,4,NA,NA,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1226,NA,NA,30,NA,3,1,5,1,1,2,NA,NA,NA,NA,2,2,NA,2,3,1,4,3,2,NA,NA,4,3,4,NA,5,3,7,12,4,9,12,4,6,8,5,NA,15,NA,59,160,119,126,111,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1413,NA,NA,35,NA,NA,2,4,1,NA,2,NA,NA,NA,NA,NA,NA,NA,4,4,1,1,7,NA,4,NA,NA,24,1,NA,4,7,NA,NA,NA,NA,4,NA,NA,16,11,2,5,NA,96,63,201,315,31,NA,NA,1,NA,1,NA,2,3,NA,NA,1,NA,2,1,NA,12,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA
1601,NA,NA,40,NA,NA,NA,2,6,1,NA,NA,NA,NA,3,NA,1,2,3,8,NA,3,6,3,2,NA,1,4,13,2,3,6,NA,11,5,7,12,6,5,21,9,2,NA,NA,54,112,131,128,158,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,1,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1788,NA,NA,45,NA,NA,NA,3,NA,NA,7,NA,NA,2,NA,NA,NA,NA,4,17,3,NA,4,NA,NA,NA,NA,24,4,NA,10,13,NA,NA,NA,NA,6,1,NA,36,16,4,17,NA,58,111,75,155,63,1,2,5,1,4,NA,NA,3,NA,NA,NA,NA,NA,NA,1,2,4,NA,2,NA,NA,NA,NA,NA,NA,NA,4,1,1,3,NA,NA,NA,NA
1976,NA,NA,50,NA,NA,NA,2,4,NA,7,NA,NA,NA,NA,3,NA,NA,5,8,1,5,1,NA,3,NA,1,29,5,NA,6,NA,NA,NA,NA,NA,3,NA,NA,43,16,4,17,NA,49,118,56,131,96,NA,NA,2,1,1,NA,NA,1,NA,NA,1,NA,NA,2,2,6,4,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
2163,NA,NA,55,NA,2,1,1,1,NA,1,2,NA,2,NA,NA,7,1,NA,NA,1,6,14,3,NA,3,4,2,16,NA,6,2,13,16,2,7,14,7,10,13,3,5,1,NA,57,102,141,146,104,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2350,NA,NA,60,NA,NA,2,1,2,NA,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,3,NA,3,2,4,1,5,NA,4,5,NA,1,9,1,12,5,4,4,3,NA,NA,NA,55,29,210,230,82,3,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
2538,NA,NA,65,NA,NA,NA,6,1,NA,6,NA,NA,4,NA,1,2,NA,NA,NA,NA,NA,2,NA,4,3,NA,60,4,NA,6,6,NA,NA,NA,NA,1,NA,NA,17,15,1,NA,NA,36,46,281,293,33,NA,NA,1,NA,5,NA,NA,1,NA,NA,2,NA,NA,1,NA,3,3,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,NA,NA,1,2,NA,NA
2725,NA,NA,70,NA,NA,2,6,2,NA,NA,NA,NA,4,2,5,NA,NA,2,NA,NA,1,NA,NA,NA,1,2,48,3,NA,3,5,NA,1,NA,NA,3,1,NA,14,7,2,5,NA,56,58,230,301,11,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,9,4,3,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2913,NA,NA,75,NA,1,3,1,3,1,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,2,4,1,NA,NA,1,1,12,2,1,NA,NA,NA,14,4,7,2,4,5,6,2,12,NA,33,62,116,125,185,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
3100,NA,NA,80,NA,NA,6,2,3,NA,2,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,1,NA,11,2,NA,19,1,NA,1,11,NA,NA,NA,NA,1,2,2,32,21,1,NA,NA,123,39,386,555,32,NA,NA,NA,3,5,NA,NA,1,NA,NA,NA,1,NA,NA,3,7,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
