"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Rumex","Cistaceae","Quercus (evergreen)","Brassicaceae","Erica","Olea/Phillyrea","Artemisia","Cichorioideae","Asteroideae","Cyperaceae","Poaceae","Pinus","Amaranthaceae","Corylus","Ephedra fragilis-type","cf. Juniperus","Polypodiaceae","Plantago","Typha/Sparganium","Poaceae (Cerealia-type)","Tamarix","Ruppia","Quercus (deciduous)","Alnus","Liliaceae","Lamiaceae","Scabiosa","Betula","Armeria","Caryophyllaceae","Euphorbia","Myriophyllum","Salix","Sambucus","Tilia","Apiaceae","Vitis","Fabaceae","Campanulaceae","Fraxinus","Pistacia","Centaurea","Rhamnus","Persicaria maculosa-type","Polygala","Coriaria","Buxus","Hedera","Echium","Ephedra distachya-type","Thymelaea","Sanguisorba minor-type","Hypecoum","Lygeum","Chamaerops","Cannabaceae"
287,NA,NA,30,1,4,4,6,6,6,18,18,18,24,48,192,756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
383,NA,NA,40,NA,NA,18,NA,6,NA,40,30,12,114,42,228,186,1,1,2,2,6,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
477,NA,NA,50,NA,NA,8,NA,8,4,40,20,12,44,36,292,48,NA,3,4,3,4,40,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
572,NA,NA,60,2,4,16,NA,8,16,52,24,4,48,56,216,96,NA,NA,4,NA,8,20,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
665,NA,NA,70,NA,25,50,NA,5,6,240,95,45,125,135,375,180,NA,NA,10,NA,15,NA,5,15,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
758,NA,NA,80,NA,10,80,1,NA,10,140,60,20,400,220,220,810,5,5,5,NA,5,60,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
852,NA,NA,90,NA,5,25,NA,15,NA,105,45,30,55,85,205,365,2,3,NA,NA,10,15,5,NA,NA,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
945,NA,NA,100,NA,12,54,1,6,3,102,66,15,57,99,171,1026,6,3,1,NA,9,18,6,6,2,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
992,NA,NA,105,NA,4,24,NA,3,1,39,15,3,36,42,102,942,NA,2,NA,NA,6,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1039,NA,NA,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
