"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Castanea","Potentilla-type","Ulmus","Xanthium","Zea mays","Juglans","Brassicaceae","Rosaceae","Secale","Filipendula","Lotus-type","Matthiola","Thymus/Mentha","Ranunculus sect. Batrachium-type","Botrychium","Thelypteris palustris","Abies","Caryophyllaceae","Salix","Typha latifolia","Ranunculaceae","Phillyrea","Matricaria-type","Cladium mariscus","Betula","Cichorioideae","Apiaceae","Humulus/Cannabis","Carpinus betulus","Myriophyllum spicatum/M. verticillatum","Olea","Fraxinus ornus","Pteridium","Pediastrum duplex","Polygonum aviculare-type","Amaranthaceae","Asteroideae","Quercus ilex-type","Dryopteris-type","Corylus","Platanus","Alnus","Plantago maritima-type","Unknown","Artemisia herba-alba-type","Rumex acetosa-type","Monactinus simplex","Plantago lanceolata-type","Juniperus","Sparganium-type","Cyperaceae","Fagus","Ostrya/Carpinus orientalis","Poaceae (Cerealia-type)","Pinus","Quercus robur-type","Poaceae","Pseudopediastrum boryanum","Pseudopediastrum kawraiskyi","Pistacia","Lemna","Potamogeton","Cirsium/Gundelia","Fraxinus excelsior","Ranunculus repens-type","Ericaceae","Teucrium","Fabaceae","Sanguisorba-type","Plantago undiff.","Artemisia vulgaris-type","Celtis","Tilia","Acer","Bupleurum-type","Galium-type","Hedera","Rhinanthus-type","Clematis-type","Centaurea scabiosa-type","Centaurea solstitialis-type","Solanum dulcamara","Onobrychis-type","Vitis","Trifolium-type","Plantago major-type","Hypericum perforatum-type","Capsella-type","Urtica","Brassica-type","Lythrum","Alisma","Valerianella","Sorbus-type","Scrophularia/Verbascum","Caltha","Thalictrum","Butomus umbellatus","Geraniaceae","Buxus","Bistorta officinalis-type","Pseudopediastrum brevicorne","Myriophyllum alterniflorum","Plantago media-type","Boraginaceae","Euphorbia","Loranthus","Ephedra fragilis-type","Sambucus nigra-type","Polypodium","Calligonum","Noaea-type","Persicaria maculosa-type","Papaver","Viburnum-type","Populus","Dipsacoideae","Plantago coronopus-type","Scilla-type","Liliaceae","Malva","Centaurea","Vicia-type","Astragalus-type","Onosma-type","Aquilegia-type","Knautia","Cistaceae","Gentianaceae","Anthericum","Pseudopediastrum boryanum var. longicorne","Taxus","Helianthemum","Centaurea cyanus-type","Rumex hydrolapathum","Linaceae","Ophioglossum","Picea","Ephedra distachya-type","Allium","Digitalis","Campanula-type","Senecio-type"
-10,499,-505,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,5,5,5,5,5,6,7,7,7,7,8,9,10,11,13,14,18,19,19,26,27,29,103,149,1248,9999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,683,-256,110,NA,NA,3,NA,1,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,3,3,NA,NA,2,1,NA,1,2,1,6,1,7,3,3,29,3,9,5,4,8,3,6,5,NA,5,NA,13,NA,11,13,13,12,30,22,23,47,115,126,3168,4968,1,1,1,1,1,1,2,2,3,3,7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
532,960,117,125,NA,NA,1,NA,1,4,NA,NA,NA,NA,4,NA,3,1,NA,NA,3,1,8,3,NA,4,5,NA,1,5,4,4,6,1,2,5,9,NA,8,38,7,4,8,13,4,30,NA,10,10,14,NA,5,11,25,23,44,53,21,74,243,183,3500,140,1,NA,NA,NA,1,1,1,NA,1,NA,1,15,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
748,1144,364,135,2,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,4,NA,2,3,NA,1,4,NA,NA,NA,1,5,9,3,NA,8,9,NA,4,10,5,3,3,5,4,27,NA,16,7,14,NA,10,18,19,33,47,61,23,65,343,220,330,3480,1,NA,1,NA,NA,3,NA,NA,1,NA,7,9,NA,1,NA,1,4,NA,5,NA,NA,3,NA,1,3,NA,NA,3,5,2,5,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1073,1423,737,150,2,NA,4,NA,NA,2,NA,2,NA,NA,1,NA,5,1,NA,NA,5,1,NA,1,4,4,3,1,3,1,2,5,12,NA,1,11,4,NA,6,21,11,3,8,23,3,18,6,9,22,15,NA,10,2,29,22,65,66,26,58,316,235,3456,118,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,7,NA,NA,NA,NA,5,NA,2,3,1,NA,NA,6,NA,4,NA,NA,NA,NA,NA,1,1,1,1,1,2,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1290,1610,984,160,1,NA,2,NA,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,7,2,3,2,NA,1,5,NA,2,NA,NA,2,10,1,1,12,14,1,11,2,3,NA,9,15,5,34,NA,14,7,6,NA,2,3,18,9,62,66,18,115,469,151,600,NA,1,NA,NA,NA,2,NA,2,NA,NA,NA,1,4,NA,NA,NA,NA,1,NA,1,NA,NA,5,NA,NA,2,NA,1,1,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1507,1798,1229,170,NA,NA,2,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12,1,5,2,NA,1,NA,NA,2,1,NA,1,8,1,NA,7,8,NA,4,6,6,1,10,8,1,34,NA,7,6,7,NA,11,2,9,10,53,69,9,101,460,93,286,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,3,NA,1,NA,NA,2,NA,NA,1,1,2,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1724,1989,1472,180,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,6,3,NA,NA,5,1,2,NA,2,6,10,NA,NA,17,22,NA,4,6,3,3,10,15,4,29,NA,12,7,10,NA,5,2,12,14,64,86,12,112,504,143,300,3,NA,NA,NA,NA,NA,3,1,NA,NA,1,4,7,NA,NA,1,NA,4,NA,NA,NA,NA,2,NA,3,NA,2,1,2,2,2,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,2181,1712,190,NA,NA,3,NA,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,8,3,7,2,NA,1,NA,NA,5,2,1,1,13,NA,2,9,15,2,7,11,4,NA,19,12,3,36,NA,11,15,13,NA,7,6,25,15,44,102,13,123,537,170,645,6,1,1,NA,NA,NA,3,NA,1,NA,1,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,4,NA,2,NA,1,NA,NA,3,NA,5,9,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,2,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2157,2375,1948,200,1,NA,3,1,NA,2,NA,NA,NA,1,1,NA,4,5,NA,NA,10,NA,9,1,NA,3,4,6,2,6,NA,9,13,5,1,15,6,2,20,13,12,3,17,16,6,35,1,16,16,5,NA,8,3,13,23,46,111,10,76,461,212,790,2,3,NA,NA,NA,3,NA,2,NA,2,NA,NA,NA,1,NA,1,NA,4,NA,NA,NA,NA,6,3,10,1,NA,NA,NA,6,1,3,3,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
