"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Thalictrum","Xanthium","Alnus","Lythrum","Ranunculaceae","Pistacia","Asteroideae","Rumex acetosa-type","Humulus/Cannabis","Filipendula","Senecio-type","Brassica-type","Plantago coronopus-type","Arctium/Jurinea","Echium-type","Ranunculus arvensis","Aquilegia-type","Sparganium-type","Ulmus","Rosaceae","Lemna","Butomus umbellatus","Plantaginaceae","Olea","Capsella-type","Scrophularia/Verbascum","Thymus/Mentha","Isoëtes","Juniperus","Galium-type","Matricaria-type","Mercurialis annua","Caryophyllaceae","Apiaceae","Artemisia herba-alba-type","Ostrya/Carpinus orientalis","Corylus","Unknown","Poaceae (Cerealia-type)","Dryopteris-type","Fagus","Amaranthaceae","Plantago lanceolata-type","Pteridium","Carpinus betulus","Ranunculus repens-type","Polygonum aviculare-type","Cichorioideae","Juglans","Cyperaceae","Quercus cerris-type","Fabaceae","Salix","Alisma","Pinus","Poaceae","Betula","Castanea","Cuscuta","Euphorbia","Menyanthes trifoliata","Vitis","Acer","Rhamnus","Lathyrus-type","Lotus-type","Sorbus-type","Ephedra distachya-type","Hypericum perforatum-type","Viburnum-type","Silene-type","Apium-type","Fallopia convolvulus-type","Cornus mas","Filago-type","Hippocrepis","Myrtus","Cyclamen","Psoraleeae","Ranunculus sect. Batrachium-type","Equisetum","Polypodium","Potentilla-type","Prunus-type","Stachys-type","Cirsium-type","Quercus coccifera-type","Anthriscus-type","Rumex hydrolapathum-type","Heracleum-type","Plantago tenuiflora-type","Ranunculus sceleratus-type","Ophioglossum","Ranunculus peltatus-type","Poterium sanguisorba","Centaurea solstitialis-type","Zea mays","Bunium-type","Sambucus nigra-type","Trifolium-type","Aesculus","Platanus","Taxus","Campanula-type","Secale","Salvia","Veronica","Plantago media-type","Delphinium-type","Plantago maritima-type","Cotoneaster","Polygonum cognatum-type","Scorzonera-type","Punica","Sideritis","Ricinus","Colutea","Cryptogramma crispa","Plantago major-type","Persicaria maculosa-type","Actaea","Phaseolus","Bupleurum-type","Eryngium-type","Artemisia vulgaris-type","Centaurea jacea-type","Ferula-type","Vicia-type","Hedysarum/Ebenus","Solanum nigrum","Morus","Typha latifolia","Casuarina","Urtica dioica-type","Phillyrea angustifolia","Fraxinus excelsior-type","Malus-type","Geum-type","Brassicaceae","Convolvulus","Cedrus","Hippophaë","Genista","Picea","Potamogeton","Fraxinus ornus","Nuphar","Verbena","Frankenia","Tilia","Rhynchospora-type","Gentiana nivalis-type","Noaea-type","Crataegus-type","Populus","Helianthemum","Myriophyllum spicatum/M. verticillatum","Sphagnum","Rhinanthus-type","Asparagus-type","Cerinthe-type","Nymphaea","Melampyrum","Valerianella","Rosa-type","Allium","Heliotropium-type","Mercurialis perennis","Scabiosa columbaria-type","Calligonum","Osmunda regalis","Bidens-type","Araceae","Carduus-type","Crassulaceae","Ericaceae","Astragalus-type","Buxus","Unknown (trilete)","Turgenia-type","Tamarix","Onopordum-type","Nepeta","Celtis","Periploca","Lysimachia","Dipsacus-type","Linaria","Geranium","Solanum dulcamara","Marrubium","Urtica pilulifera-type","Laurus","Alhagi","Ligustrum","Iris","Consolida","Asplenium subg. Phyllitis","Persicaria amphibia","Centaurea cyanus-type","Pimpinella-type","Ranunculus asiaticus-type","Scutellaria","Salvinia","Papaver","Cladium mariscus","Arceuthobium oxycedri","Calystegia","Theligonum","Androsace","Scilla-type","Centaurea","Linum","Ephedra fragilis-type","Cheilanthes","Ranunculus acris","Bellis-type","Hydrocharis","Anemone coronaria","Epilobium","Anemone","Larix","Rheum","Cousinia","Teucrium","Calendula","Gentiana verna-type","Daphne","Sanguisorba officinalis","Pterocarya","Liliaceae","Utricularia","Prosopis","Centaurea scabiosa-type","Herniaria-type","Onobrychis-type","Adonis aestivalis","Cytisus","Caltha","Halothamnus-type","Asperula-type","Aristolochia","Erodium","Spinacia-type","Botrychium"
591,1055,109,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,5,5,5,6,6,7,7,8,8,8,8,9,9,10,16,17,19,19,20,21,45,102,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
884,1339,413,45,NA,NA,4,1,2,NA,1,NA,3,1,1,6,4,1,NA,3,NA,NA,4,NA,NA,1,NA,1,2,1,NA,3,NA,4,3,13,3,3,6,9,5,24,1,21,4,22,11,14,9,12,22,19,14,35,11,26,2,60,23,149,179,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,4,6,8,9,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1176,1623,716,60,NA,NA,NA,7,7,NA,2,NA,6,2,NA,3,3,NA,NA,7,NA,NA,2,1,NA,NA,NA,1,2,1,1,1,NA,4,8,13,9,2,26,44,16,94,3,12,23,46,11,27,2,24,41,59,2,18,5,45,13,23,20,112,644,NA,2,NA,2,4,3,NA,1,NA,2,NA,NA,2,3,1,3,3,7,NA,NA,NA,1,NA,NA,7,3,NA,5,NA,NA,2,14,4,NA,NA,3,NA,3,NA,NA,2,5,8,128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1372,1812,918,70,NA,1,NA,1,NA,NA,1,1,3,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,2,4,NA,1,2,NA,2,3,NA,13,9,2,NA,1,6,4,4,12,6,14,4,15,9,19,4,6,4,7,16,3,30,17,24,12,1,75,820,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,6,NA,NA,1,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1567,2001,1119,80,1,2,NA,2,NA,NA,NA,NA,5,NA,NA,7,6,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,18,5,NA,7,7,9,3,5,NA,4,23,17,7,4,3,6,6,NA,4,1,47,5,NA,2,12,260,152,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,1,7,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1762,2190,1321,90,2,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7,11,NA,1,1,2,1,1,2,6,NA,15,2,8,NA,7,NA,4,NA,5,NA,84,14,2,3,8,144,60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2153,2570,1725,110,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,9,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,1,1,NA,3,NA,36,32,NA,1,3,1,2,1,3,NA,4,6,6,3,NA,2,4,1,NA,2,1,308,23,NA,4,NA,473,58,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,7,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2446,2856,2028,125,1,NA,NA,3,NA,1,1,NA,1,1,NA,2,2,NA,NA,NA,NA,NA,9,1,NA,1,NA,NA,NA,NA,NA,NA,NA,6,34,1,NA,7,14,6,4,5,1,NA,5,14,2,1,2,11,2,3,9,NA,194,23,NA,1,5,769,92,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2739,3142,2330,140,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,1,NA,1,6,7,NA,4,NA,2,5,10,2,5,4,NA,1,8,4,1,34,7,NA,2,3,707,45,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3032,3429,2632,155,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,17,3,NA,2,NA,20,NA,6,NA,4,29,6,5,12,3,3,3,50,4,NA,18,12,NA,4,2,521,92,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,1,NA,1,1,NA,1,1,NA,NA,NA,1,NA,3,1,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
