"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Salix","Ranunculus acris-type","Salsola-type","Linaria","Aster-type","Plantago maritima-type","Sedum-type","Sporormiella","Glomus","Betula","Cichorioideae","Brassicaceae","Lotus","Fumaria","Saxifraga rotundifolia","Orlaya","Isoëtes","Picea","Alnus","Stachys-type","Rumex acetosa-type","Achillea-type","Rumex acetosella-type","Myrtus","Ostrya/Carpinus orientalis-type","Corylus","Plantago lanceolata-type","Potamogeton-type","Coniochaeta","Fraxinus angustifolia subsp. oxycarpa-type","Artemisia","Phillyrea","Urtica dioica-type","Quercus pubescens-type","Erica-type","Dinoflagellata","Quercus suber-type","Typha/Sparganium-type","Poaceae (Cerealia)","Botryococcus","Cyperaceae","Tamarix","Olea","Amaranthaceae","Myriophyllum spicatum","Quercus ilex-type","Pistacia","Juniperus-type","Poaceae","Pinus","Ceratophyllum","Lycopodium spike","Lycopodium tablets","Euphorbia","Prunus-type","Vitis","Ephedra","Lamiaceae","Caryophyllaceae undiff.","Styrax","Carduus-type","Phlomis","Ceratonia","Cheilanthes","Anthoceros laevis","Gelasinospora","Selaginella denticulata","Thalictrum","Ulmus","Ruppia","Teucrium","Pteridophyta (monolete) undiff.","Helianthemum","Genista-type","Cistus","Spirogyra","Citrus","Acer","Rosa","Echium","Glaucium","Veronica-type","Arbutus","Arctium","Mercurialis annua","Podospora-type","Eryngium","Plantago coronopus-type","Carthamus-type","Liliaceae undiff.","Zygnema-type","Hypericum","Asphodelus albus-type","Filago-type","Cercophora-type","Mentha-type","Convolvulus-type","Acacia","Vitex","Cannabis","Matthiola-type","Anogramma leptophylla","Allium","Fabaceae undiff.","Callitriche","Castanea","Rubus","Utricularia","Eucalyptus","Buxus","Ranunculus aquatilis","Abies","Geranium","Urtica pilulifera-type","Scrophulariaceae","Populus","Centaurea cyanus-type","Sinapis-type","Pteridium aquilinum","Platanus","Plantago major-type","Galium-type","Centaurea nigra-type","Falcaria-type","Tetraëdron","Ficus carica","Theligonum cynocrambe","Pteridophyta (trilete) undiff.","Scilla-type","Celtis","Tilia","Asplenium-type","Chamaerops","Trifolium repens-type","Sanguisorba minor-type","Papaver","Verbascum-type","Juglans","Asparagus","Colchicum","Sambucus","Polypodium","Spiniferites","Ophioglossum lusitanicum","Delitschia","Fagus","Apiaceae undiff.","Euphrasia","Vicia-type","Pediastrum","Filipendula","Lavandula-type","Taxus","Sorbus","Linum","Campanula-type","Gentianaceae","Alisma","Senecio-type","Cornus sanguinea","Knautia","Ornithogalum-type","Lavatera","Equisetum","Dioscorea","Crocus","Carpinus betulus","Valeriana","Thymelaeaceae","Cyperus-type","Humulus","Astragalus-type","Apium","Paronychia-type","Silene dioica-type","Ornithopus","Neurospora","Pseudoschizaea","Morus","Rosaceae","Primula clusiana-type","Solanum dulcamara","Linum catharticum-type","Anthoceros punctatus","Coelastrum reticulatum","Limonium","Fraxinus ornus-type","Reseda","Chaerophyllum temulum-type","Daucus","Carlina","Herniaria","Odontites-type","Ustulina deusta","Smilax","Centaurium","Cynoglossum officinale-type","Corydalis","Potentilla-type","Solanum nigrum-type","Lygeum spartum","Dryopteris filix-mas-type","Mougeotia","Spergula-type","Silene vulgaris-type","Foraminifera","Lysimachia vulgaris-type","Lythrum portula","Peucedanum-type","Cuscuta","Juncaceae","Corrigiola litoralis","Cladium mariscus","Nymphaea","Cerastium-type","Riccia","Oenanthe","Listera-type","Hippophaë","Malva-type","Myriophyllum alterniflorum","Hedera helix","Scutellaria-type","Cyclamen hederifolium","Borago","Persicaria maculosa-type","Radiola linoides","Iris pseudacorus-type","Centranthus","Lythrum","Arceuthobium oxycedri","Trifolium pratense-type","Polystichum","Pimpinella major-type","Scabiosa","Valerianella","Osmunda"
-62,NA,NA,0,"1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","4","4","4","4","5","6","7","7","8","9","11","11","12","13","14","15","22","26","27","30","37","38","56","63","124","158","493","62545","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-45,NA,NA,10,"1","2","1","","","2","","","1","","2","10","15","4","3","4","","3","","5","3","3","2","5","","5","1","13","1","1","5","2","1","","11","20","9","11","","11","16","19","5","30","9","111","30","61","43","57","98","249","530","62545","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","3","5","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-29,NA,NA,20,"1","3","","4","","8","","1","23","","5","13","6","","","2","1","5","","4","11","5","6","1","6","1","","11","1","16","4","13","4","4","21","20","9","11","11","10","23","26","3","20","17","151","53","45","36","48","49","370","1415","62545","1","","4","","5","1","","2","","","","7","3","","2","2","2","1","1","1","6","8","1","1","1","1","1","1","1","1","1","1","1","2","2","2","3","3","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-12,NA,NA,30,"1","2","4","1","","5","3","","5","","5","11","6","","3","2","","3","","6","12","6","4","9","3","12","1","19","1","1","2","2","2","8","15","23","15","6","10","20","41","37","13","21","4","179","47","53","47","40","45","230","614","62545","","","","","1","","3","1","3","","","1","","","3","2","","3","","","4","10","","","","","","","8","2","","","1","2","1","","","","1","","10","","1","1","1","1","1","1","1","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,NA,NA,40,"1","","4","","1","3","","3","3","","1","17","13","4","3","","","4","","11","6","8","","8","","10","2","17","","3","1","4","","7","9","17","8","9","7","12","27","34","4","21","11","226","57","49","40","59","52","253","723","62545","2","","2","","1","1","1","2","","","","","","1","","1","","1","4","","1","13","","","","2","","","5","","","","","","","","","","1","1","","","1","","","","","1","","","","1","1","1","1","1","1","1","2","2","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
21,NA,NA,50,"1","4","","","","","1","","4","","2","11","7","","","","","3","","10","9","6","2","4","2","5","3","11","1","","2","4","2","6","10","25","3","5","11","5","39","31","13","28","8","209","58","52","29","68","73","264","482","62545","2","","7","2","1","1","2","","","","","","","","5","3","","5","","","1","6","","1","","","","","3","","","1","","1","1","","","","","1","1","","","","","1","","","","","","","","","1","","1","","","2","2","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
37,NA,NA,60,"1","1","2","","","5","2","","6","","4","12","11","","","","","1","","5","5","5","2","4","2","5","3","19","2","","3","11","2","8","2","13","9","5","16","8","13","31","5","19","8","205","65","53","28","79","107","182","693","62545","","","","","3","1","","3","","","","1","","1","","1","1","2","3","1","","2","","","","","","1","1","","","","","","","","1","","","1","1","","","","1","1","","","","","","","","","","","","1","","","1","","","","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
54,NA,NA,70,"1","4","","","","5","1","8","15","3","6","11","2","","","","","13","","6","11","7","","1","5","14","","31","3","13","2","9","8","6","4","21","14","12","11","15","25","30","6","30","9","304","21","49","15","53","60","275","630","62545","","","6","","1","1","","","","","","3","","2","5","","","","","8","5","10","7","","","","","4","","2","","","","3","","1","4","","5","1","4","1","","","","","1","","","","","","","","","","","","","2","1","","1","1","","","","","1","","","1","1","1","1","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
71,NA,NA,80,"1","3","4","","","3","1","","2","","1","4","10","","1","","","2","2","","1","8","3","2","3","5","2","11","","2","1","4","3","1","7","6","1","14","5","24","12","31","10","19","5","264","63","43","23","49","132","99","601","62545","","","3","","6","3","2","1","","","1","1","","1","","5","1","4","4","","","7","","","","","","","","","1","","","2","2","","","1","","","3","","1","","1","","","1","","","","","1","","","","2","","","","","","1","","2","2","","","","","","","","","","","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
87,NA,NA,90,"1","1","5","3","2","5","","1","3","","8","12","16","1","3","","1","11","","11","2","3","3","12","4","5","3","21","","1","3","6","1","5","12","13","","4","6","33","27","61","","36","8","691","45","53","28","94","25","27","526","62545","1","","","","1","3","","1","","","","","","3","","","1","1","1","","","8","","","","","","","","","","","","2","","","","","2","","2","","1","","","","","","","","","1","","","","","1","","","","2","2","2","","","","","3","1","","","","","","2","1","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
