"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Cichorioideae","Vitis","Brassicaceae","Typha angustifolia-type","Myriophyllum spicatum","Solidago-type","cf. Euphorbia","Indeterminable","Rhamnaceae","Potamogeton","Galium-type","Fraxinus ornus","Unknown (trilete)","Abies","Salix","Ulmus","Apiaceae","Acer","Juniperus-type","Juglans","Amaranthaceae","Fraxinus excelsior-type","Unknown","Betula","Rumex","Pinus","Carpinus betulus","Phillyrea","cf. Olea","Unknown (monolete)","Corylus","Artemisia","Plantago","Castanea","Cyperaceae","Fagus","Ostrya-type","Alnus","Poaceae","Quercus undiff.","Scrophulariaceae","Rosaceae","Potentilla","Pteridium","Typha latifolia","Plantago lanceolata-type","Ericales","Hedera","cf. Cedrus","Poaceae (Cerealia-type)","Cannabaceae","Tilia","Ranunculus-type","Anthemis-type","Ornithogalum-type","Fabaceae","Asphodelus-type","Nymphaea","Myriophyllum alterniflorum","Centaurea cf. C. nigra-type","Urtica-type","Pistacia","Quercus ilex","Platanus","Cirsium-type","Poterium sanguisorba","Plantago major/P. media","Eucalyptus spike","cf. Myrtus","Menyanthes trifoliata","Saxifragaceae","Ephedra fragilis-type","Populus","Thalictrum","Buxus","Sambucus","Filipendula","Taxus","Cladium mariscus","cf. Viscum","cf. Lonicera","Eucalyptus suspension","Nuphar","Mentha-type","Plantago coronopus-type","Cornus","Cornaceae","Oxyria-type","Ilex","Centaurea cf. C. scabiosa-type","Hippophaë","cf. Centaurium","Primulaceae","Bryophyta undiff.","Boraginaceae","Ephedra distachya","Echium-type","Liliaceae-type","Viburnum","Helianthemum-type","Centaurea cf. C. cyanus-type","Serratula-type","Armeria maritima (type B)","cf. Baldellia","Vicia-type","Allium-type","Polygonaceae","Equisetum","cf. Hypericum","Picea","Campanulaceae","Resedaceae","Malvaceae","Geranium","cf. Armeria (type A)","cf. Alchemilla","cf. Acorus","cf. Epilobium","Papaveraceae","cf. Succisa","Larix","Polypodium","Euonymus europaeus","Valerianoideae","cf. Daphne","Myriophyllum verticillatum","cf. Persicaria amphibia","cf. Polygonum","Botrychium"
-40,8,-89,-20,"1","1","1","1","1","1","1","1","1, 2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","5","6","9","10","10","11","12","17","23","54","56","105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-20,20,-61,-16,"","","","","","","1","","2, 6","","6","","","","1","8","3","2","","4","1","","1","","6","4","4","9","5","5","4","15","6","3","8","6","29","12","55","48","130","1","1","1","1","2","2","2","2","2","3","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-5,30,-39,-13,"","1","3","2","1","3","","1","2","","","","","1","1","5","1","4","","","3","2","","","3","1","5","11","3","3","5","10","2","4","5","6","16","15","85","55","79","1","","1","","","3","1","1","","1","5","1","1","1","1","2","2","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
86,87,84,5,"","","1","","2","1","2","","","","1","","3","6","","5","5","","2","","3","2","","","","2","3","12","","1","","12","1","","","2","19","20","74","38","148","","1","2","","","6","2","2","","2","","","","","","","","","","1","2","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
402,409,395,25,"1","","1","","2","2","1","","3","","","","3","2","","4","","3","","","5","1","","3","","","","13","2","3","10","6","2","","3","1","30","21","70","57","67","","2","","","","2","1","4","","2","3","","","","","","","3","","","","2","3","1","1","1","2","125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
735,745,725,45,"1","2","","1","3","2","","","1","","1","","2","","","5","1","2","","","1","3","1","3","1","","","13","","2","11","6","4","","4","4","24","29","96","54","77","","1","","3","","1","","1","","10","5","","","3","","2","","5","","","","","1","","1","1","","142","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
914,927,901,60,"","1","3","1","2","","1","1","1","","","1","","7","2","5","2","4","","1","1","2","","2","2","2","1","15","1","1","2","5","4","3","7","6","34","17","94","48","81","4","1","","","","","2","1","","3","5","","","1","","","","1","","","2","","","","1","1","","119","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
941,960,921,65,"","","1","","","2","","","1","","1","","2","","1","4","4","","","1","1","2","2","2","1","","","33","4","3","2","4","1","","","1","47","54","87","9","165","","1","1","8","","1","2","1","","","4","1","","","","2","","2","","","","","3","","","","2","103","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1222,1239,1205,90,"2","1","1","3","","","","1","1","","","","","","","5","2","","","","1","1","4","","4","1","","14","2","","1","4","1","4","8","2","27","31","69","13","163","","1","","","","1","1","","","","1","","","","","","","","","","","","","","","","","129","","","1","","","1","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1314,1334,1293,104,"","","","","1","","1","","","","","","2","","","2","2","","1","1","1","2","","","2","2","2","16","1","1","","11","","2","3","","77","46","56","34","130","","","","4","","2","4","","","4","2","","1","","","","","1","","1","","4","5","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1586,1610,1564,124,"","","","","","","","","","","1","","3","","1","","2","2","1","","1","1","","4","1","1","","32","3","10","2","8","","","","","69","47","45","23","85","","3","","6","","2","","","","3","1","","","","","","","1","","","","4","15","","","","1","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1752,1776,1729,134,"1","","","","","","1","","","","","","","2","","","3","","2","1","","2","4","","3","2","","15","","3","","5","","2","3","2","87","29","33","22","124","","","","","","","","","","1","","","","1","","1","","2","","1","1","","","","","","","155","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1910,1945,1872,154,"","","","","","","","","2","","","","4","2","","","4","2","2","3","","","","1","1","","","67","8","4","","12","1","","1","","48","68","47","7","95","","","","","","4","1","","","1","","","","","","","","1","","","","8","13","","","","","38","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2106,2136,2075,178,"","","","","","","","2","","","","","","","","","3","","","9","","","3","","3","1","1","21","8","9","","10","2","2","","6","21","30","60","31","204","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","151","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2185,2218,2153,184,"","","","1","","","","","5","","","","3","","","","2","1","1","1","2","1","1","3","2","","","39","3","1","1","16","2","3","","4","37","52","54","17","172","1","1","","2","","2","2","","","","1","","1","","","","","2","","1","","1","9","","","1","1","122","","","","","1","1","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2354,2391,2316,194,"","","","","1","","","","3","","","","1","","","","3","1","2","1","3","2","1","","2","1","1","41","2","","2","9","","","","4","15","37","100","19","124","","3","","3","","2","1","","","1","","","","","","","","1","","1","","","20","","","","","132","","","","","","","","","1","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2566,2603,2529,218,"","1","1","2","","","","","","","","","","","","3","3","","","","","","1","","4","8","","38","","6","","20","2","2","3","1","27","17","69","33","117","","","","1","","","2","2","","","","","1","1","","","","2","","","","","6","","","","1","","","","","","","","","","","","","","","2, 59600","1","1","1","2","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2648,2699,2595,223,"","","1","","","","","","3","","","","2","","4","1","3","","1","2","","","","1","","2","3","28","","3","1","23","1","","","3","33","41","69","28","105","","","","2","","3","2","1","","4","","","","","","","","3","","2","","1","13","","","","","76","","","","","","","1","","","4","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2981,3018,2942,243,"","1","1","","1","","","","1","","","","","","6","2","2","","","1","","","1","1","1","2","1","68","","1","1","61","1","","","","24","48","72","10","58","1","1","","2","","2","2","2","","1","1","","","","","1","","3","","","","2","11","2","","","1","32","","","","","","","","","","2","1","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3314,3363,3266,263,"3","","","","","","1","","","","","2","4","","36","","11","","1","1","","","3","","","","1","58","10","1","","27","1","1","","","29","66","52","25","26","","1","","","","3","1","4","","2","1","","","","","1","","5","","1","","1","30","","","","","","","","","","","","","","","19","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3456,3515,3395,273,"","","1","","2","","","","","","","","5","","25","","27","","","","","2","2","2","1","","1","27","5","","1","11","1","","","1","20","47","86","13","65","","1","","1","","2","1","4","","","","","","","1","2","","3","","","","1","10","","","","","17","","","","","","","","","","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4018,4076,3959,313,"1","","1","","","","","","2","","2","1","","","24","","13","2","","1","","3","1","","","","1","29","16","1","","10","","1","1","","10","67","47","16","106","","3","","2","","","1","4","","","","1","1","","","","","","","","","1","14","","","","3","37","","","","","","","","","1","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
