"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Eucalyptus tablets","Sample quantity","Betula","Caryophyllaceae","Angiospermae undiff. (herbs)","Potentilla-type","Sambucus","Acer","Typha angustifolia","Ulmaceae","Ostrya","Myriophyllum alterniflorum-type","Spermatophyta undiff. (trees/shrubs)","Filipendula","Cornaceae","Solidago-type","Ephedra distachya","Centaurea solstitialis-type","Digitalis-type","Alnus","Bupleurum-type","Abies","Thalictrum","Cyperaceae","Ranunculus","Helianthemum","Fagus","Rumex","Anthemis-type","Cichorioideae","Apiaceae undiff.","Plantago","Indeterminable","Hippophaë","Galium-type","Amaranthaceae","Quercus","Equisetum","Cupressaceae-type","Pinus","Artemisia","Poaceae","Eucalyptus spike","Cirsium","Veronica-type","Fraxinus excelsior-type","Phillyrea","Ephedra fragilis-type","Helleborus","Salix","Brassicaceae","Scilla-type","Scrophulariaceae","Rosaceae undiff.","Populus","Buxus","Potamogeton","Mercurialis","Fabaceae undiff.","Picea","Valeriana","Liliaceae","Tilia","Carpinus betulus","Armeria","Euphorbia","Vicia-type","Menyanthes trifoliata-type","Castanea","Scutellaria-type","Sanguisorba officinalis","Rhamnaceae","Saxifragaceae","Mentha-type","Boraginaceae","Taxus","Fraxinus ornus","Sorbus","Hypericum-type","Primulaceae undiff.","Cistus","Androsace","Allium-type","Marrubium","Ericaceae","Ilex","Corylus","Urtica-type","Pistacia","Elatine-type","Polypodiophyta (monolete)"
37312.3,NA,NA,74.65,"42500, 1","0.6","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","3","3","4","4","4","5","5","6","7","8","9","9","10","18","21","22","32","33","49","121","287","995","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
37326.3,NA,NA,75.05,"42500, 1","0.6","2","3","2","","","3","","","3","","","3","","10","","4","1","9","","3","3","18","1","5","11","6","24","15","9","12","15","5","9","43","27","35","56","61","273","364","940","1","1","1","2","2","2","3","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
37333.3,NA,NA,75.25,"96000, 1","0.8","3","7","","2","","","","1","","","","2","","7","","1","","2","","3","2","10","","7","10","8","11","5","9","14","6","8","23","34","18","","50","68","208","361","1013","1","","","","2","","1","1","","1","1","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
37336.8,NA,NA,75.35,"96000, 1","0.5","2","13","","1","","","","1","","","","1","","3","","","","6","","2","2","11","","6","7","5","9","5","14","14","9","4","19","44","26","1","80","44","161","327","1607","","1","","","2","","1","5","","","1","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
37340.3,NA,NA,75.45,"42500, 1","0.5","1","5","2","","","","","2","","","","2","","3","1","3","","4","","1","1","15","1","4","15","4","12","11","8","16","19","5","9","24","42","11","59","55","112","275","905","5","","1","","1","","","2","","2","1","","1","1","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
37343.8,NA,NA,75.55,"96000, 1","0.7","5","2","","1","1","1","1","2","","","","1","","9","3","1","","2","","3","4","9","","4","15","15","23","11","10","14","17","5","25","41","15","","68","44","179","389","840","2","1","","","2","","","1","1","","","","","","","","","","","","","1","1","1","1","4","","","","","","","","","","","","","","","","","","","","","",""
37347.3,NA,NA,75.65,"42500, 1","0.6","2","4","","","","","","3","1","","","2","","4","1","","","","","3","1","4","","3","7","3","13","7","2","4","7","3","3","14","13","33","36","16","59","185","545","2","","","","1","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","",""
37350.8,NA,NA,75.75,"96000, 1","0.7","10","17","","2","","","1","1","2","","","2","","4","2","1","","1","","6","7","20","1","3","27","7","26","8","17","13","","4","30","38","38","","58","64","219","407","903","4","","","","6","","2","2","","","1","","2","","","","","","1","","1","","","2","","","","","1","1","1","","","","","","","","","","","","","","","","",""
37354.3,NA,NA,75.85,"42500, 1","0.5","2","3","","","","","","1","","","","","","3","","1","","3","","3","1","5","","2","1","5","9","6","5","3","13","6","5","11","13","34","48","13","67","94","727","1","","","","","","","1","","","","1","","1","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","",""
37357.8,NA,NA,75.95,"42500, 1","0.6","2","5","","","1","","","2","2","","","10","","1","","1","","","","","6","12","1","1","2","2","5","2","3","13","8","5","10","23","17","","45","22","72","217","417","1","1","","","","","","1","","","3","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
37361.3,NA,NA,76.05,"42500, 1","0.5","1","3","","","","","","","","","","1","","2","1","1","","1","","1","1","7","","6","2","2","4","6","5","8","6","6","7","11","16","12","20","17","60","63","1054","1","","","1","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","",""
37368.5,NA,NA,78.1,"96000, 1","0.6","6","20","","1","","1","","","","","","1","","6","2","3","","6","","3","3","23","","6","10","8","12","7","10","15","10","5","20","16","36","2","52","41","177","337","751","","","1","","1","","","4","","","3","","","1","2","","","","","1","1","","1","","","3","","","","","","","","","","","","","2","","","","","","","","",""
37379.5,NA,NA,78.3,"42500, 1","0.9","1","2","","","","1","","1","3","","","2","","6","","3","","5","1","2","2","13","","5","6","5","5","6","2","12","8","9","6","27","41","30","42","44","118","282","778","","4","2","","","","","2","","1","2","","1","1","","","","2","","","","","","","","","","","1","","","","","","","","1","","","1","1","","","","","","",""
37389.1,NA,NA,78.48,"96000, 1","0.8","5","18","","1","","","","2","1","","","7","","7","3","1","","3","","9","3","26","","9","13","16","20","10","13","15","10","7","25","40","47","","72","88","228","484","1255","4","4","","","5","","","5","2","1","2","1","1","2","1","","","","","","","","","","","","","","","","","","","1","","","1","","","","","1","1","2","","","",""
37397.4,NA,NA,78.63,"96000, 1","0.7","4","9","","2","","2","1","","1","","","","","7","","","","5","","5","","7","1","7","9","5","13","5","5","10","16","4","8","25","62","","38","33","169","246","808","3","","","","","","1","4","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","1","1","1","1"
