"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Cyperaceae","Poaceae","Urtica","Alnus glutinosa-type","Arbutus","Polypodium","Pistacia","Plantago lanceolata-type","Amaranthaceae-type","Erica arborea-type","Artemisia","Olea","Quercus ilex-type","Pinus","Lycopodium spike","Betula","Crataegus-type","Euphorbia","Vitis","Viola","Poaceae (Cerealia)","Rubiaceae","Corylus avellana","Lotus-type","Hypericum perforatum-type","Gnaphalium-type","Odontites-type","Tuberaria","Cichorioideae","Senecio-type","Juniperus-type","Anthemis-type","Botryococcus","Brassicaceae","Urtica dioica-type","Rumex-type","Phillyrea","Aster-type","Selaginella denticulata","Helianthemum","Silenoideae-type","Cistus","Ephedra fragilis-type","Mercurialis annua","Carduus","Thalictrum","Mentha-type","Sporormiella","Quercus suber-type","Morus","Platanus","Trifolium repens-type","Potamogeton-type","Scabiosa","Limonium","Echium","Paronychia-type","Silene dioica-type","Asparagus","Sedum-type","Lithospermum officinale","Reseda","Verbascum","Ceratonia siliqua","Urtica membranacea-type","Cercophora-type","Rumex acetosa-type","Linaria-type","Theligonum cynocrambe","Plantago maritima-type","Cyperus-type","Ulmus","Fraxinus ornus","Apiaceae","Ostrya-type","Daucus","Urtica pilulifera","Anogramma leptophylla","Salix","Daphne","Plantago coronopus-type","Anthoceros laevis","Quercus pubescens-type","Podospora-type","Microthyrium","Rubus","Fabaceae","Asteroideae","Cannabis sativa","Genista-type","Silene vulgaris-type","Arnoseris","Asplenium-type","Lonicera","Potentilla-type","Smyrnium-type","Pteridophyta (monolete) undiff.","Allium-type","Ranunculus acris-type","Ficus carica","Myrtus communis","Cheilanthes-type","Calendula","Diporotheca","Sagina","Gelasinospora","Glomus","Lamiaceae","Ononis-type","Ligustrum","Castanea sativa","Ephedra distachya-type","Pteridium aquilinum","Fraxinus excelsior-type","Juniperus","Alnus viridis-type","Polygonum aviculare-type","Prunus-type","Juglans regia","Acer","Heliotropium","Botrychium","Picea","Cerastium-type","Berberis","Rhinanthus","Ranunculus sect. Batrachium","Rosaceae","Lythrum portula","Ustulina deusta","Ophioglossum lusitanicum","Carthamus","Rumex obtusifolius-type","Centaurium","Herniaria-type","Liliaceae-type","Trifolium pratense-type","Riccia","Cuscuta","Malvaceae","Rhus","Ornithopus","Celtis australis","Dryopteris filix-mas-type","Rhamnus","Anthoceros punctatus","Caltha-type","Carlina","Centaurea nigra-type","Bupleurum","Jasione","Erodium","Sambucus nigra","Astragalus-type","Matthiola-type","Alisma-type","Ammi-type","Phlomis","Plantago major","Carpinus betulus","Cedrus","Abies","Anthriscus sylvestris-type"
-47.3,NA,NA,8,"18584, 2","1","1","1","1","1","1","2","3","3","3","4","6","7","13","36","650","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-42.5,NA,NA,12,"18584, 2","1","4","20","","2","1","2","8","2","7","15","10","12","14","37","830","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","3","3","6","8","10","11","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-28,NA,NA,24,"18584, 2","1","","1","","","","3","1","","2","4","2","5","22","30","600","","","","","","3","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-18.3,NA,NA,32,"18584, 2","1","","","","","","6","","","2","1","","1","7","52","1100","","","","","","","","","","","","","","1","","","","","","","","","","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-8.6,NA,NA,40,"18584, 2","1","1","","1","","","12","","1","4","7","","2","13","82","1300","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,NA,NA,48,"18584, 2","1","3","","1","","1","2","1","","3","1","1","13","30","55","649","","","","","","","","","","","","","","1","","","1","","1","","","","","","","1","3","","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10.7,NA,NA,56,"18584, 2","1","8","","","","12","5","4","","4","5","23","18","38","67","1330","1","","","","","","","2","","","","","","3","","","2","","9","","1","","1","","","","3","3","2","1","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
20.4,NA,NA,64,"18584, 2","1","14","","4","","7","1","5","1","4","4","4","10","17","43","1648","","","","","","4","","","","","","","","1","","","3","","7","","9","","","","1","","4","1","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
34.9,NA,NA,76,"18584, 2","1","6","14","","1","","2","12","2","11","10","13","11","28","59","873","","","1","4","","2","","1","","","1","","","7","4","1","9","11","8","14","54","10","7","","1","","","2","3","","","","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
54.2,NA,NA,92,"18584, 2","1","","","","","","","2","","2","","4","2","2","62","1042","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
150.9,NA,NA,172,"18584, 2","1","2","","","","","3","1","","1","18","2","4","1","15","913","","","1","","","","","","","","","","","","","","","","2","","1","","","2","","","2","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
179.9,NA,NA,196,"18584, 2","1","","7","","","","1","4","","1","13","4","4","7","26","1150","","","1","","","","","","","","","","","","","","","","","","1","","","","","1","2","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
189.6,NA,NA,204,"18584, 2","1","5","19","","1","","4","17","6","7","31","18","4","14","31","1272","","","1","1","","1","1","","","","1","","1","9","1","10","2","8","7","4","54","3","1","1","2","","1","2","1","1","","1","6","","","","","","","","1","6","","","","","","","","","1","5","","","1","","","","1","1","1","1","1","2","2","2","2","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
