"age_NA","ageolder_BP","ageyounger_BP","depth","Juglans","Urticaceae","Viburnum opulus-type","Fraxinus excelsior-type","Anthoceros laevis","Sparganium-type","Apiaceae","Rubiaceae","Ranunculus acris-type","Poaceae (Cerealia-type)","Anthemis-type","Centaurea jacea-type","Betula","Castanea","Pinus","Hedera","Botryococcus","Phillyrea","Mercurialis annua","Myrtus communis","Olea europaea","Caryophyllaceae","Cichorioideae","Plantago lanceolata-type","Bidens-type","Erica","Polypodiaceae","Humulus/Cannabis-type","Cyperaceae","Brassicaceae","Unknown","Varia","Rumex","Vitis","Fraxinus ornus","Fagus","Triticum-type","Ulmus","Carpinus betulus","Foraminifera","Amaranthaceae","Artemisia","Corylus","Poaceae","Alnus","Pteridium","Dinoflagellata","Ostrya/Carpinus orientalis-type","Pistacia","Quercus ilex-type","Quercus pubescens/Q. robur-type","Pseudopediastrum boryanum","Geranium","Liliaceae","Fabaceae","Picea","Acer","Secale","Rhamnus-type","Ephedra fragilis-type","Rosaceae","Echium","Juniperus-type","Potamogeton natans-type","Boraginaceae","Salix","Helianthemum","Cistus/Helianthemum","Anogramma","Plantago maritima-type","Plantago coronopus-type","Abies","Polygonum aviculare-type","Plumbaginaceae","Ephedra distachya-type","Arbutus","Plantago major/P. media-type","Platanus","Rhinanthus-type","Zea mays","Ficus","Populus","Aspiromitus punctatus","Bistorta officinalis-type","Citrus","Morus","Lythrum","Calystegia","Ceratonia","Fallopia","cf. Cleome","Myriophyllum alterniflorum","Myriophyllum spicatum/M. verticillatum","Persicaria amphibia","Mentha-type","Daphne","Onobrychis","Cucumis melo","Lamium album-type","Avena-type","Vicia-type","Alisma-type","Equisetum","Sphagnum"
NA,NA,NA,128,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,5,5,5,6,6,6,7,8,9,10,10,11,11,11,17,17,19,19,19,22,27,29,38,52,53,67,76,96,204,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,136,6,NA,NA,2,NA,NA,1,NA,NA,5,1,NA,NA,7,4,4,1,8,6,4,3,3,3,2,4,13,1,4,8,13,19,8,10,21,6,31,3,13,21,8,27,23,28,42,44,78,197,83,104,90,240,1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,120,4,1,NA,1,NA,3,2,NA,1,NA,1,NA,2,5,4,2,1,2,2,20,1,6,2,1,4,9,1,4,7,27,30,14,26,11,1,10,8,7,8,5,8,19,30,58,18,19,55,40,48,112,148,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,112,3,NA,NA,NA,1,21,1,1,2,5,60,NA,NA,4,4,NA,21,1,5,NA,4,7,11,5,233,11,1,9,11,24,33,9,34,11,3,17,9,8,3,1,9,17,7,56,26,20,145,22,15,24,101,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,150,4,NA,2,2,1,1,NA,NA,2,NA,1,NA,2,12,6,2,2,4,3,8,7,4,5,4,5,10,2,2,14,19,25,7,10,13,10,12,6,24,10,7,27,16,22,48,57,60,65,104,129,86,328,NA,1,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,10,15,20,NA,NA,2,NA,7,NA,NA,NA,3,NA,3,15,34,NA,34,2,24,NA,15,5,2,5,1,3,NA,9,5,26,29,10,41,9,NA,3,2,5,1,NA,22,15,11,59,10,7,32,9,5,31,48,NA,NA,NA,1,NA,NA,NA,NA,1,NA,3,12,29,NA,NA,NA,2,NA,NA,1,NA,1,1,1,1,1,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,100,5,1,NA,4,1,13,5,NA,1,1,2,NA,2,11,4,NA,15,4,13,3,3,3,3,1,4,10,1,10,11,15,26,12,46,5,4,12,7,3,NA,6,11,19,8,66,15,12,133,17,13,41,71,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,2,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,142,3,NA,NA,5,NA,6,NA,1,1,8,5,1,3,11,8,9,6,4,7,3,4,4,2,1,1,3,1,5,15,11,15,6,19,13,12,25,17,20,6,21,28,15,43,60,68,75,80,95,160,200,329,NA,NA,NA,NA,NA,2,1,1,NA,21,1,1,NA,NA,2,1,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,40,11,5,NA,NA,NA,6,3,NA,1,NA,5,NA,1,22,15,1,108,1,32,1,11,7,5,11,1,9,1,37,13,33,18,1,83,13,1,5,5,NA,NA,2,11,21,13,66,16,9,100,4,9,38,52,1,NA,NA,NA,NA,NA,3,1,3,NA,1,13,16,NA,2,NA,NA,NA,1,2,NA,1,NA,1,NA,1,3,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0,8,2,NA,1,NA,NA,4,1,3,NA,12,NA,2,21,71,4,8,7,23,6,45,3,6,9,7,19,NA,4,15,35,17,42,42,9,1,2,2,8,3,NA,75,34,29,162,45,NA,9,11,7,144,127,NA,NA,NA,NA,NA,NA,NA,1,NA,1,5,15,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,6,NA,NA,1,1,1,1,1,1,1,9,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
