"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Caryophyllaceae","Castanea","Ostrya/Carpinus","Apiaceae","Alnus","Juglans","Brassicaceae","Triticum-type","Plantaginaceae undiff.","Quercus undiff.","Myriophyllum spicatum/M. verticillatum","Urtica dioica-type","Papaver-type","Rosa-type","Ceratonia","Polygonum sensu lato undiff.","Lemna-type","Populus-type","Platanus","Xanthium-type","Eucalyptus","Styrax","Atropa-type","Sarcopoterium spinosum/Poterium sanguisorba","Artemisia","Cichorioideae","Thalictrum-type","Ranunculus undiff.","Cyperaceae undiff.","Rumex acetosa-type","Plantago lanceolata/P. lagopus","Indeterminable undiff.","Pinus","Mentha-type","Vitis vinifera","Galeopsis-type","Scrophularia-type","Chenopodium sp.","Senecio sp.","Fraxinus ornus","Phillyrea","Quercus pubescens-type","Poaceae","Pistacia","Cupressaceae undiff.","Olea","Quercus ilex/Q. coccifera","Lycopodium spike","Acer","Potamogeton","Vicia/Lathyrus","Tamarix","Hordeum-type","Ulmus/Zelkova","Persicaria","Pteridophyta (trilete)","Plantago maritima-type","Cistus undiff.","Urtica pilulifera-type","Erica","Vitex agnus-castus","Corylus","Potentilla-type","Hedysarum-type","Salsola-type","Dipsacus","Plantago major/P. media","Genista-type","Saussurea-type","Rubiaceae cf. Galium","Myrtus communis","Phlomis","Lavatera-type","Pteridophyta (monolete)","Berberis-type","Typha/Sparganium undiff.","Prunus sp.","Indeterminable (unknown)","Isoëtes","Mercurialis-type","Lythrum","Helianthemum","Morus-type","Echium","Asparagus-type","Asphodelus/Asphodeline","Euphrasia-type","Ephedra undiff.","Hypericum","Fabaceae undiff.","Rhinanthus/Veronica","Anthoceros laevis-type","Spergula/Spergularia","Euphorbia-type","Hedera","Plantago coronopus-type","Alisma plantago-aquatica-type","Cuscuta europaea-type","Pteridium-type","Secale","Sedum-type","Juncus","Betula","Rosaceae (herbs) undiff.","Theligonum cynocrambe","Smilax","Carduus-type","Trifolium undiff.","Carthamus","Viburnum undiff.","Thymelaeaceae","Amaryllidaceae","Centaurea solstitialis-type","Fagus","Salix","Lotus-type","Rhamnus-type","Saxifraga granulata-type","Hypecoum-type","Gentiana undiff.","Linum","Punica granatum","Nerium oleander","Saxifraga aizoides","Dioscorea communis","Acanthus-type","Androsace-type","Lupinus","Helleborus-type","Polypodium-type","Poaceae (Cerealia) undiff.","Humulus/Cannabis-type","Geranium-type","Centaurea cf. C. cyanus","Mesembryanthemum","Linaria","Polygonaceae undiff.","Convolvulus undiff.","Primula-type","Sorbus-type","Callitriche","Rubus-type","Tilia","Cryptogramma-type","Onobrychis-type","Sphagnum-type","Cedrus","Utricularia minor","Sambucus undiff.","Aconitum-type","Ribes-type","Paeonia","Alchemilla","Allium-type","Oenothera","Solanum nigrum-type","Matthiola","Ruppia maritima-type","Ophioglossum-type","Ficus carica","Teucrium-type","Lamiaceae undiff.","Saxifraga undiff.","Dracunculus","Osmunda-type","Riccia-type","Arbutus unedo","Glaucium-type","Carya-type","Campanula-type","Cyclamen","Rumex subg. Emex","Crocus-type","Valeriana-type","Colchicum-type","Pilularia","Oxalis-type","Geum-type","Fumaria","Cercis","Bryonia","Buxus","Taxus"
-62,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,7,10,10,13,23,33,94,94,1492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,4.5,NA,NA,NA,2,2,NA,NA,NA,2,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,1,NA,6,1,3,2,1,5,2,8,8,6,NA,10,3,1,4,4,4,4,3,19,15,34,97,81,874,1,1,1,1,1,1,1,1,2,2,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,7.5,NA,2,NA,1,2,2,1,4,NA,NA,11,NA,1,3,1,NA,NA,NA,NA,4,NA,NA,NA,NA,12,5,16,1,1,11,5,1,11,15,1,9,4,NA,4,4,4,14,14,51,26,27,112,96,927,NA,NA,NA,NA,2,2,NA,NA,NA,3,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,11.5,NA,2,NA,NA,2,NA,NA,2,2,NA,4,NA,2,2,NA,NA,2,NA,NA,NA,NA,1,1,NA,15,5,25,3,NA,9,8,9,9,8,3,7,4,1,2,6,8,14,6,47,12,11,93,33,1678,2,4,2,NA,NA,NA,NA,2,2,NA,NA,8,1,NA,NA,NA,NA,1,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,2,1,1,1,1,1,1,1,2,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,13.5,NA,3,NA,NA,5,NA,NA,4,6,NA,8,1,1,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,19,11,18,3,1,8,13,5,11,9,3,15,10,NA,4,10,8,7,26,57,26,15,87,18,946,NA,NA,NA,NA,1,NA,NA,2,1,1,NA,5,2,NA,NA,NA,1,2,1,NA,NA,1,3,7,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,1,1,1,1,1,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,15.5,NA,1,NA,1,4,NA,NA,4,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,15,9,13,NA,1,13,14,7,10,8,2,5,3,NA,4,5,17,3,16,70,24,11,84,55,1189,NA,1,NA,NA,3,NA,NA,1,NA,NA,NA,6,NA,NA,NA,1,1,1,NA,NA,NA,1,2,1,NA,2,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,NA,NA,17.5,NA,NA,NA,1,9,2,NA,11,9,NA,11,3,3,2,NA,NA,NA,NA,NA,4,1,NA,5,NA,20,8,31,4,4,19,12,13,16,11,6,30,9,NA,4,12,10,9,40,75,50,15,44,49,1036,NA,NA,NA,NA,1,1,NA,1,3,NA,5,7,2,4,NA,NA,1,1,2,NA,NA,NA,NA,11,1,1,1,NA,NA,1,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,NA,NA,NA,1,2,NA,NA,1,NA,2,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,NA,NA,19.5,NA,NA,1,3,1,2,1,1,6,2,2,6,NA,1,NA,1,NA,NA,NA,6,NA,NA,3,NA,22,6,15,2,NA,20,17,12,9,5,3,25,4,2,4,10,4,5,1,66,18,11,52,48,1673,NA,NA,NA,NA,NA,NA,NA,2,3,1,1,8,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,6,NA,2,1,NA,2,1,11,5,1,NA,NA,NA,1,1,NA,1,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,NA,NA,22.5,NA,1,NA,3,9,1,1,14,7,NA,3,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,13,NA,20,10,19,NA,NA,22,9,13,11,6,7,35,6,NA,6,8,12,6,17,71,15,7,24,40,796,NA,2,NA,NA,2,NA,NA,2,1,NA,4,10,1,2,1,NA,NA,1,5,1,1,NA,1,5,NA,NA,NA,NA,NA,1,7,7,NA,2,NA,NA,NA,NA,NA,2,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,NA,NA,25.5,NA,NA,NA,NA,3,NA,NA,NA,3,NA,3,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,NA,19,5,8,4,1,10,7,7,6,5,6,51,1,NA,3,3,1,4,2,63,22,4,37,47,1106,2,1,NA,NA,NA,NA,NA,NA,3,NA,NA,8,7,2,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,NA,1,NA,1,1,NA,3,NA,NA,NA,NA,NA,1,NA,1,NA,5,4,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
