"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Polygonum aviculare-type","Taxus","Tilia","Vitis","Xanthium","Lythrum","Fabaceae","Asteroideae","Stachys-type","Buxus","Phillyrea","Artemisia herba-alba-type","Equisetum","Plantago lanceolata-type","Brassica-type","Olea","Artemisia vulgaris-type","Solanum dulcamara","Typha latifolia","Ulmus","Juglans","Plantaginaceae","Pediastrum duplex","Salix","Poaceae (Cerealia-type)","Quercus coccifera-type","Urtica dioica-type","Pteridium","Fraxinus excelsior","Potamogeton","Rumex acetosa-type","Fraxinus ornus","Abies","Cyperaceae","Nymphaea","Corylus","Carpinus betulus","Juniperus","Fagus","Alnus","Ostrya/Carpinus orientalis","Dryopteris-type","Sparganium-type","Poaceae","Pinus","Pseudopediastrum kawraiskyi","Quercus robur-type","Monactinus simplex","Pseudopediastrum boryanum","Picea","Rosaceae","Lysimachia","Melampyrum","Plantago media-type","Clematis-type","Matricaria-type","Ranunculus repens-type","Betula","Ericaceae","Apiaceae","Acer","Galium-type","Humulus/Cannabis","Poterium sanguisorba","Amaranthaceae","Pterocarya","Capsella-type","Hypericum perforatum-type","Thymus/Mentha","Polypodium","Pistacia","Plantago maritima-type","Ranunculus sect. Batrachium-type","Cichorioideae","Liliaceae","Ranunculaceae","Myriophyllum alterniflorum","Helianthemum","Centaurea solstitialis-type","Sambucus nigra-type","Isoëtes","Scrophularia/Verbascum","Caltha","Caryophyllaceae","Castanea","Platanus","Lotus-type","Myriophyllum spicatum/M. verticillatum","Plantago coronopus-type","Phillyrea latifolia","Cladium mariscus","Onobrychis-type","Thalictrum","Artemisia","Scrophulariaceae","Lemna","Rhinanthus-type","Ephedra distachya-type","Trapa natans","Trifolium-type","Loranthus","Rumex hydrolapathum","Hedera","Ophioglossum","Campanula-type","Potentilla-type","Bupleurum-type","Filipendula","Centaurea cyanus-type","Senecio-type","Ephedra fragilis-type","Digitalis"
1597,1735,1485,160,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,7,8,8,9,10,11,11,15,16,24,25,29,47,47,54,57,123,206,280,294,827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1855,1986,1744,170,1,NA,NA,1,NA,NA,1,2,NA,NA,1,6,NA,7,2,4,3,3,6,9,1,6,52,5,3,1,NA,8,4,4,10,7,12,6,7,19,14,36,31,40,62,84,55,113,205,678,277,513,1226,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2113,2238,1999,180,2,1,NA,NA,NA,NA,1,1,1,NA,NA,1,1,6,3,1,5,NA,4,4,NA,NA,11,6,5,5,2,5,10,2,7,7,15,5,NA,20,6,41,30,24,58,77,52,157,251,642,257,610,934,NA,1,NA,NA,NA,NA,3,1,NA,1,NA,1,3,NA,1,5,1,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2370,2492,2251,190,1,NA,NA,NA,NA,NA,1,3,NA,NA,NA,2,NA,5,2,2,2,NA,2,3,NA,2,NA,3,3,9,NA,4,NA,2,9,3,13,8,7,17,3,44,34,35,67,52,34,108,219,632,215,451,822,NA,NA,NA,NA,NA,NA,NA,1,1,2,4,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,1,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2757,2883,2631,205,9,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,8,6,2,NA,NA,NA,6,NA,NA,NA,11,1,5,NA,2,2,2,23,8,12,21,2,15,21,41,38,34,84,9,19,203,286,988,301,380,703,NA,3,NA,NA,2,NA,NA,NA,7,1,3,NA,2,4,1,5,NA,NA,3,1,NA,1,1,1,2,NA,2,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2886,3016,2758,210,1,NA,NA,NA,NA,NA,NA,1,NA,NA,3,1,NA,NA,NA,NA,6,NA,NA,4,NA,NA,NA,3,3,2,NA,2,NA,3,12,1,13,11,1,19,8,39,19,13,48,4,2,138,199,439,157,718,879,1,NA,NA,NA,NA,NA,NA,1,1,3,2,1,1,2,NA,3,NA,1,NA,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3143,3281,3011,220,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,2,NA,3,4,NA,NA,NA,NA,5,NA,3,NA,1,6,1,NA,2,NA,NA,8,4,15,9,1,11,5,21,21,19,53,4,4,73,177,570,187,570,882,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,3,4,NA,1,NA,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3401,3550,3264,230,1,1,3,4,NA,NA,3,1,NA,NA,1,6,NA,6,3,NA,5,NA,2,9,NA,1,109,9,5,4,1,4,1,2,9,3,14,15,NA,14,7,31,29,44,102,4,1,196,283,418,382,490,883,NA,1,NA,NA,3,NA,NA,1,NA,1,4,1,2,4,2,7,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3659,3818,3514,240,8,NA,1,NA,NA,NA,NA,1,NA,NA,NA,9,1,10,1,1,4,NA,4,7,NA,2,8,7,4,NA,NA,3,6,2,8,5,6,18,NA,13,9,40,28,32,78,7,9,166,296,323,323,176,386,NA,NA,NA,NA,NA,NA,1,NA,5,NA,10,NA,4,NA,1,3,NA,1,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,1,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA
3916,4088,3763,250,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,2,NA,5,1,NA,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,1,3,NA,1,2,20,5,NA,8,3,23,11,16,50,17,2,96,252,251,174,81,179,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
