"age_NA","ageolder_BP","ageyounger_BP","depth","Nymphaea","Persicaria maculosa-type","Cirsium-type","Ostrya/Carpinus orientalis","Scilla-type","Datisca","Fraxinus excelsior-type","Cyperaceae","Salvinia","Polypodium","Poaceae","Dryopteris-type","Pteridium","Ulmus","Corylus","Tilia","Alnus","Quercus cerris-type","Abies","Carpinus betulus","Pinus","Fagus","Pediastrum","Ericaceae","Typha latifolia","Juniperus","Cedrus","Hedera","Scrophularia/Verbascum","Solanum dulcamara","Ranunculus sceleratus-type","Amaranthaceae","Artemisia herba-alba-type","Betula","Sparganium-type","Senecio-type","Poaceae (Cerealia-type)","Matricaria-type","Sphagnum","Anthriscus-type","Bunium-type","Caryophyllaceae","Ilex","Platanus","Prunus-type","Sambucus nigra-type","Thymus/Mentha","Ranunculus peltatus-type","Salix","Vitis","Brassica-type","Olea","Plantago coronopus-type","Juglans","Plantago lanceolata-type","Rhododendron","Rhynchospora-type","Verbena","Unknown","Castanea","Picea","Fabaceae","Populus","Onobrychis-type","Geranium","Acer","Artemisia vulgaris-type","Ranunculus repens-type","Viburnum-type","Pistacia","Rumex acetosa-type","Humulus/Cannabis","Quercus coccifera-type","Equisetum","Lythrum","Phillyrea angustifolia","Rosa-type","Buxus","Myriophyllum spicatum/M. verticillatum","Dipsacus-type","Cichorioideae","Secale","Theligonum","Botrychium","Taxus","Potamogeton","Hypericum perforatum-type","Antirrhinum/Linaria","Geum-type","Euphorbia","Filipendula","Plantago media-type","Loranthus","Silene-type","Mercurialis annua","Calluna-type","Urtica dioica-type","Cynoglossum-type","Apiaceae","Helianthemum","Rosaceae","Salvia","Cousinia","Hypecoum","Sanguisorba-type","Hedysarum/Ebenus","Bidens-type","Ephedra distachya-type","Galium-type","Polygonum aviculare-type","Crassulaceae","Thalictrum","Nuphar","Centaurea cyanus-type","Unknown (trilete)","Ophioglossum","Crataegus-type","Lysimachia","Lathyrus-type","Juniperus sabina","Plantago tenuiflora-type","Calligonum","Cyclamen","Xanthium","Plantago major-type","Periploca","Trapa natans","Apium-type","Celtis","Lemna","Orobanche","Linum","Rumex acetosella","Cerinthe-type","Plantago ovata-type","Juncus/Luzula","Nymphoides","Gentiana nivalis-type","Rumex hydrolapathum-type","Cistus","Centranthus","Fontanesia phillyreoides","Epilobium","Centaurea solstitialis-type","Urtica pilulifera-type","Kickxia","Pyrus","Boraginaceae","Stachys-type","Ranunculaceae","Oleaceae","Viscum","Delphinium-type","Heracleum-type","Fraxinus","Potentilla-type","Eryngium-type","Solanum nigrum","Veronica","Sagittaria","Lythrum portula-type","Lamiaceae","Fraxinus ornus","Pterocarya","Myrica","Hippocrepis-type","Verbascum-type","Consolida","Bupleurum-type","Plantaginaceae","Alisma","Cornus sanguinea","Trifolium-type","Asparagus-type","Liquidambar","Convolvulus","Iris","Hippophaë","Plantago cylindrica-type","Lycopodium","Menyanthes trifoliata","Campanula-type","Glaucium","Morus","Ranunculus sect. Batrachium-type","Capsella-type","Stratiotes","Ruta","Noaea-type","Frangula","Bellis-type","Lepidium","Cotinus coggygria","Hippuris","Prunella-type","Punica","Anthoceros laevis-type","Ephedra fragilis-type","Roemeria hybrida subsp. dodecandra-type","Rubus","Zea mays","Corydalis","Plantago maritima-type","Cuscuta","Androsace","Tamarix","Malus-type","Alhagi","Hypericum hirtellum var. assyriacum-type"
NA,NA,NA,1430,1,1,1,1,1,1,1,3,3,4,6,6,9,16,19,27,42,53,63,151,185,469,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1450,1,NA,NA,NA,NA,NA,1,NA,NA,3,5,5,NA,2,11,5,12,20,110,78,265,344,999,1,1,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1465,NA,2,NA,NA,NA,NA,NA,1,2,2,16,8,2,5,16,18,15,50,79,48,156,158,999,NA,NA,1,NA,1,NA,NA,NA,2,NA,1,1,1,1,1,2,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1440,NA,NA,NA,NA,NA,NA,1,5,NA,NA,6,33,4,21,29,5,108,66,17,142,107,192,999,NA,NA,3,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,880,NA,NA,NA,NA,NA,NA,10,2,NA,NA,16,4,33,8,9,NA,149,91,9,26,242,82,NA,1,NA,3,NA,NA,NA,NA,NA,1,2,1,2,NA,2,1,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,8,9,1,1,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,900,NA,NA,NA,1,NA,NA,7,7,NA,NA,19,2,9,14,6,7,119,63,10,88,224,69,NA,1,NA,6,NA,1,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,16,9,NA,NA,NA,NA,2,1,1,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,640,NA,NA,NA,NA,NA,NA,15,3,NA,NA,9,NA,7,22,18,NA,171,53,11,50,146,33,NA,2,NA,7,NA,2,1,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,8,10,NA,NA,NA,4,NA,NA,1,NA,1,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,940,NA,NA,NA,3,NA,NA,6,11,NA,NA,8,8,12,16,14,NA,152,95,10,102,353,85,NA,1,NA,2,NA,4,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,17,1,NA,NA,NA,4,5,NA,NA,NA,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,920,NA,NA,NA,NA,NA,NA,4,2,NA,NA,22,1,6,12,9,2,68,54,7,97,315,58,NA,1,NA,1,NA,3,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,2,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,620,NA,NA,NA,NA,NA,NA,37,9,NA,NA,10,1,11,19,34,8,252,93,5,97,251,42,NA,2,NA,8,NA,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,15,5,NA,NA,NA,2,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,3,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
