"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Charcoal","Cyperaceae","Poaceae (Cerealia) undiff.","Bistorta officinalis-type","Quercus undiff.","Solanum dulcamara","Lactucoideae undiff.","Indeterminable (degraded)","Ranunculaceae undiff.","Rubiaceae undiff.","Juglans regia","Coryloideae","Indeterminable undiff.","Indeterminable (corroded)","Plantago lanceolata","Polygonum aviculare-type","Rumex acetosella","Hordeum-type","Indeterminable (obscured)","Aster-type","Centaurea solstitialis-type","Caryophyllaceae undiff.","Ostrya","Avena/Triticum","Artemisia","Anthemis-type","Olea","Quercus coccifera-type","Salix","Secale cereale","Typha angustifolia","Quercus cerris-type","Amaranthaceae undiff.","Poaceae","Pinus","Abies","Ulmus","Brassicaceae","Apiaceae undiff.","Sanguisorba minor-type","Consolida","Silene viscaria-type","Centaurea cyanus-type","Convolvulus arvensis","Polygonum cognatum-type","Betula","Euphorbia undiff.","Sanguisorba officinalis-type","Filipendula","Indeterminable (broken)","Persicaria maculosa","Carpinus","Cedrus","Thymus/Mentha","Turgenia latifolia","Celtis/Morus","Rosaceae undiff.","Castanea sativa","Cirsium-type","Scabiosa undiff.","Hedera","Fraxinus undiff.","Adonis","Fagus","Lomelosia argentea","Pulmonaria obscura-type","Brassicaceae/Olea","Alnus","Typha latifolia","Juniperus","Pimpinella","Campanula-type","Elaeagnus macrophylla-type","Ephedra undiff.","Moraceae","Helianthemum","Vitis vinifera","Humulus/Cannabis","Liquidambar orientalis","Trifolium","Onobrychis","Euphorbia cf. E. helioscopia","Plantago coronopus","Fraxinus ornus-type","Fraxinus excelsior-type","Crataegus/Sorbus","Sambucus nigra","Pteridophyta undiff.","Silene","Elaeagnus angustifolia","Echinophora","Pseudopediastrum boryanum","Gentianella","Anchusa","Verbascum","Cystopteris","Ephedra distachya-type","Lythrum salicaria","Lythrum undiff.","Ephedra fragilis-type","Tilia","Myriophyllum spicatum","Valerianella-type","Carya","Linum catharticum","Aesculus","Potentilla-type","Hippophaë rhamnoides","Serratula/Arctium-type"
-50,NA,NA,1.2,0,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,5,5,6,7,8,10,11,17,22,29,43,49,68,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,11.5,0,NA,NA,NA,NA,5,4,1,NA,3,1,1,1,2,3,4,5,2,NA,3,3,4,NA,5,29,7,17,3,2,22,NA,28,36,73,132,1,1,1,1,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12,NA,NA,23,0,NA,NA,NA,NA,NA,4,NA,NA,1,1,NA,NA,2,3,9,NA,1,NA,4,2,3,5,8,25,1,9,2,1,70,NA,35,15,46,147,NA,NA,NA,NA,2,NA,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,34.5,0,NA,NA,1,NA,NA,4,NA,NA,2,NA,NA,NA,5,3,3,NA,3,NA,5,8,NA,3,NA,44,11,14,1,NA,29,1,50,22,79,120,1,NA,NA,3,1,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,46,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,2,3,4,1,4,NA,4,7,1,3,1,50,3,5,1,NA,45,NA,45,15,80,129,NA,NA,1,1,1,NA,3,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,57.5,94.80337,2,NA,NA,NA,NA,7,1,NA,2,NA,NA,NA,NA,2,3,NA,2,NA,3,5,3,3,1,63,5,3,1,NA,25,3,31,20,107,114,1,NA,NA,3,1,NA,3,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,63.5,15.41096,NA,NA,1,NA,NA,46,1,1,4,NA,NA,1,NA,2,5,1,1,1,5,5,5,3,NA,62,3,3,NA,NA,14,1,40,29,125,160,3,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,70.3,42.85714,NA,NA,NA,NA,NA,14,1,6,2,1,NA,2,4,15,22,1,NA,NA,NA,8,2,6,NA,73,10,2,NA,1,26,2,26,16,76,94,1,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,2,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,75.3,1333.587,NA,NA,NA,NA,2,59,1,NA,3,NA,NA,1,3,3,2,NA,1,NA,NA,7,5,2,1,69,10,3,NA,2,7,NA,35,10,92,92,1,NA,NA,1,2,NA,NA,3,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,NA,NA,81.2,257.5107,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,5,NA,1,NA,3,NA,2,1,2,4,2,77,7,2,NA,NA,18,NA,25,13,166,106,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
