"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Caryophyllaceae","Cichorioideae","Myriophyllum","Ulmus","Alnus","Liliaceae","Plantago","Poaceae (Cerealia-type)","Cistus","Lamiaceae (hexacolpate)","Cupressaceae","Amaranthaceae","Spike","Apium","Ericaceae","Quercus robur-type","Lycopodium","Poaceae","Typha","Quercus ilex-type","Cyperaceae","Zygnema/Spirogyra","Pinus","Apiaceae","Fabaceae","Pistacia","Lemna","Geraniaceae","Helianthemum","Olea","Cistus salviifolius","Lamiaceae (tricolpate)","Asteroideae","Unknown (monolete)","Artemisia","Corylus","Thalictrum","Rubiaceae","Sparganium","Myosotis","Buxus","Knautia","Phillyrea","Genista-type","Typha-type","Gladiolus","Polygonaceae","Myrtus","Salix","Brassicaceae","Rosaceae","Centaurea","Vicia-type","Fraxinus","Thymelaeaceae","Roemeria hybrida","Campanula","Unknown (trilete)","Ranunculaceae","Rumex","Teucrium","Ephedra distachya-type","Scrophulariaceae","Nuphar","Linum","Plumbaginaceae","Hydrocharis","Mougeotia","Riccia"
3241,3455,3011,35,"1","1","1","1","1","1","1","1","1","1","1","2","2","2, 12100","3","5","6","12","25","25","31","32","60","62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3710,3891,3513,45,"1","6","13","2","","","","9","1","1","1","","1","1, 12100","10","3","4","26","43","14","58","129","70","53","1","1","1","1","1","1","1","1","1","2","4","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4180,4336,4015,55,"","2","9","","","","","15","","1","3","2","2","1, 12100","17","5","7","39","44","5","73","150","80","79","2","","","","","3","2","","","2","","","1","1","1","1","1","1","1","1","1","1","1","2","2","6","","","","","","","","","","","","","","","","","","","",""
4650,4790,4508,65,"1","","2","","1","","","6","","","","2","5","2, 12100","12","2","2","49","23","2","89","24","","96","","1","5","1","","3","5","4","","2","","3","","","","","","","","2","","","","","","1","1","1","1","1","2","2","2","","","","","","","","","","","","",""
5120,5252,4981,75,"1","","12","","","1","","6","","1","2","3","1","1, 12100","11","3","6","68","15","1","51","36","70","79","1","","","2","1","7","1","","","3","1","6","","","","","","","1","","","","","","","1","1","","","","","","1","1","2","3","","","","","","","","","",""
5589,5728,5441,85,"","","2","","","1","","5","","","1","3","1","1, 12100","11","4","3","90","24","5","66","29","30","40","","4","4","","","","3","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","1","1","1","1","","","","","","",""
6059,6213,5886,95,"","","2","","","","","4","","","","2","1","1, 12100","","","4","35","25","","27","49","94","62","","2","","3","","","","","","2","","5","","","","","","","","1","","","","","","","","","","","","","","","","","","","","3","","","","","",""
6529,6712,6325,105,"","","4","","","","","","","","","","","2, 12100","","","","35","14","2","4","10","15","163","","","","","","1","","","","5","1","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","2","","1","1","1","6","",""
8393,8592,8178,115,"","","2","","","","","1","","","","","6","1, 12100","1","","","9","17","","","6","12","120","1","","","","","2","","","","6","","6","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","",""
10257,10541,9913,125,"","","5","","","","2","1","","","","1","6","1, 12100","","","","15","14","1","1","2","20","173","","","1","","","","","","","5","2","31","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","",""
13053,13522,12495,140,"","","9","","","","","1","","","1","2","1","1, 12100","1","","1","12","39","1","","14","29","212","","","","","","","","","","1","1","10","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","",""
14917,15521,14206,150,"","","3","","","","","","","","","1","2","1, 12100","","","1","8","41","1","","9","17","147","1","","","","","","","","","1","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16312,16834,15754,160,"","","3","","","","","","","","","","","1, 12100","","","","22","30","","","5","68","252","","","","","","","","","1","1","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","",""
17708,18155,17243,170,"1","1","1","","","","","2","","","","1","4","1, 12100","1","","1","10","32","1","","19","40","189","","","","","","","","","","5","","19","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","4","","","","1","1"
19104,19516,18687,180,"1","","","","","","","","","","","3","4","1, 12100","12","1","1","10","20","","3","10","18","174","","1","","","","1","","","","1","","34","","","1","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","2",""
