"age_NA","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Cyperaceae","Apiaceae","Potentilla","Galium-type","Sedum-type","Filago-type","Fraxinus angustifolia","Gentiana lutea/G. pneumonanthe","Plantago coronopus","Halimium/Tuberaria","Peucedanum-type","Sphagnum","Erica australis","Carum verticillatum","Ranunculus","Alnus glutinosa","Genista-type","Pinus pinaster","Pinus sylvestris-type","Pteridium aquilinum","Betula pubescens","Erica arborea-type","Quercus","Calluna vulgaris","Poaceae","Lycopodium spike","Salix","Brassicaceae","Valerianella","Silene dioica-type","Conopodium majus","Caryophyllaceae (porate)","Amaranthaceae","Plantago lanceolata-type","Radiola linoides","Chaerophyllum temulum","Polypodiales (monolete)","Poaceae (Cerealia)","Campanula","Succisa","Spergula","Dianthus lusitanus-type","Narcissus bulbocodium","Physospermum cornubiense","Plantago subulata-type","Hedwigia","Artemisia","Micranthes stellaris-type","Phillyrea","Cichorioideae","Plantago major-type","Corylus avellana","Filipendula","Asphodelus albus","Jasione-type","Astrantia","Ilex aquifolium","Olea europaea","Aster-type","Centaurea nigra-type","Erica umbellata","Sorbus aucuparia","Castanea sativa","Hypericum perforatum-type","Daphne/Thymelaea","Mercurialis annua","Cytisus scoparius","Ulmus","Lythrum","Bupleurum","Eryngium","Angelica palustris-type","Anthemis-type","Vitis","Juglans","Frangula alnus","Juniperus communis","Ornithogalum-type","Minuartia recurva","Armeria","Arenaria","Paronychia polygonifolia-type","Helianthemum","Marchantiophyta","Polypodium","Cerastium","Scrophulariaceae","Pistacia","Lamiaceae","Lysimachia","Arbutus unedo","Sambucus nigra","Colchicum montanum","Cirsium-type","Vicia","Daucus","Sagina","Poterium sanguisorba","Adenocarpus","Spergularia-type"
NA,NA,NA,70,"11329, 1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","4","4","4","8","9","9","17","24","41","55","71","113","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,75,"11329, 1","3","3","2","3","1","","","4","","","1","","7","1","70","5","5","6","14","2","17","38","103","81","133","273","1","1","1","1","1","1","2","2","2","3","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,60,"11329, 1","11","1","1","1","3","1","3","3","","4","","","10","16","6","5","57","11","3","3","26","16","79","87","188","203","2","1","","","","1","","","","","3","1","1","1","1","1","1","1","1","1","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,50,"11329, 1","","6","2","1","2","","","11","","","","13","10","31","5","31","3","36","6","9","32","58","169","276","50","83","1","","","1","","2","1","","","","","","","2","","1","5","","1","1","1","","6","1","1","1","1","1","1","1","2","2","3","3","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,20,"11329, 1","1","1","4","5","8","2","","","","4","3","","43","","9","10","13","","1","2","9","198","42","5","198","85","1","1","","","1","3","1","3","","5","3","2","","","","3","4","","","1","2","1","","","","","","1","","1","","1","","","13","1","1","1","1","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,40,"11329, 1","1","","31","3","7","","","5","","3","","","20","","8","35","2","31","7","10","21","92","126","74","194","62","1","","","","1","2","1","1","","","3","2","1","5","","2","24","","","","5","","6","6","","3","","","4","","1","2","","","5","","","","","1","1","1","1","1","1","2","11","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,15,"11329, 1","1","6","2","15","27","6","1","2","","4","","","33","","5","11","15","","","4","8","259","58","19","447","153","","","","","","3","","1","","","1","","","","1","2","3","","","1","14","","","2","","1","","","4","","2","1","","","14","","4","","","","5","","","","","","1","1","1","1","1","1","1","2","2","2","","","","","","","","","","","","","","","","","",""
NA,NA,NA,5,"11329, 1","","4","1","11","1","2","","","","32","","","100","","4","20","3","13","","13","22","503","79","17","553","163","","2","","2","","15","","","","","2","7","1","","1","4","3","","7","1","3","3","","","","1","","1","","","","13","","","39","2","1","","2","","","","","","","","2","","3","","","","","","4","2","1","1","2","9","","","","","","","","","","","","","",""
NA,NA,NA,30,"11329, 1","3","3","34","6","21","2","","9","","3","5","","34","","15","27","14","8","3","13","27","135","132","195","234","156","","","","","","2","","3","","","2","2","","1","","1","8","","","","3","1","3","","1","","","1","","1","","2","","2","3","1","3","","","","","","","1","","","1","","","","","","","","","1","","","","","1","1","1","1","1","1","2","","","","","","",""
NA,NA,NA,10,"11329, 1","1","6","5","21","23","1","","4","","10","8","","39","","15","16","23","4","2","5","15","263","83","6","718","67","1","2","","","1","4","","5","","1","3","5","","","","2","4","","1","2","5","4","2","6","","1","","1","4","","","6","","3","11","1","7","2","4","","","","","","","","3","","","","","","","","","1","","","","","","","","","","1","","1","1","1","1","1","1","3"
