"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Betula","Cichorioideae","Nymphaea","Vitis","Amaranthaceae","Filipendula","Quercus (evergreen)","Lythrum portula-type","Oxyria-type","Indeterminable (corroded)","Indeterminable (crumpled)","Unknown (trilete) undiff.","Artemisia","Pistacia","Sanguisorba minor-type","Tilia cordata-type","Indeterminable (degraded)","Indeterminable (hidden)","Nuphar","Salix","Ulmus","Fraxinus ornus","Apiaceae","Fraxinus excelsior-type","Alnus","Sparganium","Cyperaceae undiff.","Myriophyllum verticillatum","Typha latifolia-type","Corylus avellana-type","Ostrya-type","Abies","Carex","Juniperus","Polypodiophyta (monolete)","Poaceae undiff.","Quercus (deciduous)","Pinus","Spike","Liliaceae undiff.","Solidago-type","Indeterminable (broken)","Rumex undiff.","Asteroideae undiff.","Cladium","Carpinus betulus","Crassulaceae","Thalictrum","Plantago undiff.","Centaurea undiff.","Rubiaceae","Caryophyllaceae","Ephedra fragilis-type","Plantago coronopus-type","Platanus","Helleborus","Myriophyllum undiff.","Mentha-type","Rumex acetosa-type","Ranunculus-type","Brassicaceae","Ephedra distachya-type","Pediastrum","Helianthemum","Poaceae (Cerealia)","Euphorbia","Fagus","Plantago lanceolata-type","Urtica pilulifera","Cirsium","Rosaceae","Urtica undiff."
9830,NA,NA,1020,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,5,5,6,7,8,8,12,13,14,25,26,58,59,150,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10136,NA,NA,1040,1,1,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,4,5,NA,2,5,1,NA,4,4,10,5,3,2,NA,8,NA,4,13,1,13,14,28,16,96,55,65,64,1,1,2,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10441,NA,NA,1060,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,3,NA,NA,1,NA,1,2,2,1,NA,8,NA,NA,8,NA,7,1,8,167,58,36,29,108,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10747,NA,NA,1080,1,13,2,NA,1,2,1,2,NA,NA,NA,3,NA,8,1,1,3,3,NA,NA,NA,5,3,1,NA,4,NA,19,NA,NA,1,2,NA,14,NA,1,85,109,58,257,1,NA,1,5,7,12,1,1,1,2,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11053,NA,NA,1100,1,6,1,NA,NA,8,NA,NA,NA,NA,NA,5,NA,7,NA,NA,1,6,NA,NA,1,4,NA,3,NA,5,2,30,NA,NA,1,1,6,3,1,5,121,84,68,87,NA,NA,1,NA,2,12,NA,NA,1,NA,1,7,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11358,NA,NA,1120,1,7,NA,2,NA,10,2,NA,NA,NA,NA,5,NA,13,2,NA,1,10,2,1,2,2,2,1,NA,1,1,38,NA,NA,8,9,10,15,3,8,96,83,58,69,NA,NA,1,NA,6,10,1,NA,NA,NA,NA,2,NA,NA,NA,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11664,NA,NA,1140,1,3,NA,1,NA,4,1,NA,1,NA,NA,1,NA,9,NA,NA,NA,5,1,NA,NA,NA,NA,1,NA,1,NA,38,NA,NA,1,NA,NA,9,NA,10,190,51,23,279,NA,NA,1,NA,1,19,NA,NA,NA,NA,NA,9,1,NA,1,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11970,NA,NA,1160,1,3,NA,NA,NA,34,NA,NA,NA,NA,NA,2,NA,49,NA,NA,NA,2,NA,NA,1,NA,1,1,NA,NA,NA,21,NA,NA,NA,NA,NA,5,1,NA,170,19,17,201,NA,NA,NA,NA,7,3,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12276,NA,NA,1180,1,4,NA,NA,NA,27,2,NA,NA,NA,NA,1,NA,73,NA,NA,1,1,NA,2,NA,1,NA,1,NA,4,1,25,NA,NA,1,NA,1,9,2,NA,132,21,14,150,NA,NA,NA,2,6,2,NA,NA,1,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,4,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA
12581,NA,NA,1200,1,3,NA,NA,NA,16,NA,NA,NA,NA,NA,1,NA,57,NA,NA,NA,4,NA,NA,1,1,NA,2,NA,1,NA,7,1,4,NA,NA,1,NA,5,NA,182,11,16,91,NA,NA,NA,1,4,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,5,NA,NA,NA,NA,NA,NA
