"age_NA","ageolder_BP","ageyounger_BP","depth","Artemisia","Caryophyllaceae","Juglans","Plantago","Typha","Polypodium","Corylus","Tsuga","Botryococcus","Cyperaceae","Ericaceae","Asteraceae","Abies","Algae (Inaperturate spC1)","Amaranthaceae","Quercus (evergreen)","Quercus (deciduous)","Poaceae","Pinus","Olea","Anthoceris/Isotoma","Alnus","Ephedra","Picea","Plumbaginaceae","Cistaceae","Sparganium","Helianthemum","Ostrya/Carpinus orientalis","Ranunculaceae","Cupressaceae","Fungi","Dinoflagellata","Celtis","Sanguisorba","Centaurea","Brassicaceae","Sigmopollis","Knautia","Acer","Ulmus","Algae","Lythrum","Euphorbiaceae","Indeterminable","Fagus","Rumex","Thalictrum","Hippophaë","Zelkova","Betula","Algae (Inaperturate spC)","Liliaceae","Valeriana","Cedrus","Sphagnum","Lycopodium","Unknown (monolete)","Araliaceae","Malvaceae","Fraxinus","Pistacia","Osmundaceae","Anogramma","Polygonaceae","Asparagales","Unknown","Dryopteris","Turgenia","Linum","Erodium","Dipsacales","Apiaceae","Alismataceae","Centranthus","Cathaya","Riccia","Scabiosa","Armeria","Unknown (monolete, psilate)","Lamiaceae","Rosaceae","Castanea","Sagittaria","Fabaceae","Sideritis","Lemna","Myrica","Arceuthobium","Carya","Geranium","Rhamnus","Cryptogramma","Buxus","Selaginella","Carpinus betulus","Eucommia","Parrotia","Euphrasia","Parthenocissus","Solanaceae","Daphne","Iridaceae/Liliaceae","Potamogeton","Phlomis","Polygalaceae","Salix","Pterocarya","Unknown (trilete)","Hamamelidaceae","Viscum album","Scrophularia","Unknown (trilete, psilate)","Cicatricosisporites","Filipendula","Populus","Ilex aquifolium","Saxifraga","Coriaria","Boraginaceae","Epilobium","Rubiaceae","Tamarix","Drosera","Asplenium","Verbenaceae"
NA,NA,NA,15.9,1,1,1,1,1,1,2,2,2,4,7,13,15,16,22,45,47,169,662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,16.54,7,1,NA,NA,NA,1,NA,2,2,NA,8,17,25,30,28,20,48,169,540,1,1,2,2,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,22.47,46,2,NA,NA,NA,NA,NA,NA,1,3,7,34,NA,8,89,54,32,46,69,NA,NA,NA,2,NA,6,2,1,1,1,2,3,7,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,37.9,123,1,NA,1,NA,NA,NA,NA,2,3,13,35,NA,NA,59,4,5,49,325,NA,NA,NA,3,15,2,6,NA,NA,NA,NA,4,5,NA,1,1,1,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,88.99,46,NA,NA,1,9,NA,NA,NA,13,48,4,35,1,NA,63,4,5,67,104,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,49,1,3,3,NA,NA,39,1,2,3,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,44.47,108,3,NA,1,3,NA,NA,NA,2,36,NA,29,1,NA,87,NA,1,26,177,NA,NA,NA,30,NA,NA,NA,NA,2,NA,1,NA,102,NA,2,NA,1,3,43,NA,NA,NA,28,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,27.33,50,1,3,NA,NA,NA,NA,NA,NA,NA,2,36,4,80,68,8,16,70,79,2,NA,NA,3,NA,3,2,NA,NA,NA,NA,1,5,20,2,NA,3,NA,NA,NA,NA,NA,3,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,20.08,33,NA,NA,NA,NA,NA,3,NA,NA,4,8,15,NA,103,48,37,25,35,132,1,NA,4,1,NA,1,1,NA,NA,NA,1,3,6,NA,1,1,NA,NA,NA,NA,NA,NA,6,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,13.01,20,NA,1,1,6,NA,NA,NA,3,NA,31,7,19,10,32,NA,29,86,899,NA,NA,NA,1,1,5,1,NA,3,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,2,13,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,67.04,120,NA,NA,NA,1,NA,NA,NA,NA,2,1,11,1,NA,32,26,24,66,56,NA,NA,NA,26,1,1,NA,NA,2,NA,1,25,NA,6,1,NA,NA,5,5,NA,2,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
