"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Plantago major","Salix","Ulmus","Apiaceae","Pistacia","Carpinus betulus","Amaranthaceae-type","Cichorioideae","Asteroideae","Fraxinus ornus","Rumex","Plantago lanceolata-type","Phillyrea","Spermatophyta undiff. (cf. upland herbs)","Unknown","Fagus","Artemisia","Ostrya-type","Silenoideae-type","Olea","Abies","Centaurea","Quercus","Poaceae","Pinus","Cyperaceae","Spike","Alnus","Polygonum","Tracheophyta undiff. (aquatic plants)","Juniperus","Corylus avellana","Tilia","Rubiaceae","Acer","Ephedra","Sarcopoterium-type","Fraxinus excelsior"
60,NA,NA,16,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,4,5,5,5,8,9,11,15,36,78,156,601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,24,NA,NA,NA,3,NA,NA,3,2,3,NA,5,2,NA,1,3,5,1,2,1,3,4,1,8,26,69,162,355,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,NA,NA,32,NA,NA,NA,1,NA,1,1,NA,2,NA,NA,1,NA,3,14,NA,2,4,1,4,2,NA,27,41,39,219,82,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
211,NA,NA,40,NA,5,NA,NA,NA,NA,NA,1,2,NA,2,2,NA,7,2,NA,1,10,3,NA,7,NA,32,35,60,361,220,2,NA,1,2,4,NA,NA,NA,NA,NA,NA
1292,NA,NA,212,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,5,3,NA,NA,1,1,NA,NA,NA,7,7,22,106,96,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
1393,NA,NA,228,1,1,NA,3,NA,NA,3,1,5,NA,8,NA,2,10,5,4,2,19,4,NA,4,4,22,81,27,44,89,2,2,NA,NA,1,1,7,NA,NA,NA,NA
1493,NA,NA,244,NA,NA,NA,1,NA,NA,1,NA,3,1,8,2,NA,6,2,3,2,19,5,1,2,NA,22,57,62,265,89,4,NA,2,NA,2,2,1,NA,NA,NA,NA
1594,NA,NA,260,3,1,NA,5,1,NA,3,6,10,NA,11,3,NA,9,16,NA,3,17,17,NA,6,3,22,69,112,37,71,3,4,NA,NA,1,1,1,1,1,NA,NA
1695,NA,NA,276,NA,NA,NA,1,NA,NA,2,NA,2,NA,1,NA,1,4,13,2,NA,12,6,NA,10,1,30,9,67,77,142,2,NA,3,NA,2,NA,NA,NA,NA,NA,NA
1745,NA,NA,284,NA,2,NA,1,NA,1,1,1,3,NA,1,NA,2,3,5,1,NA,13,NA,NA,23,1,29,48,242,93,52,NA,1,2,NA,NA,2,1,NA,NA,NA,NA
1845,NA,NA,300,NA,1,NA,1,NA,NA,NA,NA,1,NA,6,2,3,2,4,2,NA,15,1,NA,24,NA,20,85,429,89,184,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
1896,NA,NA,308,1,2,NA,3,1,NA,NA,NA,2,NA,5,1,2,1,1,2,NA,11,2,1,12,NA,12,91,380,67,38,NA,NA,5,NA,3,NA,2,1,NA,NA,NA
1946,NA,NA,316,2,NA,NA,4,NA,NA,1,2,1,2,5,2,3,2,3,1,NA,19,2,NA,6,2,35,99,190,105,73,2,1,7,NA,NA,NA,1,NA,NA,1,NA
1996,NA,NA,324,NA,NA,NA,1,NA,NA,NA,1,2,NA,5,1,3,1,4,3,1,12,1,NA,7,NA,19,57,277,57,40,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA
2047,NA,NA,332,NA,NA,1,4,NA,NA,1,1,NA,NA,3,1,2,3,9,NA,1,46,7,1,7,NA,37,70,267,144,86,2,NA,1,1,3,1,1,NA,NA,1,NA
2097,NA,NA,340,NA,NA,NA,1,NA,2,1,NA,1,NA,1,1,5,3,5,5,NA,14,5,1,3,1,28,25,83,125,76,2,4,4,NA,6,NA,NA,1,NA,NA,NA
2198,NA,NA,356,2,NA,NA,4,NA,NA,1,4,6,1,14,1,1,12,7,6,4,24,6,2,21,2,52,114,325,146,74,1,1,3,NA,NA,1,3,NA,NA,NA,NA
2298,NA,NA,372,NA,NA,NA,17,NA,NA,2,5,6,2,6,2,2,10,14,1,NA,5,16,1,5,6,14,169,47,16,59,NA,10,7,NA,1,NA,NA,NA,1,NA,NA
2399,NA,NA,388,NA,NA,NA,NA,NA,2,2,NA,5,NA,NA,NA,NA,NA,9,1,2,13,1,NA,34,NA,34,47,123,166,134,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
