"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Quercus (deciduous)","Zygophyllaceae","Apiaceae","Boraginaceae","Pinus","Rubiaceae","Thymelaeaceae","Hippophaë","Crataegus","Primulaceae","Rosaceae","Malvaceae","Caryophyllaceae","Rumex","Juniperus","Helianthemum","Dipsacoideae","Galium","Liliaceae","Scabiosa","Polygonum","Teucrium","Fabaceae","Ephedra","Pistacia","Brassicaceae","Plantago","Ziziphus","Acantholimon","Poaceae (Cerealia)","Tamarix","Artemisia","Centaurea","Quercus (evergreen)","Amaranthaceae","Asteraceae","Poaceae","Ranunculaceae","Cyperaceae","Fraxinus","Laurus","Carpinus orientalis","Rhamnus","Typha","Platanus","Orobanchaceae","Lemna","Olea","Vitis"
1,NA,NA,25,1,2,4,6,6,6,6,6,7,8,8,9,11,11,11,11,11,13,13,14,15,15,16,16,16,16,19,28,31,32,33,41,41,42,65,69,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,30,NA,9,4,4,6,1,10,4,5,3,1,5,6,6,6,15,19,3,8,19,5,12,6,37,8,15,11,21,26,8,28,66,38,34,71,89,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,35,2,2,5,5,8,4,7,6,10,6,3,8,8,10,20,12,15,8,11,10,11,16,11,9,14,18,14,24,25,23,31,42,43,49,41,52,72,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,40,3,1,6,10,8,6,6,4,9,8,4,10,10,11,16,11,14,8,13,8,12,13,11,8,13,22,15,22,24,24,26,38,53,47,35,42,72,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,45,2,3,5,10,8,4,10,3,7,6,3,9,10,10,10,15,17,4,11,13,11,12,7,14,11,21,14,19,29,23,24,52,53,41,43,66,65,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,50,3,4,6,11,7,8,8,3,6,10,3,11,13,11,9,13,16,5,15,11,15,9,8,15,5,22,15,13,27,26,19,51,54,34,41,65,69,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,55,1,9,6,NA,7,NA,12,2,5,NA,NA,2,4,3,8,17,22,NA,4,26,NA,8,NA,33,4,4,4,11,27,2,17,72,8,30,81,88,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,60,2,10,7,NA,8,NA,11,3,6,NA,NA,3,4,4,9,16,20,NA,5,22,3,8,1,35,4,5,5,10,22,2,16,66,10,31,72,73,23,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,65,9,4,13,6,14,6,NA,5,6,8,6,8,11,13,24,5,5,1,13,5,9,11,4,15,8,19,16,8,11,19,12,25,23,23,22,22,99,8,12,3,2,2,3,NA,NA,NA,NA,NA,NA
33,NA,NA,70,9,5,12,6,14,4,1,6,7,6,5,5,10,13,24,6,5,4,11,5,9,13,7,16,9,17,17,11,11,17,13,26,20,28,26,24,95,6,12,3,1,NA,3,NA,NA,NA,NA,NA,NA
