"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Platanus","Salix","Artemisia","Nerium","Styrax","Caryophyllaceae","Rosaceae","Polygonum","Hippophaë","Cercis","Arbutus","Laurus","Asteraceae","Juglans","Lamiaceae","Fraxinus ornus","Ericaceae","Rhus","Rumex","Apiaceae","Urticaceae","Centaurea","Crataegus","Acantholimon","Alnus","Rhamnus","Plantago","Cistus","Carpinus orientalis","Ulmus","Poaceae (Cerealia)","Alisma","Lemna","Pistacia","Populus","Typha","Quercus ithaburensis","Phillyrea","Liliaceae","Fraxinus","Olea","Cyperaceae","Quercus coccifera","Ranunculaceae","Juniperus","Poaceae","Pinus","Helianthemum","Scabiosa","Sarcopoterium","Ephedra fragilis","Poterium sanguisorba","Amaranthaceae","Dipsacoideae","Zygophyllaceae","Tamarix","Cedrus libani","Ziziphus","Vitis","Boraginaceae","Thalictrum","Scrophulariaceae","Orobanche","Nuphar","Hydrocharis"
6.888889,NA,NA,4,1,1,2,2,3,4,4,4,4,4,4,4,5,6,6,6,8,8,8,8,8,8,8,8,9,9,10,10,11,12,12,12,12,15,15,15,15,28,29,29,32,42,42,44,64,123,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20.66667,NA,NA,10,NA,NA,8,NA,NA,11,1,6,NA,NA,NA,NA,23,3,NA,2,15,1,6,9,1,9,3,11,NA,15,12,15,15,NA,8,3,NA,32,NA,1,NA,25,15,3,31,18,67,25,65,45,158,1,1,2,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41.33333,NA,NA,16,NA,NA,8,NA,NA,11,1,6,NA,NA,NA,NA,23,3,NA,2,15,1,6,9,1,9,3,11,NA,15,12,15,15,NA,8,3,NA,29,NA,1,NA,20,15,3,16,18,67,25,65,45,158,1,1,2,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,22,2,2,12,2,1,8,NA,4,2,4,1,NA,22,12,2,6,6,2,4,5,NA,12,2,3,4,8,9,11,6,5,10,NA,NA,9,7,NA,10,10,2,12,6,12,53,9,65,31,117,1,1,6,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82.66666,NA,NA,26,NA,NA,23,NA,NA,8,NA,4,NA,NA,NA,NA,59,2,NA,1,5,NA,5,6,NA,5,1,6,NA,7,6,6,6,NA,5,NA,NA,12,NA,NA,NA,8,2,2,8,2,45,2,38,16,92,9,4,8,14,6,43,3,3,5,5,6,NA,NA,NA,NA,NA,NA,NA
96.44444,NA,NA,32,NA,NA,35,NA,NA,6,NA,2,NA,NA,NA,NA,85,1,NA,1,3,NA,2,3,NA,4,NA,3,NA,4,4,4,3,NA,2,1,NA,5,NA,NA,NA,4,1,1,5,NA,32,NA,32,12,80,13,5,13,35,12,76,5,6,8,8,10,NA,NA,NA,NA,NA,NA,NA
117.1111,NA,NA,37,NA,NA,23,NA,NA,8,NA,4,NA,NA,NA,NA,59,2,NA,1,5,NA,5,6,NA,5,1,6,NA,7,6,6,6,NA,5,NA,NA,12,NA,NA,NA,8,2,2,8,2,45,2,38,16,92,9,4,8,15,6,43,3,3,5,5,6,NA,NA,NA,NA,NA,NA,NA
134.3333,NA,NA,41,NA,NA,42,NA,NA,14,NA,7,NA,NA,NA,NA,66,NA,NA,NA,20,NA,3,3,NA,21,NA,NA,NA,14,12,8,3,NA,1,NA,NA,22,NA,NA,NA,15,NA,NA,8,NA,72,NA,42,12,110,18,16,16,5,15,32,5,5,12,3,8,NA,NA,NA,NA,NA,NA,NA
148.1111,NA,NA,46,NA,NA,22,NA,NA,7,NA,5,NA,NA,NA,NA,55,1,NA,1,4,NA,4,5,NA,5,1,5,NA,6,6,5,5,NA,7,NA,NA,11,NA,NA,NA,8,2,2,7,2,41,2,36,15,85,10,4,8,15,7,42,4,3,6,7,7,NA,NA,NA,NA,NA,NA,NA
165.3333,NA,NA,52,NA,NA,23,NA,NA,8,NA,4,NA,NA,NA,NA,59,2,NA,1,5,NA,5,6,NA,5,1,6,NA,7,6,6,6,NA,5,NA,NA,12,NA,NA,NA,8,2,2,8,2,45,2,38,16,92,9,4,8,14,6,43,3,3,5,5,6,NA,NA,NA,NA,NA,NA,NA
