"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Scrophulariaceae","Liliaceae","Ranunculaceae","Fraxinus","Poaceae (Cerealia)","Lamiaceae","Rosaceae","Plantago lanceolata-type","Rumex acetosa-type","Helianthemum","Pinus sylvestris","Rhamnus-type","Plantago coronopus-type","Urtica dioica-type","Daphne gnidium-type","Paeonia","Pinus halepensis/P. pinea-type","Polypodiophyta (monolete)","Coniochaeta ligniaria (type 172, HdV)","Apiaceae","Populus","Aster-type","Cichorioideae","Olea europaea","Pinus pinaster","Plantago major/P. media-type","Polypodiophyta (trilete)","Hymenophyllum","Quercus (evergreen)","Fabaceae","Calluna vulgaris","Tilletia sphagni (type 27, HdV)","Indeterminable (unknown)","Fungi (type 18, HdV)","Cistus ladanifer-type","Pteridium aquilinum","Cyperaceae","Betula","Poaceae","Quercus (deciduous)","Corylus","Erica-type","Lycopodium tablets","Lycopodium spike","Chrysophyceae","Castanea","Salix","Quercus suber","Sordaria-type (type 55A, HdV)","Alnus","Typha angustifolia-type","Ustulina deusta (type 44, HdV)","Polygonum aviculare","Humulus/Cannabis-type","Ulex/Cytisus-type","Neurospora crassa (type 55C, HdV)","Caryophyllaceae","Podospora-type (type 368, HdV)","Rumex acetosella-type","Byssothecium circinans (type 16C, HdV)","Riccia cf. R. sorocarpa (type 165, HdV)","Artemisia","Gelasinospora (type 1, HdV)","Botryococcus (type 901, HdV)","Spirogyra","Zygnema-type","Pseudoschizaea","cf. Persiciospora (type 124, HdV)","Boraginaceae","Arbutus","Asphodelus albus-type","Byssothecium circinans (type 16, HdV)","Sporormiella (type 113, HdV)","Rhabdocoela (type 353, HdV)","Brassicaceae","Glomus cf. G. fasciculatum (type 207, HdV)","Erodium","Dinoflagellata","Amaranthaceae","Bryophyta","Entorrhiza sp. (type HdV-527)","Cardueae","Invertebrata (type 88, HdV)","Oribatida (type 36, HdV)","Phillyrea","Potamogetonaceae","Rhytidospora cf. R. tetraspora (type 171, HdV)","Zopfiella-type/Apiosordaria verruculosa (type 169, HdV)","Chaetomium sp. (type 7A, HdV)","Rubiaceae","Asplenium-type","Copepoda (type 28, HdV)","Centaurea nigra-type","Sanguisorba minor-type","Alona rustica (type 72, HdV)","Typha latifolia-type","Asphodelus fistulosus-type","Cercophora-type/Cercophora sp. (type 112, HdV)","Campanulaceae","Juniperus","cf. Richonia variospora (type 140, HdV)","Viburnum"
-60,NA,NA,2,"1.29999995231628","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","3","3","3","3","3","3","4","5","5","8","9","10","14","15","28","55","55","88","110","122","1","11, 10679","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-50,NA,NA,4,"1.29999995231628","","1","2","","","","","","2","3","","1","","1","2","","2","","2","2","6","","1","6","3","2","6","2","3","11","2","1","9","11","11","21","30","48","45","72","129","150","1","10, 10679","1","1","1","1","1","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-40,NA,NA,6,"1.29999995231628","","","","1","","1","","","","3","","","","","","","","","","4","","1","","2","1","","1","3","2","5","9","","10","4","13","13","11","17","11","43","121","263","1","12, 10679","","","","","","1","","","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-30,NA,NA,8,"1.29999995231628","","","","","","","","","","2","","1","","1","","","","","","","1","4","1","3","1","","3","4","3","5","9","1","9","1","15","13","11","22","25","44","138","213","1","11, 10679","","","2","","","","1","","","1","1","","","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-20,NA,NA,10,"1.32000005245209","","2","2","","1","","","1","","3","","3","2","","1","","","2","2","","1","3","4","3","4","","9","3","5","4","12","1","10","11","10","28","40","19","80","52","137","134","1","2, 10679","4","","2","","1","","","","","","","","1","3","","","","","1","1","1","1","1","1","1","1","1","1","1","2","2","2","3","","","","","","","","","","","","","","","","","","","","","","","","",""
-10,NA,NA,12,"1.30999994277954","","2","","2","1","","","","","","1","1","9","1","2","","","","3","","","2","1","6","4","","5","3","3","4","3","1","8","6","18","20","33","40","63","74","147","113","1","3, 10679","1","","1","","5","","1","","","7","","","1","","1","","","1","","","1","","1","","","","","1","3","","","","","1","1","1","2","3","","","","","","","","","","","","","","","","","","","",""
0,NA,NA,14,"1.29999995231628","","","2","1","1","","","2","","1","","1","1","","","","","","1","1","","1","2","6","3","5","1","4","2","5","7","","9","9","10","22","32","52","87","36","162","104","1","3, 10679","","","1","","","1","","","","1","2","","","","1","","","","","","","1","","","","","","","1","","1","1","","","","","2","","1","1","1","1","1","1","2","2","","","","","","","","","","","",""
11,NA,NA,16,"1.30999994277954","","","3","6","","","","3","","2","","","","","","","","","1","1","","1","3","5","5","3","7","3","1","9","4","2","10","15","10","18","31","41","61","57","143","147","1","8, 10679","1","1","1","","2","","","","","","","","1","1","6","","","2","1","","","","","","","","","","1","2","","2","","","","","9","","","2","1","","","","","","1","2","","","","","","","","","",""
22,NA,NA,18,"1.33000004291534","","","3","1","","","2","3","","3","1","1","2","3","","","","","2","5","","2","3","7","4","1","4","2","1","2","6","","10","12","19","21","33","43","44","78","138","133","1","8, 10679","1","","2","","3","","","","","","1","","2","1","","","","","","","","","1","","","","","","4","","1","1","","","","1","3","1","","5","1","","","","1","","2","","1","","","","","","","","",""
33,NA,NA,20,"1.30999994277954","","","1","","","1","","1","","","1","","2","3","","","","","6","1","","","1","3","6","1","2","4","3","5","7","1","7","9","36","16","23","41","47","82","123","157","1","14, 10679","1","","","","","1","","","","","","","","2","1","1","","","","","","","","","","","1","","1","","2","3","","","1","","4","","","","2","","","","","","2","1","","","","","","","","","",""
