Sample name,Acacia albida,Acacia sp.,Balanites aegyptica,Cocculus pendulus,Commiphora africana,Hyphaene theba?ca,Maerua,Phoenix dactylifera,Waltheria,Boerhavia,Chrozophora brocchiana,Cleome,Kohautia,Lotus,Pentodon pentandrus,Polycarpaea,Tribulus terrestris,Boscia,Cadaba,Cassia,Celtis integrifolia,Combretaceae,Crossopteryx,Croton/Jatropha,Daniellia,Dichrostachys,Diospyros,Fagara type,Lannea,Mitragyna inermis,Parinari,Parkia,Piliostigma,Securinega,Tamarindus,Tapinanthus,Ziziphus mauritiana,Cissampelos,Corchorus,Jacquemontia type,Justicia,Mitracarpus scaber,Sesbania,Divers ornamental,Bauhinia,Caesalpinia pulcherrina,Casuarina,Ceiba pentandra,Crudia type,Cucurbitaceae,Delonix regia,Dodonaea,Eucalyptus,Eugenia,Khaya senegalensis,Leucaena type,Mangifera,Melia azedarach,Myrtaceae,Prosopis,Psidium guajava,Acalypha,Aizoaceae,Anacardiaceae,Capparidaceae,Cordia,Ficus,Labiae,Oleaceae,Phyllantus,Pinus,Ricinus,Sapotaceae,Acanthaceae,Alternanthera,Blepharis,Borreria,Commelina,Compositae tubuliflores,Compositae liguliflores,Cruciferae,Diodia,Euphorbia,Hypoestes,Indigofera,Malvaceae,Papilionaceae,Paronyschia,Pedaliaceae,Peripores,Tephrosia,Umbelliferae,Vigna,Gramineae,Cyperaceae,Abies,Artemisia,Balanites orbicularis,Commicarpus,Ephedra,Plantago,Rumex,Salvadora persica,Alchornea,Elaeis guineensis,Symphonia globulifera,Uapaca,Aeschynomene,Bryophytes,Chlorophyton type,Heliotropium,Hygrophyla,Mimosa pigra,Nymphaea,Polygonum,Portulaca,Pteridophytes,Typha,Utricularia,Varies-indetermines,Indeterminables,Gramineae >50m,Gramineae indeterminees,Gramineae longues,Gramineae rondes
NCC10585,0,3,18,0,2,174,0,0,0,1,0,0,0,0,0,2,1,0,0,15,10,14,2,0,1,0,0,0,0,0,2,0,3,1,1,0,0,0,1,0,2,16,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,18,0,0,1,0,1,0,0,0,1,0,1,4,1,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,6,0,0,13,0,0,0,438,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,1,0,1,1,0,13,15,2,422,7,7
NCC30585,0,3,2,0,0,109,0,0,0,1,0,2,0,0,0,2,1,0,0,7,2,59,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,47,0,1,0,0,0,0,0,0,1,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,2,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,489,37,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,8,24,1,479,4,5
NCC10685,1,2,5,1,0,68,1,0,1,0,0,1,0,2,0,3,2,0,0,5,2,104,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,2,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,6,0,0,6,0,0,0,511,8,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,6,15,18,489,2,2
NCC30685,2,2,5,0,1,21,0,0,0,0,0,0,0,0,0,8,1,2,0,12,0,166,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,1,0,4,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,4,0,1,0,0,2,0,0,2,1,0,0,2,1,1,0,0,0,0,2,0,0,6,0,0,2,853,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,2,1,0,0,0,6,23,14,759,0,3
NCC10785,0,1,5,0,0,106,1,0,0,0,1,1,1,0,0,1,1,0,3,3,5,252,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,36,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,0,0,2,0,2,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0,2,0,1,0,2,0,0,15,0,2,0,789,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,15,6,707,1,3
NCC30785,0,3,5,0,0,164,3,1,0,0,0,3,0,1,1,1,3,0,2,13,2,249,7,0,2,1,0,1,0,2,0,1,2,12,2,1,0,0,0,0,7,72,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,5,0,0,1,0,4,0,4,1,2,2,2,3,1,0,0,0,0,3,2,0,2,0,0,0,6,0,1,1,3,0,1,16,0,0,0,805,69,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,7,25,5,694,4,30
NCC10885,0,4,5,0,0,98,1,0,0,0,0,0,1,0,0,3,0,1,0,9,0,35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,5,0,0,1,335,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,6,18,0,299,3,3
NCC30885,0,5,0,0,0,33,0,0,0,0,0,2,0,0,0,1,0,0,0,11,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1375,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,9,40,642,434,135
NCC10985,0,4,0,0,0,69,0,0,0,0,0,1,0,0,0,2,1,0,0,16,5,76,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,1,1,0,0,9,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,24,0,0,1,3262,62,12,4,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,7,11,66,1216,1034,650
NCC30985,0,6,0,0,0,44,0,0,0,1,0,1,0,1,0,4,1,0,0,26,3,70,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,19,1,0,0,0,1,0,0,0,0,0,37,1,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,38,0,0,0,2549,72,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,10,67,1324,750,175
