Name,Description,Unit
Palaeo_Modern,Indicates whether the data is from fossil (Palaeo) or modern (Modern) records,Categorical
Original_taxa,Original taxonomic name as recorded in the dataset,Categorical
Family,Family of the taxon,Categorical
Genus,Genus of the taxon,Categorical
Species_pollen_type,Species name of the pollen type,Categorical
Pollen_type_SM_morphological,Morphological harmonisation of the pollen type (carried out by Saúl Manzano (SM)),Categorical
Reference_taxonomy_1,Reference for taxonomic identification,Categorical
Reference_taxonomy_2,Reference for taxonomic identification,Categorical
Reference_taxonomy_3,Reference for taxonomic identification,Categorical
Reference_taxonomy_4,Reference for taxonomic identification,Categorical
Observations_SM,Observations on the pollen type harmonisation (by Saúl Manzano (SM)),Categorical
Fossil_Sequences_dated,Number of dated fossil records in which the original pollen type is present,count
Fossil_Sequences_not_dated,Number of undated fossil records in which the original pollen type is present,count
Modern_Sequences,Number of modern records in which the original pollen type is present,count
Total_Sequences,Total number of records in which the original pollen type is present,count
Phytogeographical_affinity,Phytogeographical affinity of the pollen type,Categorical
Phytogeographical_affinity_summarised,Summarised phytogeographical affinity category,Categorical
Reference_phytogeographical_affinity_1,Reference for phytogeographical affinity,Categorical
Reference_phytogeographical_affinity_2,Reference for phytogeographical affinity,Categorical
Reference_phytogeographical_affinity_3,Reference for phytogeographical affinity,Categorical
Reference_phytogeographical_affinity_4,Reference for phytogeographical affinity,Categorical
Reference_phytogeographical_affinity_5,Reference for phytogeographical affinity,Categorical
Reference_phytogeographical_affinity_6,Reference for phytogeographical affinity,Categorical
Reference_phytogeographical_affinity_7,Reference for phytogeographical affinity,Categorical
Reference_phytogeographical_affinity_8,Reference for phytogeographical affinity,Categorical
Observations_phytogeographical_affinity,Observations on phytogeographical affinity,Categorical
Phytogeographical_affinity_GBIF,Phytogeographical affinity based on Global Biodiversity Information Facility (GBIF: https://www.gbif.org/) website,Categorical
Link_GBIF,Link to GBIF record,Categorical
Phytogeographical_affinity_POWO,Phytogeographical affinity based on Plants of the World Online (POWO: https://powo.science.kew.org/) website,Categorical
Link_POWO,Link to POWO record,Categorical
Habit_life_form,Life form or life habit of the plant,Categorical
Habit_summarised,Summarised habit category for percentage calculations,Categorical
Reference_habit_1,Reference for plant habit classification,Categorical
Reference_habit_2,Reference for plant habit classification,Categorical
Reference_habit_3,Reference for plant habit classification,Categorical
Reference_habit_4,Reference for plant habit classification,Categorical
Reference_habit_5,Reference for plant habit classification,Categorical
Reference_habit_6,Reference for plant habit classification,Categorical
Reference_habit_7,Reference for plant habit classification,Categorical
Reference_habit_8,Reference for plant habit classification,Categorical
Observation_habit,Observations on plant habit,Categorical
Pollen_type_Lezine_2009,Pollen type classification from Lézine et al. (2009),Categorical
Pollen_habit_Lezine_2009,Pollen habit classification from Lézine et al.(2009),Categorical
Pollen_type_Mottl_2020,Pollen type classification from Mottl et al.(2020),Categorical
Pollen_type_APD,Pollen type classification from APD,Categorical
Pollen_habit_APD,Pollen habit classification from APD,Categorical
Plant_habit_APD,Plant habit classification from APD,Categorical
No_spp_Vincens_2007,Number of species in Vincens et al. (2007),Categorical
Habit_Vincens_2007,Habit classification from Vincens et al. (2007),Categorical
Phytogeographical_affinity_Vincens_2007,Phytogeographical affinity from Vincens et al. (2007),Categorical
Habitat_Vincens_2007,Habitat classification from Vincens et al. (2007),Categorical
